number,old_definition,word,definition,translation,example_sentences,part_of_speech,collocations,problematic_words
2700,實際施行。[例]臺灣實行民主政治已獲國際社會的肯定。,實行,實際進行某項行動或計畫。,To implement or put into practice.,政府實行新的環保政策，期望能改善日益惡化的環境。 / 為了提高競爭力，公司開始實行靈活的工作制度，以吸引更多優秀的人才。 / 這項社會福利計畫即將實行，將惠及許多低收入家庭。 / 政府實行的減稅措施，受到了廣大商界的歡迎和支持。 / 為了促進讀書風氣，圖書館決定實行免費借書的政策，吸引更多人來訪。 / 領導層希望通過實行定期培訓，來提升員工的專業技能和工作效率。,vp-t,實行政策 / 實行措施 / 即將實行 / 逐步實行 / 實行制度 / 實行法規,"惠, 商, 減稅, 來訪"
2701,執行、實踐。[例]法令經過一定的立法程序通過後，便由政府公告、施行。,施行,執行或實踐某項措施或規定。,To implement or carry out; refers to executing or putting into practice.,新的環境保護法案將於下個月正式施行，這對改善空氣品質有很大幫助。 / 如果沒有足夠的資金支持，這項政策將無法順利施行。 / 為了提升公共交通的便利性，市政府決定施行免費搭乘的優惠措施。 / 施行新的勞動法令後，工人的權益得到了更好的保障。 / 對於施行階段性的稅收減免政策，商界普遍表示歡迎。 / 政府施行新的教育改革，旨在提高學生的批判性思維能力。,va-t,施行法令 / 施行政策 / 施行規定 / 施行措施 / 正式施行 / 施行效果,"減免, 商, 市政府, 旨"
2702,下定決心的說。[例]他誓言無論如何也要贏得這次比賽的冠軍。,誓言,下定決心說出來的話。,A vow or pledge; a declaration of determination.,政府發表聲明，誓言將加強對環境保護的措施。 / 老師告訴學生們，學習是需要堅持的，誓言要不斷努力克服困難。 / 在志願者訓練中，每個人都誓言會全力幫助需要幫助的人。 / 政治領袖在演講中誓言，將致力於實現社會的公平與正義。 / 體育隊的隊長誓言，無論遇到多大的壓力，團隊將永不放棄奪冠的決心。 / 他在新年祝詞中誓言，未來一年將努力實現自己的職業夢想。,n,誓言保護 / 誓言支持 / 誓言實現 / 誓言奮鬥 / 誓言學習 / 誓言守護,"體育隊, 力, 奪冠, 定決, 永"
2702,立定決心時的言辭。[例]他們立下誓言，此次參賽一定要奪得冠軍。,誓言,立定決心時所說的話。,A vow or promise made with determination.,在婚禮上，新人互許誓言，承諾彼此永遠相愛。 / 當志工們在社區服務時，他們默默立下誓言，將愛與關懷傳遞給更多人。 / 在國際會議上，各國領袖簽署協議，發表誓言共同抵抗氣候變遷的威脅。 / 學生們在畢業典禮上，互相承諾將不忘彼此的誓言，勇敢面對未來的挑戰。 / 在重要比賽前，運動員們以誓言激勵自己，期望能創造佳績。 / 社會運動的領袖們發表誓言，堅定決心為人權與公平而奮鬥。,n,立下誓言 / 誓言內容 / 互許誓言 / 發表誓言 / 不忘誓言 / 婚禮誓言,"佳績, 立定, 互許, 立"
2703,妝扮表演。[例]他在這部片中飾演一位失去記憶的老人，是演技的一大挑戰。,飾演,妝扮並表演某個角色或人物。,To play a role or portray a character in a performance.,她在這部電影中飾演一位勇敢的消防員，讓觀眾感受到她的堅毅和奉獻。 / 他的演技非常出色，讓他在最新的電視劇中飾演反派角色。 / 在這部劇集裡，明星們飾演了一對情侶，甜蜜的互動讓觀眾感到心動。 / 上週我看了他飾演的那部電影，他的表現讓我印象深刻，尤其是在面對困難時的情感展現。 / 我很期待她在新片中飾演的角色，據說是一位曾經歷戰爭的婦女，故事非常感人。 / 他最近參加了一部獨立電影的拍攝，飾演一名孤獨的藝術家，大家都很期待他的表現。,va-t,飾演角色 / 飾演主角 / 飾演配角 / 飾演反派 / 飾演真實人物 / 飾演歷史角色,"劇集, 妝扮"
2704,有關事情的處理、安排等。[例]他把職務範圍內的各項事宜交代清楚，才放心的休假。,事宜,與某件事情有關的處理或安排。,Matters or issues that need to be dealt with or arranged.,在會議上，經理強調要針對項目的進展安排處理相關事宜。 / 針對社區活動的玩具捐贈，志工們積極溝通相關事宜，以確保活動順利舉行。 / 客戶要求我們在簽訂合約之前先確認所有涉及費用的事宜。 / 專案經理要求團隊在制定計畫之前，先討論涉及的風險事宜，以降低潛在問題。 / 在校園內，學生會積極協調講座的日程，並處理與演講嘉賓的聯絡事宜。 / 討論事宜前，我們應該先檢視上次會議的記錄，這樣才能有效跟進未完成的事項。,n,相關事宜 / 處理事宜 / 討論事宜 / 重要事宜 / 溝通事宜 / 有關事宜,"嘉賓, 日程"
2705,恰當合宜。[例]秋天的氣候清爽，很適宜全家出遊。,適宜,恰當而且合適，能夠滿足需要。,Appropriate and suitable; well-suited for a particular situation or purpose.,這個地方的氣候適宜種植水果，因此當地農民的收入頗豐富。 / 老師認為，如果能創造出適宜的學習環境，學生會更加投入課堂。 / 在選擇旅遊地點時，我們應該考慮那個時候的天氣是否適宜。 / 秋天的氣候涼爽，適宜舉辦戶外燒烤活動。 / 計畫婚禮的時候，適宜的場地選擇能夠為整個儀式增添許多美好的回憶。 / 這個地區的水源充足，土壤很好，非常適宜發展有機農業。,"vs-adj, va-i",適宜條件 / 適宜環境 / 適宜種植 / 適宜場所 / 適宜方式 / 適宜人選,"農, 燒烤"
2706,以表情、動作、言語等，向他人表達心意。[例]他以眼神示意，要我趕快走開。,示意,以表情、動作、言語等向他人表達心意。,"To indicate or signal one's intention or request through gestures, expressions, or language.",雖然他沒有說話，但他的眼神示意我跟他一起離開。 / 在會議上，主管點頭示意表示對那個建議的認可。 / 他輕輕的微笑示意，讓我知道他對我的幫助感到感激。 / 當我問她是否需要幫忙時，她搖頭示意，表示不需要。 / 他用身體語言示意我靠近一點，以便能更好地交流。 / 在朋友的聚會上，她舉杯示意，邀請大家一起慶祝。,va-t,眼神示意 / 手勢示意 / 點頭示意 / 明確示意 / 笑容示意 / 直接示意,舉杯
2707,不如意、不得志。[例]他最近商場失意，所以情緒很低落。,失意,不如意，得不到想要的結果，感到失望。,Unfortunate; in a state of disappointment or lack of success.,他在學校的表現不如預期，最近感到十分失意。 / 在朋友的鼓勵下，他逐漸走出了失意的陰影，勇敢面對未來。 / 職場失意的時候，他開始思考自己的職業方向，希望能找到更適合自己的工作。 / 失意的經歷讓她更加堅強，讓她學會珍惜身邊的人和事。 / 在經歷了一段失意的時光後，他決定重拾自己的興趣，找到生活的樂趣。 / 面對失意的現實，他明白唯有不斷努力，才能改變自己的命運。,n,生活失意 / 職場失意 / 失意的時候 / 失意的經歷 / 感到失意 / 面對失意,重拾
2708,足以讓人吟詠的情味、美感。[例]湖畔山坡上滿是楓樹，一到秋天，楓紅水綠，詩意盎然。,詩意,足以讓人吟詠的情味和美感。,"Poetic; having a quality that evokes beauty, emotion, or artistic expression, often in a manner that is worthy of being recited.",在月光下，湖面的波紋閃耀著，散發出夢幻的詩意。 / 雪花安靜地降下，覆蓋了整個城市，帶來一種美好而有詩意的氛圍。 / 春天的午后，陽光透過樹葉灑下，讓整個小鎮充滿了溫暖的詩意。 / 在海邊漫步，聽著潮汐的聲音，心靈深處感受到無限的寧靜詩意。 / 傍晚的日落，天空被染成橘紅色，彷彿是一幅流動的詩意畫卷。 / 田野裡的麥浪輕輕起伏，農夫的辛勤勞作中展現了生活的詩意。,n,美好的詩意 / 自然的詩意 / 夢幻的詩意 / 清新的詩意 / 秋日的詩意 / 溫暖的詩意,"吟詠, 降, 情味, 潮汐, 橘紅, 波紋, 浪, 辛勤勞, 午后, 秋日, 深處"
