number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
88,文字書寫的架構或習慣筆法。[例]從筆跡來看，這兩封信是出自於同一人。,筆跡,The trace of one's writing; the style or habit of one's handwriting.,文字書寫的架構或習慣筆法。,從他的筆跡來看，他是一個很有耐心的人。 / 確認這份文件的筆跡，以確保它是真正的簽名。 / 在這幅字畫中，我可以看到他筆跡的流暢與細膩。 / 這封信的筆跡清晰可讀，讓人感到溫暖。 / 她的筆跡獨特，常常讓人猜測她的個性。 / 即使是不同的筆跡，也能表達出類似的情感。 / 這本書的書寫筆跡很有辨識度，讓人一眼就能認出來。 / 他喜歡研究古人的筆跡，從中尋找書法的奧秘。 / 在法庭上，專家用筆跡分析來證明文件的真實性。 / 筆跡的變化有時候能反映出書寫者的心理狀態。 / 這幅作品的筆跡展示了作者的精神與情感。,n,筆跡 / 確認筆跡 / 不同的筆跡 / 清晰的筆跡 / 有趣的筆跡 / 相似的筆跡 / 整齊的筆跡 / 精美的筆跡 / 筆跡的特徵 / 筆跡給人的感覺
98,寫作的能力。[例]他的英文造詣很高，不但說得漂亮，筆下也不含糊。,筆下,Writing ability or skill.,寫作的能力，通常指文字表達的技藝和水準。,她的小說筆下描寫了那些青春的煩惱，讓人感同身受。 / 這篇文章的筆下流露出作者對故鄉的深切思念。 / 在他的詩篇筆下，愛情變得如此細膩而真摯。 / 學生們努力練習，希望能在考試中展現出他們筆下的才華。 / 他的隨筆筆下充滿了對生活的反思和感悟。 / 朋友的筆下描繪了這座城市的美麗風景，讓我彷彿置身其中。 / 在她的散文筆下，時間似乎靜止，記憶重現生機。 / 這位畫家的畫作筆下，色彩交融出一種獨特的情感。 / 他的筆下總是能將平凡的事物轉化為不平凡的故事。 / 每當她寫信時，筆下流淌出的情感總是那麼真摯動人。 / 文章的筆下 / 作品的筆下 / 文字的筆下 / 才華的筆下 / 表達的筆下 / 感情的筆下 / 創意的筆下 / 風格的筆下 / 魅力的筆下 / 深度的筆下 你需要找出文中這些詞的搭配，將這些詞的筆下換成正確的詞彙。 / 她的小說筆下描寫了那些青春的煩惱，讓人感同身受。 / 這篇文章的筆下流露出作者對故鄉的深切思念。 / 在他的詩篇筆下，愛情變得如此細膩而真摯。 / 學生們努力練習，希望能在考試中展現出他們筆下的才華。 / 他的隨筆筆下充滿了對生活的反思和感悟。 / 朋友的筆下描繪了這座城市的美麗風景，讓我彷彿置身其中。 / 在她的散文筆下，時間似乎靜止，記憶重現生機。 / 這位畫家的畫作筆下，色彩交融出一種獨特的情感。 / 他的筆下總是能將平凡的事物轉化為不平凡的故事。 / 每當她寫信時，筆下流淌出的情感總是那麼真摯動人。 / 在他的小說筆下，角色們的掙扎讓人感受到深刻的人性。 / 這位作家的散文筆下，描繪出了生活中的小確幸，令人感到溫暖。 / 她的詩篇筆下，四季變換間透出對自然的敬畏與熱愛。 / 學者們的研究報告筆下，揭示了這一領域的種種奧秘，讓人獲益良多。 / 他的回憶錄筆下，記錄了那段動蕩歲月，不禁讓人為之感慨。 / 在夥伴的筆下，友誼的點滴被細膩地刻畫，讓人倍感珍貴。 / 這位編劇的劇本筆下，展現了人生的各種可能性，讓觀眾深思熟慮。 / 她的旅行日記筆下，異國風情栩栩如生，讓人向往不已。 / 他的評論筆下，對當前時事的獨到見解引發了廣泛的討論。 / 每當她參加比賽時，筆下的表現總是讓人刮目相看。,n,文章的筆下 / 作品的筆下 / 文字的筆下 / 才華的筆下 / 表達的筆下 / 感情的筆下 / 創意的筆下 / 風格的筆下 / 魅力的筆下 / 深度的筆下
98,作者在寫作書畫所表現的整體風格及涵義。[例]不論什麼平凡的東西，到了他的筆下，無不生動卓絕。,筆下,The overall style and meaning expressed by an author in their writing or artworks.,作者在寫作或繪畫時所表現出的整體風格與意義。,他筆下的人物栩栩如生，讓讀者彷彿能聽到他們的對話。 / 在詩人的筆下，大自然的每一個角落都充滿了情感與故事。 / 作家的筆下流露出對社會的深刻反思，引發讀者的思考。 / 他畫中的世界，透過他的筆下展現出驚人的細膩與色彩。 / 隨著時間的推移，這位畫家的風格在眾人的讚嘆聲中逐漸成型，也受到後世影響。 / 她的筆下捕捉到了城市生活的繁華與喧嚣，讓人感受到強烈的對比。 / 在他的筆下，歷史事件重新被詮釋，讓人感受到過去的沉重與希望。 / 她的小說中，筆下的每一個場景都彷彿能讓讀者聞到那熟悉的香氣。 / 這位詩人的筆下，如同涓涓流水，流淌出心中最真摯的感受。 / 他的筆下融合了傳統與現代，創造出獨特的藝術風格，讓人耳目一新。 / 在她的筆下，愛情的甜美與苦澀交織，讓每個讀者都能找到共鳴。 / 無論是平凡的日常，還是壯麗的景觀，皆在他精緻的筆下，變得富有深意和美感。,n,獨特的筆下 / 生動的筆下 / 創新的筆下 / 精緻的筆下 / 感人的筆下 / 優雅的筆下 / 深刻的筆下 / 清新的筆下 / 富有思想的筆下 / 極具特色的筆下
132,標誌、符號。[例]正字標記,標記,A mark or symbol; a sign indicating something.,用來表示某種特定含義的標誌或符號。,在文件中，我們需要使用清晰的標記來區分不同的部分。 / 老師在考卷上標記了錯誤的地方，以便學生能夠改正。 / 電子檔案的標記系統幫助我們快速找到需要的資料。 / 在地圖上，每個標記都代表著一個重要的景點或地點。 / 我們必須在報告中添加標記，以提高內容的可讀性。 / 標記的重要性在於它能夠幫助我們快速識別關鍵信息。 / 在程式設計中，使用適當的標記可以讓代碼更加易讀和維護。 / 每一個標記都應該具有明確的含義，以避免混淆和誤解。 / 在藝術作品中，標記可以用來表達創作者的意圖和情感。 / 我們需要在實驗記錄中清楚地標記每一步，以便後續的分析。 / 為了提高學習效率，學生應該學會使用各種標記來整理筆記。,標記's verb type: None/N,一個標記 / 重要的標記 / 明確的標記 / 使用標記 / 清晰的標記 / 位置標記 / 識別標記 / 資料標記 / 標記為重要 / 標記的意義
174,時間趕不上。[例]來不及、措手不及、迅雷不及掩耳,不及,,,,,
174,沒達到。[例]兩地相距不及百里，可以當天來回。,不及,,,他這次考試的成績不及格，媽媽這幾天很忙，仍然會拿出時間陪他複習。,,
174,比不上。[例]由於電腦能大量記憶儲存，讓人不免慨嘆人腦不及電腦。,不及,,,,,
212,財政和經濟。[例]他是財經方面的專家，擁有卓越的見解。,財經,Finance and economics; relating to fiscal policies and economic affairs.,財政和經濟的總稱。,他每天都看財經新聞，以瞭解最新的市場動向。 / 在學校的財經課上，老師教學生如何分析經濟數據。 / 我最近參加了一個財經研討會，學到了許多實用的投資技巧。 / 財經專家指出，今年的經濟增長可能會受到外部因素的影響。 / 這本書深入探討了財經政策對國家經濟的長期影響。 / 我朋友的父母在財經行業工作，經常和我們分享他們的經驗。 / 昨天的財經報導提到，股市可能會因為利率變動而波動。 / 這位財經分析師的觀點，讓我對投資有了新的理解和想法。 / 我在網上找到了一個關於財經管理的課程，打算報名參加。 / 財經界的專家們正密切關注國際局勢，評估其可能帶來的風險和機會。 / 地方政府最近推出了一系列財經措施，以刺激當地經濟的發展。,"n
n
n
n
n
n",財經新聞 / 財經報導 / 財經形勢 / 財經市場 / 財經政策 / 財經數據 / 財經趨勢 / 財經分析 / 財經發展 / 財經制度
253,a part-time job,差2,A part-time job.,「差2」是指在學校或工作以外，兼職做的工作。一般上，這種工作時間彈性，可以根據自己的安排進行。,許多學生利用放學後的時間來做一些差2，以賺取零用錢。 / 找到一份合適的差2，可以讓我們更好地管理自己的時間和財務。 / 一些大學提供的差2機會，讓學生能夠獲得寶貴的工作經驗。 / 透過做差2，我學會了如何與人溝通和處理問題。 / 在暑假期間，很多年輕人會選擇做差2，以填補時間和增加收入。 / 這份差2的工作彈性很高，讓我可以自由安排我的學習計畫。 / 我計畫在下個學期開始做差2，這樣可以幫助我更好地準備將來的職業生涯。  / 現在的差2工作越來越多樣化，提供了許多不同的選擇給年輕人。  / 做差2不僅能賺取薪水，還能讓我結識許多新朋友，擴大我的社交圈。  / 如果能找到一份與自己專業相關的差2，對於未來的求職將會有很大的幫助。  / 我最近參加了一個差2招聘會，希望能找到一份適合我的兼職工作。,n,一份差2 / 找差2 / 做差2 / 差2的機會 / 兼職工作 / 方便的差2 / 自由的差2 / 求差2 / 提供差2 / 短期的差2
274,,超乎,To exceed or surpass; to go beyond what is expected or normal.,超乎的意思是超出某種程度或範圍，表示超過了一般的期望或標準。,這部電影的劇情發展超乎我的想像，一開始以為只是一個普通的愛情故事。 / 她平常也不太說話，沒想到她的表達能力超乎我的預期，不僅流利還很有條理。 / 我原本以為這門課會很簡單，學習內容卻超乎我的理解範疇，讓我感到相當挑戰。 / 他在比賽中的表現超乎所有人的期待，各界稱讚他為天才。 / 他對於這個專業的知識掌握，已經超乎一般學者的水準，讓同儕們都很羨慕。 / 她的創意超乎常規，讓整個團隊的計畫有了意想不到的突破。 / 這次旅行的風景之美，真是超乎我想像的壯麗，讓我終身難忘。 / 我以為這份工作會很枯燥，結果團隊的氛圍超乎我的期待，變得非常有趣。 / 他對這個問題的分析超乎所有人的理解，讓我們對這個議題有了全新的看法。 / 這款遊戲的世界觀設計超乎尋常，玩家在其中可以體驗到無限的可能性。 / 他的音樂才華超乎我們的想像，彷彿每一個音符都能觸動人心的深處。,adv,超乎[想像] / 超乎[預期] / 超乎[常規] / 超乎[理解] / 超乎[期待] / 超乎[範疇] / 超乎[現實] / 超乎[邏輯] / 超乎[正常] / 超乎[規則]
