word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
眷屬,5700,親人、家屬。[例]公務人員眷屬都可以參加醫療保險。,Relatives or family members.,親人或家屬。,公務人員的眷屬，也就是直系家屬，可以享有相關的福利措施。 / 軍人的眷屬在生活上面臨許多挑戰，因此社會應該提供更多的支持。 / 眷屬關係的認定，可以幫助在繳稅時享有更多的優惠。 / 眷屬福利方案的推出，讓許多人感受到政府對家庭的重視。 / 在醫療機構中，眷屬可以陪同患者，提供情感上的支持與安慰。 / 為了促進眷屬間的良好關係，福利部門定期舉辦相關的講座和活動。,n,公務人員眷屬 / 直系眷屬 / 隨行眷屬 / 眷屬關係 / 眷屬福利 / 眷屬支持,,,
捐獻,5701,捐出奉獻。[例]他將多年的積蓄全數捐獻出來救助殘障同胞。,To donate or contribute out of generosity.,捐出財物或心力，無償奉獻給需要的人或團體。,為了幫助當地的弱勢家庭，許多人響應號召捐獻物資和金錢。 / 學校舉辦了一場捐獻活動，鼓勵學生為需要幫助的同學捐獻書籍和文具。 / 許多志願者在社區中心幫助整理捐獻物資，讓它們能夠迅速送到需要的人手中。 / 公司推出了員工捐獻計畫，鼓勵大家一起為社會福利機構提供支持。 / 這位明星在社交媒體上發起了捐獻挑戰，吸引了大量粉絲參與，為災區募得善款。 / 這位作家的新書收入將捐獻給提升兒童閱讀能力的非營利組織。,va-t/N,捐獻金額 / 捐獻活動 / 捐獻物資 / 捐獻方式 / 捐獻者名單 / 捐獻證明,,,
絕頂,5702,非常、極甚。[例]這小孩聰明絕頂，日後必是可造之材。,Extremely; exceedingly.,非常、極其。,在這場比賽中，他的表現絕頂出色，贏得了所有人的讚賞。 / 這個地方的風景美麗絕頂，吸引了很多觀光客前來欣賞。 / 即使面對困難，他也堅持不放棄，勇氣絕頂令人佩服。 / 這部電影的劇情緊湊，情感表達絕頂到位，讓觀眾感同身受。 / 在音樂會上，他的鋼琴演奏技藝絕頂，引發了全場熱烈的掌聲。 / 這篇文章的分析絕頂透徹，讓讀者對於主題有了更深的認識。,adv,聰明絕頂 / 天才絕頂 / 美麗絕頂 / 幸運絕頂 / 幸福絕頂 / 樂觀絕頂,,,"作曲, 材, 日後, 造, 遊客, 廚藝, 出來, 望, 懈, 必"
決鬥,5703,為解決糾紛或維護某種榮譽，由雙方按照預定規則，所展開的格鬥。[例]在這部西部片中，兩位主角間的決鬥場面將劇情帶到了高潮。,A duel; A structured fight between two parties to resolve a dispute or defend honor.,為了解決糾紛或維護某種榮譽，雙方按照預定規則展開的格鬥。,這場決鬥吸引了村子裡所有人的目光，大家都期待結果。 / 為了展現勇氣和實力，兩位武士決定在清晨的月光下進行決鬥。 / 在這場決鬥中，雙方都使用了傳統的武器，以維持古老的習俗。 / 決鬥的儀式非常重要，雙方必須遵循嚴格的規則來確保公平。 / 在觀眾的期待中，決鬥的結果終於揭曉，讓每個人都感到驚訝與震撼。 / 雖然決鬥的過程充滿緊張和壓力，但最終他們都學會了珍惜友誼的重要性。,n,兩人決鬥 / 決鬥的武器 / 決鬥的規則 / 決鬥的結果 / 決鬥後的反思 / 決鬥的原因,,,"看似, 旅客, 鬥, 商定, 牛仔"
絕技,5704,超群卓越，無人能及的技能。[例]他擁有模仿各種動物聲音的絕技。,A unique and exceptional skill that is unmatched by others.,超群卓越，無人能及的技能。,那位老爺爺的絕技是打太極，他的每個動作都讓人感受到平靜與力量。 / 在海外華人新年慶祝活動中，一位武術大師展現了他的絕技，贏得了滿堂喝彩。 / 他在游泳比賽中施展了自己的絕技，最終成功奪得金牌。 / 這位藝術家的繪畫絕技讓許多人感到驚豔，畫作的每一筆都充滿了情感。 / 這位魔術師的絕技令人驚嘆，他總是能在不經意間讓觀眾感受到神奇的魅力。 / 這位老人的絕技表演讓人嘆為觀止，他的編織手藝傳承了幾代，作品總是充滿溫暖與故事。,n,獨特的絕技 / 精湛的絕技 / 展現絕技 / 具備絕技 / 高超的絕技 / 無與倫比的絕技,,,"奪得, 宕, 彩, 自拔, 攀岩, 目不暇"
絕跡,5705,絕滅、斷絕蹤跡。[例]這種野生動物因為人為捕殺及自然環境的惡化，已日漸絕跡了。,To become extinct; to disappear altogether.,指生物或事物完全消失，沒有任何蹤跡。,隨著科技的進步，傳統手工藝品的市場需求下滑，導致一些工藝技術面臨絕跡的危機。 / 在偏遠的山區，曾經茂密的野生植物如今因開發過度而絕跡。 / 在城市化快速發展的過程中，許多原本活躍的社區文化正在逐步絕跡，讓人感到失落。 / 一些傳統的音樂形式因為缺乏年輕人的傳承，正面臨絕跡的命運，文化多樣性受到挑戰。 / 由於人類對海洋資源的過度開採，某些魚類品種在這片海域已經幾近絕跡，生態環境急需修復。 / 面對全球化的浪潮，許多地方特色的飲食文化在年輕一代中漸漸絕跡，導致了文化的絕跡，影響了美食的多樣性。,n,野生動物絕跡 / 文化的絕跡 / 生物的絕跡 / 物種的絕跡 / 社會的絕跡 / 技術的絕跡,,,"繁盛, 珍稀, 落在, 栖息, 加劇, 蹤, 化"
絕境,5706,窮途末路、形勢險惡的處境。[例]生意失敗，加上妻離子散，他的生活已陷入絕境。,A dire situation or predicament; a state of being in a hopeless and desperate circumstance.,形勢非常危險，處於窮途末路的境地。,他在比賽中受了重傷，原本得獎的希望瞬間變成絕境。 / 在這場經濟危機中，許多公司面臨絕境，不得不裁員以降低成本。 / 雖然他遭遇了一連串的失敗，但他相信只要努力，就能走出絕境。 / 他們團隊在比賽中面對對手的強大壓力，曾一度陷入絕境，但最終還是逆轉獲勝。 / 在這場自然災害中，許多居民的生活被擾亂，感到自己處於絕境之中。 / 即使在絕境中，他依然沒有放棄自己的夢想，堅持地尋找解決方案。,n,陷入絕境 / 處於絕境 / 面對絕境 / 克服絕境 / 避免絕境 / 走出絕境,,,"重拾, 旅, 金, 失誤, 重傷, 懈, 奪, 窮途末路, 獲救, 化為, 境"
決裂,5707,雙方關係因惡化而破裂。[例]感情決裂、談判決裂,"A breakdown or rupture in relations between two parties, typically due to conflict or disagreement.",雙方關係因為惡化而破裂。,他們原本是好朋友，但因為一個誤會而決裂。 / 經過長時間的合作，兩家企業在重要政策上意見相左，最終宣告決裂。 / 在球隊選手之間，因為一場比賽的失利，曾經親密無間的關係瞬間決裂。 / 朋友之間因為忠誠問題而決裂，這讓許多人感到震驚和遺憾。 / 這位政治人物與他的支持者因為實施新政策的分歧而決裂，令選民感到失望。 / 他們的藝術合作因為創作風格的巨大差異而決裂，導致友誼決裂，各自尋求不同的藝術道路。,n,感情決裂 / 友誼決裂 / 談判決裂 / 關係決裂 / 合作決裂 / 交易決裂,,,"尋, 士氣"
絕倫,5708,超越、凌駕眾人之上。[例]她的舞藝超群絕倫，在世界大賽中脫穎而出。,Incomparable; surpassing all others.,超越、凌駕於眾人之上。,這部電影的表現絕倫，感動了無數觀眾，無法忘懷。 / 他在科技創新方面的成就絕倫，為人類的未來開闢了新的道路。 / 在文學界，他的小說風格絕倫，深刻地反映了當代社會的矛盾與掙扎。 / 這場舞蹈表演動作精準，絕倫的美感讓觀眾驚嘆不已。 / 這位科學家的研究成果絕倫，推動了該領域的進步，受到廣泛讚譽。 / 他們的團隊合作絕倫，默契與效率讓任何挑戰都迎刃而解。,vs-adj,絕倫的技藝 / 絕倫的表現 / 絕倫的魅力 / 絕倫的成就 / 精采絕倫 / 絕倫的音樂,,,"刷新, 競技, 廚藝, 展, 匠, 天籟"
攫取,5709,抓取、奪取。[例]老鷹在天上盤旋，準備隨時攫取草地上覓食的小雞。,To seize or grab; to take by force.,抓取或奪取某物。,在黑暗的角落，一隻饑餓的狐狸悄悄接近，準備攫取小鳥的巢穴。 / 政府強調，資源必須合理分配，避免被少數人攫取。 / 龍在雲端隨時準備出擊，攫取藏匿於山谷的寶藏。 / 隨著科技的發展，某些企業試圖攫取用戶的個人資料，謀取不當利益。 / 這位政治家不斷操縱輿論，試圖攫取支持者以鞏固自己的權力。 / 政策的調整讓某些企業得以攫取新的發展機遇，迅速壯大規模。,va-t,攫取利益 / 攫取權力 / 攫取資源 / 攫取機會 / 攫取資訊 / 攫取支持,,,"獵豹, 羚羊, 海鷗, 潛行, 額, 毫無, 旨, 抓取"
