number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations,problematic_words
4600,為理想而抗爭奮鬥的人。[例]民主鬥士、自由鬥士,鬥士,A fighter who struggles and fights for ideals.,為理想而抗爭奮鬥的人。,許多自由鬥士不畏艱難，持續為人權發聲，爭取改善社會現狀。 / 在抗議活動中，這些年輕的鬥士們展現出無畏的勇氣，堅定不移地追尋民主改革的理想。 / 自由鬥士雖然面對強大壓力，仍然堅持以非暴力的方式抵抗不公的制度。 / 過去的鬥士們為了下一代，為他們創造了一個更加平等的生活環境，而這股鬥志至今仍激勵著後人。 / 各國的自由鬥士們常常分享經驗，以互相學習，提升他們對抗暴政的能力。 / 曾經有許多勇敢的鬥士站出來，反對歧視，致力於建立一個更加包容的社會。 / 在這場社會運動中，和平鬥士們通過對話和合作，成功促進了各界的和解與理解。 / 現代的環保鬥士們利用科技與創新，呼籲全球共同面對氣候變遷的挑戰。 / 即使面對嚴厲的法律打壓，這些勇敢的言論鬥士依然堅持揭露真相，追求言論自由。 / 歷史上的女性鬥士們為爭取性別平等付出了不少心血，讓今天的女性能夠享有更多的權利。 / 民主鬥士用自己的生命和汗水，換來了今日社會的繁榮與昌盛，值得我們永遠銘記。,n,民主鬥士 / 自由鬥士 / 和平鬥士 / 社會鬥士 / 女權鬥士 / 反腐鬥士 / 種族鬥士 / 教育鬥士 / 正義鬥士 / 愛國鬥士,"女權, 至今, 昌盛, 銘記, 移, 暴, 腐, 畏"
4601,招攬顧客推銷物品。[例]路口常有人兜售一串串的玉蘭花。,兜售,To sell or hawk items while soliciting customers.,招攬顧客推銷物品。,商人總是在市集上兜售新產品，吸引顧客的注意。 / 在公園裡，有人兜售手工製作的飾品，深受遊客喜愛。 / 節慶期間，許多攤販會兜售各式各樣的美食，讓人垂涎欲滴。 / 他們在街頭兜售二手書籍，希望能找到一些愛好者。 / 這家店兜售的特價商品吸引了眾多顧客前來搶購。 / 騎樓上經常有販賣飲料的小販兜售，為炎熱的夏天帶來一絲清涼。 / 每到周末，市場上就會出現兜售有機農產品的攤位，吸引了健康飲食的追求者。 / 文創市集裡，藝術家們兜售自己的畫作，希望能尋找到欣賞的目光。 / 節日快到了，郵局外面排隊的人們，期待著購買兜售的特別郵票。 / 社區活動中，有志願者兜售義賣商品，所得款項將用於幫助弱勢家庭。 / 遊行結束後，路旁的小攤販開始兜售各種紀念品，讓參加者帶走美好的回憶。在這個過程中，遊行的特色商品和獨特文化更加吸引了遊客的目光。,va-t,兜售商品 / 兜售服務 / 兜售票券 / 兜售特產 / 兜售遊戲 / 兜售小吃 / 兜售產品 / 兜售紀念品 / 兜售飲料 / 兜售玩具,"遊客, 深受, 價, 招攬, 票券, 創, 帶走, 搶購, 義賣, 特, 騎樓, 市集"
4602,奮發進取的意志。[例]鬥志昂揚,鬥志,Aspirations and determination to strive and succeed.,奮發進取的意志與精神。,經過這麼多年的努力，他終於實現了自己的理想，展現了堅定的鬥志。 / 在困難的時刻，朋友的鼓勵讓我重新找回了鬥志和信心。 / 她每天都進行激烈的訓練，無論遇到什麼挑戰，始終不放棄鬥志。 / 鬥志不屈的他，雖然遭遇了挫折，卻從不輕言放棄，持續朝目標邁進。 / 這次比賽中，選手們以高昂的鬥志和默契的團隊合作，獲得了冠軍。 / 即使面對重重困難，他的鬥志依然不減，堅信自己能夠克服一切挑戰。 / 在夢想的追逐中，他始終保持著充沛的鬥志，無懼前方的艱辛路程。 / 鬥志如虹的她，每天都為自己的目標努力奮鬥，讓周圍的人都感受到她的熱情。 / 雖然遇到了巨大的壓力，他的鬥志卻愈發堅定，決心迎接每一個挑戰。 / 在這場競賽中，選手們不僅展現了優秀的技術，更表現出無比的鬥志，感動了所有觀眾。 / 鬥志滿滿的他，對於未來充滿期待，始終相信努力就能改變命運。,n,鬥志高昂 / 鬥志堅定 / 鬥志滿滿 / 鬥志不屈 / 鬥志昂揚 / 鬥志勃勃 / 鬥志如虹 / 鬥志高漲 / 鬥志不減 / 鬥志先行,"鬥志勃勃, 找回, 懼, 昂揚, 屈"
4603,較量智謀優劣。[例]圍棋是一種很好的鬥智遊戲。,鬥智,To compete in wit and intelligence.,較量智謀的優劣。,兩個撲克牌的玩家經過數小時的激烈角逐，終於分出勝負，展現了過人的鬥智。 / 在智慧遊戲中，參賽者運用巧妙的策略，讓觀眾感受到鬥智的樂趣。 / 圍棋不僅是一種鬥智的遊戲，還需要玩家在棋盤上展現出高度的專注力。 / 在這場鬥智大賽中，選手們各自使出渾身解數，力求在有限的時間內取得高分。 / 許多熱愛解謎的人士，喜歡參加鬥智競賽，挑戰自己的思維極限。 / 他們在鬥智比賽中，巧妙運用心理戰術，成功迷惑了對手。 / 鬥智遊戲的規則雖然簡單，但掌握其深奧的策略需要長時間的練習和思考。 / 這部電影描繪了主角與敵人之間的鬥智過程，讓觀眾緊張地期待著每一個轉折。 / 在國際象棋比賽中，選手們必須預測對手的每一步，才能在這場鬥智的對決中贏得勝利。 / 鬥智的挑戰不僅考驗參賽者的智慧，也磨練了他們的耐心和毅力。 / 在這個鬥智的環境中，選手們不僅要面對對手的策略，還要克服自己的心理障礙。,va-i/N,鬥智遊戲 / 鬥智比賽 / 鬥智高手 / 鬥智策略 / 鬥智賽事 / 鬥智的挑戰 / 鬥智的環境 / 鬥智過程 / 鬥智之戰 / 鬥智的對手,"棋盤, 象棋, 智, 圍棋, 戰鬥智, 角逐, 賽事, 解, 賽, 力, 謀, 參賽"
4604,單獨稱霸，無人可敵。[例]瑞士鐘錶產品，獨霸全球市場。,獨霸,To dominate or monopolize without opposition.,單獨稱霸，無人可敵。,在這次音樂比賽中，她憑藉卓越的表演獨霸全場，贏得了所有評審的認可。 / 儘管市場競爭激烈，這家企業仍然獨霸高端科技產品的市場，引領潮流。 / 這位導演的新片一經上映，立即獨霸票房排行，成為觀眾口中的熱門話題。 / 在社交媒體上，他的影響力與日俱增，似乎獨霸了整個平台的討論風潮。 / 這個品牌以其獨特的設計風格獨霸時尚界，吸引了眾多明星效應。 / 在電影產業中，這個公司以其高品質的作品獨霸市場，贏得了觀眾的青睞。 / 隨著這項新技術的推出，該公司獨霸了行業的創新領域，迫使競爭對手重新考慮策略。 / 在體育賽事中，這位運動員的出色表現使她獨霸了奪冠的熱門位置，引發了媒體的廣泛關注。 / 這個娛樂平台因為豐富的內容資源而獨霸了網路影視市場，吸引了大量用戶訂閱。 / 在藝術界，這位畫家的作品以其獨特的魅力獨霸拍賣會，創下了歷史新高的成交額。 / 隨著網路購物的崛起，這家電商平台有效地獨霸了消費者的心智，改變了傳統零售格局。,va-t,獨霸市場 / 獨霸科技 / 獨霸產業 / 獨霸全球 / 獨霸娛樂圈 / 獨霸地位 / 獨霸文化 / 獨霸品牌 / 獨霸經濟 / 獨霸格局,"經, 訂閱, 敵, 奪冠, 影視, 創, 界, 賽事, 成交額, 商"
4605,可載運人、貨物、車輛等過河的船。[例]渡船應常檢修，以保障旅客的安全。,渡船,"A ferry; a boat used to transport people, goods, and vehicles across a river.",可載運人、貨物、車輛等過河的船。,每天都有很多人搭乘渡船來往於河的兩岸，方便了居民的生活。 / 渡船在湖面上平穩地運行，乘客們可以悠閒地欣賞沿途的風景。 / 因為渡船維修，今天的班次全部取消，讓許多旅客感到失望。 / 渡船的所有乘客在出發前都必須繫好安全帶，以確保行程的安全。 / 渡船的司機十分熟練，能夠在惡劣的天氣下安全地將乘客送達目的地。 / 渡船運行時，船員會不時提醒乘客注意腳下的安全，以防意外發生。 / 在節假日，渡船的客流量大增，導致排隊等候登船的人數也隨之增加。 / 渡船上提供了簡單的飲食服務，讓長途旅行的乘客能夠享受美味的餐點。 / 渡船的票價實惠，使得很多學生也選擇這種交通方式前往學校。 / 每當夕陽西下，渡船駛過水面的瞬間，總能勾起人們對過去的美好回憶。 / 渡船服務提高了城市的交通便利性，吸引了越來越多的遊客前來探索這片區域。,n,渡船服務 / 渡船班次 / 渡船安全 / 渡船運行 / 渡船時刻 / 渡船載運 / 渡船事故 / 渡船碼頭 / 渡船乘客 / 渡船路線,"登船, 遊客, 隨, 節假日, 送達, 旅客, 載運, 客流量, 駛過, 勾起"
4606,與眾不同的創造、發明。[例]五權憲法是國父孫中山先生所獨創。,獨創,"Original; Uniquely created or invented, indicating originality and distinctiveness.",與眾不同的創造或發明。,這位畫家的獨創藝術風格，讓他的作品在展覽中格外引人注目。 / 在科技競爭激烈的今天，擁有獨創的發明能讓公司在市場上脫穎而出。 / 他發表的論文中提出了獨創的理論，挑戰了傳統學說。 / 這部電影的獨創劇情設計，使觀眾感受到前所未有的刺激與感動。 / 參加比賽的設計師，紛紛展示出他們的獨創作品，讓評委印象深刻。 / 經過長時間的研究，他終於發明了一種獨創的技術，大幅提升了生產效率。 / 這本書的獨創敘事方式，成功吸引了不同年齡層的讀者。 / 在音樂創作領域，這位作曲家的獨創旋律，讓人耳目一新。 / 這項獨創的社會計畫，旨在幫助弱勢群體重新融入社會。 / 他的攝影作品以獨創的視角捕捉了城市的瞬息變化，廣受好評。 / 這個品牌的獨創理念，不僅提升了產品價值，也塑造了消費者的忠誠度。,n,獨創的理念 / 獨創的設計 / 獨創的作品 / 獨創的思維 / 獨創的技術 / 獨創的概念 / 獨創的藝術 / 獨創的品牌 / 獨創的發明 / 獨創的風格,"旨, 敘事, 評委, 瞬息, 作曲"
4607,監督催促。[例]為降低車禍死亡率，交通單位嚴格督促機車騎士戴安全帽。,督促,To supervise and urge; to monitor and prompt.,監督並催促某人或某事，確保其按照要求完成。,老闆常常督促我們按時完成工作，以提高公司效率。 / 學校會定期督促學生檢查作業，確保他們及時學習。 / 為了提高安全意識，消防局加強督促公眾參加火災演習。 / 領導會督促團隊成員保持良好的溝通，促進合作效率。 / 社區志願者定期督促老年人進行健康檢查，以關心他們的身體狀況。 / 政府督促企業遵守環保法規，以保護我們的生態環境。 / 教練每周督促運動員進行體能訓練，以提高他們的競技水平。 / 在專案會議上，經理會督促成員時刻關注進度，確保按時交付成果。 / 學校的輔導老師會督促學生參加心理輔導，以幫助他們應對壓力。 / 為了促進閱讀風潮，圖書館會定期督促市民參加讀書活動。 / 每位教師都應督促學生遵守課堂規則，以維持良好的學習環境。 / 為確保項目的順利進行，專案經理會嚴格督促團隊成員遵守時間表。,va-t,督促執行 / 督促進度 / 督促員工 / 督促工作 / 督促改善 / 督促進展 / 嚴格督促 / 定期督促 / 督促政策 / 督促遵守,"消防局, 時間表, 體, 競技"
4608,獨力擔當一方的重任。[例]經過一年的磨鍊，他已經可以獨當一面了。,獨當一面,To shoulder a heavy responsibility independently in a specific area.,獨力擔當一方的重任，能夠自己處理困難和挑戰。,經過幾年的實習，這位年輕的醫生終於能獨當一面，獨自處理醫療案例。 / 在項目談判時，他已經能獨當一面，不需要再依賴上司的指導。 / 在這次的領導訓練中，她學會了如何獨當一面，管理自己的團隊和任務。 / 總經理對他的表現十分讚賞，認為他已經具備獨當一面的能力，可以負責更重要的任務。 / 這位老師在教學上表現出色，讓學生們深刻感受到她獨當一面的專業與熱情。 / 經過一年的磨鍊，他已經可以獨當一面，擔任團隊的領導者。 / 在這次的創業計畫中，他成功獨當一面，制定出有效的市場策略。 / 隨著經驗的積累，她已經能獨當一面，解決客戶的各種問題。 / 在緊急情況下，他展現出獨當一面的勇氣，迅速作出明智的決策。 / 公司對他的信任逐漸增加，因為他已經展現出獨當一面的潛力，能夠處理複雜的業務挑戰。 / 在志願服務中，她積極參與，努力讓自己獨當一面，帶領其他志願者完成各項任務。,idiom,獨當一面的能力 / 獨當一面的責任 / 獨當一面的精神 / 獨當一面的挑戰 / 獨當一面的角色 / 獨當一面的任務 / 獨當一面的表現 / 獨當一面的經驗 / 獨當一面的信心 / 獨當一面的機會,"積累, 獨, 磨鍊, 總經理"
4609,監督指導。[例]為了完成任務，他對部屬督導得非常嚴格。,督導,To supervise and guide; to oversee and instruct.,監督和指導他人的工作，確保任務順利完成。,新主管的到來，讓整個團隊在專業的督導下效率提升了不少。 / 在實習期間，導師對我的工作進行了細緻的督導，使我獲益良多。 / 他在專案會議上強調督導的重要性，希望每位成員都能明確自己的任務。 / 為了確保產品質量，工廠經理定期對生產線進行現場督導。 / 處長拍板決定，未來每週都要進行一次團隊督導，以追蹤工作進度。 / 為了提升員工的專業技能，公司的專業督導每月會舉辦一次培訓課程。 / 在學期末，校方會對教師的教學進行督導，以確保教學質量達標。 / 為了順利完成各項任務，專案負責人要求每位成員都接受嚴格的督導與指導。 / 在科研項目中，導師的督導幫助我們避免了不少錯誤，順利推進了研究進程。 / 每年，公司的高層都會進行一次全面的財務督導，以審核各部門的預算使用情況。 / 志工協會的負責人強調，只有通過有效的督導，才能提高志工服務的整體質量。,va-t,嚴格的督導 / 有效的督導 / 專業的督導 / 定期督導 / 課堂督導 / 工作督導 / 督導 / 進度督導 / 銷售督導 / 任務督導,"队, 团, 生產線, 科研, 拍板, 良多, 達, 質量, 標"
