number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
1301,泛指各種機具、器械。[例]機械可以完成很多人力做不到的工作。,跡象,Various machines and equipment; refers to tools and devices used to perform work.,泛指各種機具和器械，通常用來完成人力無法做到的工作。,工廠裡的先進自動機械，提高了生產效率，減少了人力成本。 / 在這堂課上，學生們學習如何操作各種機械，並了解它們的工作原理。 / 他們正在設計一款新型的農業機械，目的是幫助農民更有效率地耕作。 / 機械維修師傅，正細心檢查每一個零件，確保設備運行正常。 / 無論是在工業還是日常生活中，機械的應用無處不在，影響著人們的生活方式。 / 這台精密機械能夠完成許多人手無法達成的細緻工作，提高了製造業的品質。 / 在科學展覽上，學生們展示了他們的創意機械，吸引了許多觀眾的目光。 / 透過學習機械工程，學生們希望能夠設計出更環保的機械設備，減少能源消耗。 / 許多企業採用新型建築機械，以加快建設進程，提升工程的安全性和效率。 / 機械自動化的趨勢，使得傳統產業面臨轉型的挑戰，迫使他們尋找新的發展方向。 / 機械的發展不僅促進了經濟增長，也改變了人們的生活習慣，使工作更加便利。,n,自動機械 / 精密機械 / 建築機械 / 農業機械 / 工業機械 / 機械維修 / 機械操作 / 機械設計 / 機械工程 / 機械設備
1302,泛指各種機具、器械。[例]機械可以完成很多人力做不到的工作。,譏笑,Various machines and equipment; refers to tools and devices used to perform work.,泛指各種機具和器械，通常用來完成人力無法做到的工作。,工廠裡的先進自動機械，提高了生產效率，減少了人力成本。 / 在這堂課上，學生們學習如何操作各種機械，並了解它們的工作原理。 / 他們正在設計一款新型的農業機械，目的是幫助農民更有效率地耕作。 / 機械維修師傅，正細心檢查每一個零件，確保設備運行正常。 / 無論是在工業還是日常生活中，機械的應用無處不在，影響著人們的生活方式。 / 這台精密機械能夠完成許多人手無法達成的細緻工作，提高了製造業的品質。 / 在科學展覽上，學生們展示了他們的創意機械，吸引了許多觀眾的目光。 / 透過學習機械工程，學生們希望能夠設計出更環保的機械設備，減少能源消耗。 / 許多企業採用新型建築機械，以加快建設進程，提升工程的安全性和效率。 / 機械自動化的趨勢，使得傳統產業面臨轉型的挑戰，迫使他們尋找新的發展方向。 / 機械的發展不僅促進了經濟增長，也改變了人們的生活習慣，使工作更加便利。,n,自動機械 / 精密機械 / 建築機械 / 農業機械 / 工業機械 / 機械維修 / 機械操作 / 機械設計 / 機械工程 / 機械設備
1303,泛指各種機具、器械。[例]機械可以完成很多人力做不到的工作。,機械,Various machines and equipment; refers to tools and devices used to perform work.,泛指各種機具和器械，通常用來完成人力無法做到的工作。,工廠裡的先進自動機械，提高了生產效率，減少了人力成本。 / 在這堂課上，學生們學習如何操作各種機械，並了解它們的工作原理。 / 他們正在設計一款新型的農業機械，目的是幫助農民更有效率地耕作。 / 機械維修師傅，正細心檢查每一個零件，確保設備運行正常。 / 無論是在工業還是日常生活中，機械的應用無處不在，影響著人們的生活方式。 / 這台精密機械能夠完成許多人手無法達成的細緻工作，提高了製造業的品質。 / 在科學展覽上，學生們展示了他們的創意機械，吸引了許多觀眾的目光。 / 透過學習機械工程，學生們希望能夠設計出更環保的機械設備，減少能源消耗。 / 許多企業採用新型建築機械，以加快建設進程，提升工程的安全性和效率。 / 機械自動化的趨勢，使得傳統產業面臨轉型的挑戰，迫使他們尋找新的發展方向。 / 機械的發展不僅促進了經濟增長，也改變了人們的生活習慣，使工作更加便利。,n,自動機械 / 精密機械 / 建築機械 / 農業機械 / 工業機械 / 機械維修 / 機械操作 / 機械設計 / 機械工程 / 機械設備
1304,生物體的某部分發育不正常。[例]他先天雙腳畸形，要靠輪椅才能行動。,畸形,Abnormal; referring to a condition where a part of a living organism is poorly developed or misshapen.,某部分發育不正常，形狀或功能異常。,他出生時就有先天性的畸形，右手只剩下三根手指。 / 醫生檢查後發現她的心臟有畸形，需要進行手術來修復。 / 這隻小狗因為遺傳問題，後腿畸形，無法正常行走。 / 這幅畫的構圖雖然看起來有些畸形，但卻表達出獨特的情感。 / 在醫學研究中，科學家們專注於了解畸形的形成原因和治療方法。 / 先天性畸形的兒童需要特別的照顧和支持，以幫助他們適應生活。 / 他的小腿因為先天畸形，長大後必須裝上義肢才能行走。 / 醫院專門設立了畸形矯正診所，幫助患者改善生活質量。 / 許多藝術作品中探索了畸形與美之間的關係，挑戰傳統審美觀。 / 志願者們定期來到福利院，陪伴那些身有畸形的孩子，帶給他們歡樂。 / 畸形的脊椎讓他的生活充滿挑戰，但他依然樂觀面對每一天。,n,畸形的肢體 / 畸形的生物 / 先天性畸形 / 腦部畸形 / 畸形的器官 / 畸形的胎兒 / 畸形的心臟 / 畸形的骨骼 / 認識畸形 / 治療畸形
1304,反常或不合常理。[例]拜金主義是一種畸形的社會現象。,畸形,Abnormal or irrational; referring to something that deviates from the norm.,指的是反常或不合常理的現象或事物。,社會上存在著一些畸形的性別觀念，影響著年輕人的人生選擇。 / 畸形的競爭讓許多人不得不付出過高的代價，才有機會進入知名企業。 / 他們之間的畸形關係讓朋友之間的互動變得緊張而不安。 / 異常的消費習慣是畸形的市場需求所造成的，商家應該重新評估這種現象。 / 在這個畸形的社會體系中，許多優秀的人才被迫選擇放棄自己的理想。 / 畸形的價值觀使得不少年輕人迷失了方向，無法正確看待成功與失敗。 / 當前的教育體制過於競爭，導致畸形的學習壓力影響學生的心理健康。 / 在這種畸形的工作環境裡，員工們不得不忍受不合理的加班制度，影響了生活品質。 / 社交媒體的影響力日益增強，卻也催生了許多畸形的人際交往模式。 / 畸形的環保政策讓企業在發展與保護之間難以找到平衡，造成了嚴重的生態問題。 / 這種畸形的家庭教育方式，使孩子在成長過程中失去了應有的自由與探索機會。,n,畸形的社會現象 / 畸形的價值觀 / 畸形的行為 / 畸形的思想 / 畸形的關係 / 畸形的需求 / 畸形的競爭 / 畸形的發展 / 畸形的產業 / 畸形的現象
1305,生物體的某部分發育不正常。[例]他先天雙腳畸形，要靠輪椅才能行動。,記敘,Abnormal; referring to a condition where a part of a living organism is poorly developed or misshapen.,某部分發育不正常，形狀或功能異常。,他出生時就有先天性的畸形，右手只剩下三根手指。 / 醫生檢查後發現她的心臟有畸形，需要進行手術來修復。 / 這隻小狗因為遺傳問題，後腿畸形，無法正常行走。 / 這幅畫的構圖雖然看起來有些畸形，但卻表達出獨特的情感。 / 在醫學研究中，科學家們專注於了解畸形的形成原因和治療方法。 / 先天性畸形的兒童需要特別的照顧和支持，以幫助他們適應生活。 / 他的小腿因為先天畸形，長大後必須裝上義肢才能行走。 / 醫院專門設立了畸形矯正診所，幫助患者改善生活質量。 / 許多藝術作品中探索了畸形與美之間的關係，挑戰傳統審美觀。 / 志願者們定期來到福利院，陪伴那些身有畸形的孩子，帶給他們歡樂。 / 畸形的脊椎讓他的生活充滿挑戰，但他依然樂觀面對每一天。,n,畸形的肢體 / 畸形的生物 / 先天性畸形 / 腦部畸形 / 畸形的器官 / 畸形的胎兒 / 畸形的心臟 / 畸形的骨骼 / 認識畸形 / 治療畸形
1306,講究技巧性的表演藝術或手藝。[例]要學會任何一項特殊的技藝，都必須花費相當的苦心與時間。,積蓄,"A skillful or artistic technique, often requiring a high level of skill and precision in performance or craftsmanship.",講究技巧性的表演藝術或手藝。,在比賽中，選手們用精湛的技藝讓觀眾驚嘆不已。 / 為了提高舞蹈的表現力，老師們經常強調技藝與情感的結合。 / 學習陶藝雖然困難，但每當看到自己的作品時，心中的成就感讓一切努力都值得。 / 這位畫家的獨特技藝吸引了不少藝術愛好者前來欣賞。 / 透過不斷的練習，學生們的書法技藝逐漸達到了老師的期望。 / 在每年的樂器演奏比賽中，參賽者都展示了他們非凡的音樂技藝，讓評審驚艷。 / 這名廚師以其高超的技藝和創新的菜肴，贏得了全球食客的喜愛。 / 在電影拍攝過程中，演員們的精湛技藝為角色賦予了生命，讓觀眾感同身受。 / 老師常說，掌握一項傳統技藝需要的不僅是時間，還要有對藝術的熱愛。 / 這本手工藝書詳盡地介紹了各種技藝的技巧，讓初學者也能輕鬆上手。 / 隨著科技的進步，許多古老的技藝面臨失傳的風險，需要人們更努力地去保護和傳承。,n,精湛的技藝 / 高超的技藝 / 傳統的技藝 / 學習技藝 / 磨練技藝 / 展現技藝 / 追求技藝 / 發揮技藝 / 專業的技藝 / 獨特的技藝
1307,講究技巧性的表演藝術或手藝。[例]要學會任何一項特殊的技藝，都必須花費相當的苦心與時間。,技藝,"A skillful or artistic technique, often requiring a high level of skill and precision in performance or craftsmanship.",講究技巧性的表演藝術或手藝。,在比賽中，選手們用精湛的技藝讓觀眾驚嘆不已。 / 為了提高舞蹈的表現力，老師們經常強調技藝與情感的結合。 / 學習陶藝雖然困難，但每當看到自己的作品時，心中的成就感讓一切努力都值得。 / 這位畫家的獨特技藝吸引了不少藝術愛好者前來欣賞。 / 透過不斷的練習，學生們的書法技藝逐漸達到了老師的期望。 / 在每年的樂器演奏比賽中，參賽者都展示了他們非凡的音樂技藝，讓評審驚艷。 / 這名廚師以其高超的技藝和創新的菜肴，贏得了全球食客的喜愛。 / 在電影拍攝過程中，演員們的精湛技藝為角色賦予了生命，讓觀眾感同身受。 / 老師常說，掌握一項傳統技藝需要的不僅是時間，還要有對藝術的熱愛。 / 這本手工藝書詳盡地介紹了各種技藝的技巧，讓初學者也能輕鬆上手。 / 隨著科技的進步，許多古老的技藝面臨失傳的風險，需要人們更努力地去保護和傳承。,n,精湛的技藝 / 高超的技藝 / 傳統的技藝 / 學習技藝 / 磨練技藝 / 展現技藝 / 追求技藝 / 發揮技藝 / 專業的技藝 / 獨特的技藝
1308,講究技巧性的表演藝術或手藝。[例]要學會任何一項特殊的技藝，都必須花費相當的苦心與時間。,記憶體,"A skillful or artistic technique, often requiring a high level of skill and precision in performance or craftsmanship.",講究技巧性的表演藝術或手藝。,在比賽中，選手們用精湛的技藝讓觀眾驚嘆不已。 / 為了提高舞蹈的表現力，老師們經常強調技藝與情感的結合。 / 學習陶藝雖然困難，但每當看到自己的作品時，心中的成就感讓一切努力都值得。 / 這位畫家的獨特技藝吸引了不少藝術愛好者前來欣賞。 / 透過不斷的練習，學生們的書法技藝逐漸達到了老師的期望。 / 在每年的樂器演奏比賽中，參賽者都展示了他們非凡的音樂技藝，讓評審驚艷。 / 這名廚師以其高超的技藝和創新的菜肴，贏得了全球食客的喜愛。 / 在電影拍攝過程中，演員們的精湛技藝為角色賦予了生命，讓觀眾感同身受。 / 老師常說，掌握一項傳統技藝需要的不僅是時間，還要有對藝術的熱愛。 / 這本手工藝書詳盡地介紹了各種技藝的技巧，讓初學者也能輕鬆上手。 / 隨著科技的進步，許多古老的技藝面臨失傳的風險，需要人們更努力地去保護和傳承。,n,精湛的技藝 / 高超的技藝 / 傳統的技藝 / 學習技藝 / 磨練技藝 / 展現技藝 / 追求技藝 / 發揮技藝 / 專業的技藝 / 獨特的技藝
1309,講究技巧性的表演藝術或手藝。[例]要學會任何一項特殊的技藝，都必須花費相當的苦心與時間。,集郵,"A skillful or artistic technique, often requiring a high level of skill and precision in performance or craftsmanship.",講究技巧性的表演藝術或手藝。,在比賽中，選手們用精湛的技藝讓觀眾驚嘆不已。 / 為了提高舞蹈的表現力，老師們經常強調技藝與情感的結合。 / 學習陶藝雖然困難，但每當看到自己的作品時，心中的成就感讓一切努力都值得。 / 這位畫家的獨特技藝吸引了不少藝術愛好者前來欣賞。 / 透過不斷的練習，學生們的書法技藝逐漸達到了老師的期望。 / 在每年的樂器演奏比賽中，參賽者都展示了他們非凡的音樂技藝，讓評審驚艷。 / 這名廚師以其高超的技藝和創新的菜肴，贏得了全球食客的喜愛。 / 在電影拍攝過程中，演員們的精湛技藝為角色賦予了生命，讓觀眾感同身受。 / 老師常說，掌握一項傳統技藝需要的不僅是時間，還要有對藝術的熱愛。 / 這本手工藝書詳盡地介紹了各種技藝的技巧，讓初學者也能輕鬆上手。 / 隨著科技的進步，許多古老的技藝面臨失傳的風險，需要人們更努力地去保護和傳承。,n,精湛的技藝 / 高超的技藝 / 傳統的技藝 / 學習技藝 / 磨練技藝 / 展現技藝 / 追求技藝 / 發揮技藝 / 專業的技藝 / 獨特的技藝
