number,old_definition,translation,definition,example_sentences,part_of_speech,collocations
226,急促匆忙。[例]這件事關係重大，不可倉促做決定。,Hasty and rushed; done without careful consideration.,行動或做決定非常急促和匆忙，缺乏充分的思考和準備。,這次的準備非常倉促，導致會議時出現很多問題。 / 倉促之中，他們忘記檢查設備是否正常運作。 / 在倉促的情況下，她的報告中出現了許多錯誤。 / 由於倉促，他們沒有足夠的時間進行市場調查。 / 倉促的決定讓團隊面臨了許多額外的挑戰。 / 如果沒有詳細計劃，倉促行動可能會造成嚴重後果。 / 在倉促的準備過程中，他們錯過了重要的資訊。 / 倉促的回應讓客戶感到不滿，影響了公司的形象。 / 這次的倉促安排使得活動缺乏必要的細節與規劃。 / 倉促的決策過程使得團隊成員之間產生了不少誤解。 / 為了避免倉促之舉，他們決定延長籌備時間。,adv,太過倉促 / 過於倉促 / 倉促的決定 / 倉促的行動 / 倉促地行動 / 倉促的回應 / 倉促的準備 / 由於倉促 / 避免倉促 / 倉促做決定
237,旁邊。[例]兩側、側面、隨侍在側,Beside; on the side; lateral.,旁邊的位置。,他坐在我左側，方便我跟他聊天。 / 這件衣服的側面設計非常特別，讓人看了很驚喜。 / 我們在山上看風景時，發現側邊有一條小路可以下山。 / 這幅畫的右側有一棵美麗的樹，讓整個畫面更加生動。 / 她的車停在我家旁邊的側邊，佔了我原本要使用的車位。 / 他在大會上發言時，旁邊的隨侍也不斷點頭表示贊同。 / 學校的操場兩側種滿了樹木，給孩子們提供了陰涼的休息空間。 / 藝術館的側面展示了許多當地藝術家的作品，讓人感受到不同的創意。 / 這本書的前側封面設計得非常精美，吸引了許多讀者的目光。 / 他在路邊側耳傾聽，似乎想捕捉到每一個細微的聲音。 / 這座橋的兩側都有觀景平台，非常適合拍照和欣賞風景。,n,兩側 / 側面 / 右側 / 左側 / 側邊 / 隨侍在側 / 側耳傾聽 / 站在側 / 坐在側 / 向側傾
237,傾斜。[例]側身、側耳傾聽,To incline or lean to one side.,身體或物體向一側傾斜，不正面對某個方向。,他側著身子，讓路給後面的人。 / 我們在公園散步時，看到一隻側躺的小狗。 / 請你側耳傾聽，聽聽這首曲子的美妙旋律。 / 他側過頭去，專心思考這個難題。 / 在藝術展覽中，我欣賞到一幅側筆畫的作品，讓我感受到畫家的獨特風格。 / 她側目而視，對那個不尋常的舉動感到驚訝。 / 他在講故事時，偶爾側身示範，讓聽眾更加投入。 / 這本書的內容側重於心理學，對於想了解人性的人來說非常有幫助。 / 我喜歡側著坐在陽台上，享受咖啡的香氣和外面的風景。 / 當他側臉看著我時，我突然覺得他笑得非常燦爛。 / 車子在側風中行駛，讓我們感受到不同尋常的震動。 / 她側著身子，仔細觀察著那幅畫的細節。,vp-i/N,側耳傾聽 / 側身而立 / 側目而視 / 側頭思考 / 側臉相望 / 側眼觀看 / 側風而行 / 側重於某事 / 側視某人 / 側置物品
225,參考仿照。[例]這幅畫中的建築物，是參照歐洲文藝復興年代的建築構圖而成的。,To refer to and draw upon as a model or standard.,參考仿照某種標準或範本。,在學校，老師會參照歷年的考題來出新的考試題。 / 這篇文章的結構，參照了很多知名學者的寫作模式。 / 在這個報告中，我們需要參照最新的研究數據來支持我們的觀點。 / 計畫的執行過程，需要參照原本的時間表，以確保按時完成。 / 當設計新的產品時，設計師會參照市場上現有的競爭品。 / 參照這本教科書，你可以更清楚地理解課程的內容。 / 在制定預算時，我們需要參照去年的花費情況，以便做出合理的估算。 / 這部電影的劇情，參照了真實事件，因此引起了廣泛的關注。 / 為了提高學習效率，學生應該參照有效的學習方法來安排自己的時間。 / 在進行科學實驗時，研究人員必須參照標準的操作程序，以確保結果的準確性。 / 這幅畫的風格，參照了印象派的技法，讓作品更加生動。,va-t/N,依據的參照 / 設計的參照 / 標準的參照 / 參照資料 / 參照例子 / 相似的參照 / 具體的參照 / 有效的參照 / 充分地參照 / 正確地參照
223,參看。[例]本次抽獎的中獎名單，請參閱下星期一的報紙。,To refer to or consult.,查閱、查看某些資料或信息。,有關公司的最新政策，請參閱內部公告文件。 / 在旅遊前，建議參閱一下當地的安全指南，以確保旅途順利。 / 要了解更多關於這個產品的使用方法，請參閱隨附的使用手冊。 / 若您對學校的招生資訊有疑問，請參閱學校官方網站的公告頁面。 / 這篇研究報告的詳細數據，您可以參閱附錄部分的資料。 / 參加會議前，請先參閱會議議程，以便做好準備。 / 若想知道活動的具體時間和地點，請參閱邀請函上的詳細資訊。 / 有關這項計畫的進一步說明，請參閱我們的官方公告。 / 如果您需要查詢歷史資料，建議參閱圖書館的檔案館。 / 這本書的推薦閱讀清單中，您可以找到值得參閱的其他文獻。 / 有關此產品的技術規格，請參閱產品手冊中的相關章節。,va-t,參閱資料 / 參閱文件 / 參閱報告 / 參閱網站 / 參閱指南 / 參閱章節 / 參閱條款 / 參閱說明 / 參閱文章 / 參閱手冊
240,比喻境界、水準。[例]當氣功修鍊到某一層次後，要再進一步，須花費更多的工夫。,A level or layer; a metaphorical reference to different stages or standards.,比喻境界或水準的高低。,這部電影的情節層次很豐富，讓觀眾反思人性的複雜。 / 討論這個主題時，我們需要考慮到不同的層次，才能深入了解問題的本質。 / 他的演講條理清晰，層次分明，讓聽眾容易跟上他的思路。 / 在學習語言的過程中，我們必須掌握不同的層次，以便能夠流利地進行交流。 / 這幅畫作的色彩層次不僅美麗，還傳達出深刻的情感。 / 這本書的內容涵蓋多個層次，讀者可以根據自己的理解深入探索。 / 學習數學時，掌握基本概念的層次對解決複雜問題至關重要。 / 這首歌曲的旋律層次豐富，使得每次聆聽都有新的感受。 / 他對於歷史的分析具有多層次的深度，讓人們重新思考過去的事件。 / 在團隊合作中，了解成員之間的不同層次有助於提升整體效率。 / 學習哲學需要探索多重層次，才能真正 grasp 理解每個理論的含義。,n,不同的層次 / 高低的層次 / 深刻的層次 / 豐富的層次 / 提升層次 / 理解層次 / 層次提高 / 層次分明 / 情感的層次 / 學習的層次
240,條理、次序。[例]層次井然,"Levels, layers, or hierarchies in a structured manner; refers to the organization and order within a system or concept.",條理分明，次序清楚。,這篇文章的層次非常分明，讀者能夠輕易理解作者的觀點。 / 學生在報告中運用了不同的層次，讓整體內容更加豐富。 / 在討論時，大家的發言層次錯落有致，使得討論更加有趣。 / 這幅畫的層次感很強，讓觀者彷彿能進入畫中的世界。 / 整個學習計畫的層次設計非常周全，每個階段都有明確的目標。 / 這篇論文的層次清晰，讓讀者可以輕鬆跟隨研究的步驟。 / 在這部小說中，角色之間的層次關係複雜，增添了故事的張力。  / 這次會議的議程層次明確，使參與者能有效地討論各項議題。  / 他的演講層次分明，觀眾不僅能理解主題，還能感受到其熱情。  / 這份報告的數據分析層次詳細，讓人對整體情況有更深入的了解。  / 這部電影的情節層次錯綜複雜，讓觀眾在觀看過程中不斷驚喜。,n,層次分明 / 層次清晰 / 層次豐富 / 層次錯落 / 有層次 / 內容層次 / 思考層次 / 職位層次 / 藝術層次 / 理論層次
241,層次等級。[例]研究所是比大學更高層級的教育機構。,A level or rank in a hierarchy.,指事物的不同層次和等級。,在企業中，層級越高的管理者擁有更多的決策權限。 / 教育體系的層級分明，從小學到大學都有不同的要求和標準。 / 這個社會的層級結構影響了每個人的生活機會和資源分配。 / 在軍隊裡，不同層級的指揮官負責不同的任務和部隊。 / 此次會議的目的是加強跨層級的溝通，以提升團隊效率。 / 高層級的教育機構需要設置多樣化的課程來滿足不同學生的需求。 / 在非營利組織中，層級的劃分有助於明確各部門的職責與合作方式。 / 社會層級的差異常常反映在收入和職業的選擇上。 / 企業的層級管理模式使得信息的傳遞效率有時受到影響。 / 為了促進層級之間的理解，我們需要舉辦更多的交流活動。 / 在這個多層級的系統中，基層員工的意見也應該被納入考量。,n,高層級的教育 / 中層級的管理 / 社會層級的差異 / 層級的結構 / 管理層級的精英 / 跨層級的合作 / 多層級的系統 / 層級的劃分 / 重要層級的決策 / 層級的變化
242,範圍。[例]這件事影響的層面很廣，務必小心處理。,A facet or aspect; a dimension or layer of consideration in a situation or issue.,範圍或方面。,這項計畫在教育、經濟和環境等層面都有重要的影響。 / 不同層面的問題需要從不同的角度來分析。 / 在這次會議中，我們討論了如何改善各個層面的管理措施。 / 他在演講中提到，成功不僅僅是從事業的層面來看，還包括家庭和人際關係。 / 社會的層面影響著個人的生活選擇，因此我們必須重視該議題。 / 在這個專案中，我們需要考慮到文化、法律和科技等多個層面。 / 政府的政策改變將對社會福利的層面產生深遠的影響。 / 透過這次研究，我們希望能探索到健康生活的不同層面。 / 在檢討這個問題時，我們必須從歷史與當前狀況的層面進行比較分析。 / 這本書深入探討了心理學在教育層面的應用，提供了許多實用的建議。 / 各行各業都面臨著挑戰，我們需要從多個層面來尋找解決方案。,n,多個層面 / 不同層面 / 各個層面 / 生活的層面 / 社會的層面 / 工作的層面 / 環境的層面 / 情感的層面 / 心理的層面 / 經濟的層面
242,層次方面。[例]這個合作案牽涉到幾個層面，必得審慎考量，不可貿然決定。,A level or aspect; refers to different dimensions or factors involved in a situation.,指事物的不同層次或方面。,這個計畫在經濟層面和社會層面都會產生重大影響。 / 當討論氣候變化時，環境層面和經濟層面必須同時考量。 / 在籌備活動時，組織者需考量到場地、時間以及預算等不同的層面。 / 這部電影不僅在娛樂層面取得成功，還觸及到許多深刻的人生層面。 / 在學習一門新語言的時候，語言層面與文化層面的理解同樣重要。 / 社交媒體對年輕人生活的影響，涉及到心理層面和社會層面兩個重要層面。 / 這項研究不僅探討了科技層面的進步，還分析了與之相關的倫理層面。 / 在考慮住房問題時，人們需要評估經濟層面和地理層面的多重影響。 / 此次會議將專注於教育政策的不同層面，以尋求更有效的解決方案。 / 繪畫作品所傳達的情感層面，往往比技術層面更加引人注目。 / 在追求職業發展的過程中，個人的技能層面與人際關係層面同樣不可忽視。,n,社會層面 / 經濟層面 / 文化層面 / 政治層面 / 教育層面 / 環境層面 / 重要的層面 / 不同的層面考量 / 考慮層面 / 涉及層面
