number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
1301,可供追尋查探的線索、現象。[例]根據種種跡象顯示，這樁案件他涉嫌重大。,跡象,A sign or indication; a phenomenon or clue that can be traced or investigated.,可供追尋和查探的線索或現象。,根據專家的分析，最近氣候變遷的跡象越來越明顯。 / 科學家在研究中找到了癌症早期的跡象，這為治療提供了新的希望。 / 犯罪專家指出，這些跡象可能與該地區的犯罪率上升有關。 / 在小說中，主角的夢境中出現的奇怪跡象暗示了即將發生的事件。 / 最近的詐騙案件頻發，讓人們對網路安全的重視上升，這是一種警覺的跡象。,n,隱藏的跡象 / 初步的跡象 / 重要的跡象 / 分析跡象 / 解讀跡象
1302,諷刺嘲笑。[例]無論別人如何譏笑，他依然我行我素。,譏笑,To mock or ridicule in a sarcastic manner.,諷刺並嘲笑他人，通常帶有貶義。,他的計畫被大家譏笑，沒有人看好他的想法。 / 在這部電影裡，主角經常受到譏笑，讓觀眾感到同情。 / 即使被人譏笑，她依然堅持追尋自己的夢想。 / 他設計的服裝雖然被譏笑，但最後卻成為時尚潮流。 / 朋友之間的譏笑有時會讓氣氛更輕鬆，但也要注意不要過頭。 / 他穿著奇特的衣服走在街上，果然引來了不少譏笑的目光。 / 她在比賽中的失誤讓觀眾譏笑不已，令她感到非常尷尬。 / 即使面對譏笑，他仍然堅定自己的信念，不會輕易放棄。 / 社交媒體上，有些人總是喜歡譏笑別人的生活選擇，讓人感到無奈。 / 在班上，他的發言經常被譏笑，這讓他對參與討論失去了信心。 / 這部作品雖然初期被譏笑，但後來卻贏得了業界的高度評價。,va-t,受到譏笑 / 被人譏笑 / 譏笑他人 / 聽到譏笑 / 譏笑不已 / 表達譏笑 / 避免譏笑 / 給予譏笑 / 譏笑的理由 / 譏笑的表情
1303,泛指各種機具、器械。[例]機械可以完成很多人力做不到的工作。,機械,Various machines and equipment; refers to tools and devices used to perform work.,泛指各種機具和器械，通常用來完成人力無法做到的工作。,工廠裡的先進自動機械，提高了生產效率，減少了人力成本。 / 在這堂課上，學生們學習如何操作各種機械，並了解它們的工作原理。 / 他們正在設計一款新型的農業機械，目的是幫助農民更有效率地耕作。 / 機械維修師傅，正細心檢查每一個零件，確保設備運行正常。 / 無論是在工業還是日常生活中，機械的應用無處不在，影響著人們的生活方式。 / 這台精密機械能夠完成許多人手無法達成的細緻工作，提高了製造業的品質。 / 在科學展覽上，學生們展示了他們的創意機械，吸引了許多觀眾的目光。 / 透過學習機械工程，學生們希望能夠設計出更環保的機械設備，減少能源消耗。 / 許多企業採用新型建築機械，以加快建設進程，提升工程的安全性和效率。 / 機械自動化的趨勢，使得傳統產業面臨轉型的挑戰，迫使他們尋找新的發展方向。 / 機械的發展不僅促進了經濟增長，也改變了人們的生活習慣，使工作更加便利。,n,自動機械 / 精密機械 / 建築機械 / 農業機械 / 工業機械 / 機械維修 / 機械操作 / 機械設計 / 機械工程 / 機械設備
1304,生物體的某部分發育不正常。[例]他先天雙腳畸形，要靠輪椅才能行動。,畸形,Abnormal; referring to a condition where a part of a living organism is poorly developed or misshapen.,某部分發育不正常，形狀或功能異常。,他出生時就有先天性的畸形，右手只剩下三根手指。 / 醫生檢查後發現她的心臟有畸形，需要進行手術來修復。 / 這隻小狗因為遺傳問題，後腿畸形，無法正常行走。 / 這幅畫的構圖雖然看起來有些畸形，但卻表達出獨特的情感。 / 在醫學研究中，科學家們專注於了解畸形的形成原因和治療方法。 / 先天性畸形的兒童需要特別的照顧和支持，以幫助他們適應生活。 / 他的小腿因為先天畸形，長大後必須裝上義肢才能行走。 / 醫院專門設立了畸形矯正診所，幫助患者改善生活質量。 / 許多藝術作品中探索了畸形與美之間的關係，挑戰傳統審美觀。 / 志願者們定期來到福利院，陪伴那些身有畸形的孩子，帶給他們歡樂。 / 畸形的脊椎讓他的生活充滿挑戰，但他依然樂觀面對每一天。,n,畸形的肢體 / 畸形的生物 / 先天性畸形 / 腦部畸形 / 畸形的器官 / 畸形的胎兒 / 畸形的心臟 / 畸形的骨骼 / 認識畸形 / 治療畸形
1304,反常或不合常理。[例]拜金主義是一種畸形的社會現象。,畸形,Abnormal or irrational; referring to something that deviates from the norm.,指的是反常或不合常理的現象或事物。,社會上存在著一些畸形的性別觀念，影響著年輕人的人生選擇。 / 畸形的競爭讓許多人不得不付出過高的代價，才有機會進入知名企業。 / 他們之間的畸形關係讓朋友之間的互動變得緊張而不安。 / 異常的消費習慣是畸形的市場需求所造成的，商家應該重新評估這種現象。 / 在這個畸形的社會體系中，許多優秀的人才被迫選擇放棄自己的理想。 / 畸形的價值觀使得不少年輕人迷失了方向，無法正確看待成功與失敗。 / 當前的教育體制過於競爭，導致畸形的學習壓力影響學生的心理健康。 / 在這種畸形的工作環境裡，員工們不得不忍受不合理的加班制度，影響了生活品質。 / 社交媒體的影響力日益增強，卻也催生了許多畸形的人際交往模式。 / 畸形的環保政策讓企業在發展與保護之間難以找到平衡，造成了嚴重的生態問題。 / 這種畸形的家庭教育方式，使孩子在成長過程中失去了應有的自由與探索機會。,n,畸形的社會現象 / 畸形的價值觀 / 畸形的行為 / 畸形的思想 / 畸形的關係 / 畸形的需求 / 畸形的競爭 / 畸形的發展 / 畸形的產業 / 畸形的現象
1305,記載敘述。如：「他擅長寫記敘式的文章。」「《西潮》記敘清末西風東漸的原委與得失，剖析東西文化的差異。」,記敘,To narrate or describe in detail.,記載並敘述一件事情或一個事件。,他用生動的語言記敘了童年玩耍的趣事，讓人聽得津津有味。 / 在這篇文章中，作者詳細記敘了他旅行中的見聞與感受，讓讀者彷彿身歷其境。 / 老師要求學生寫一篇記敘文，描述一次難忘的家庭聚會。 / 這部電影不僅記敘了主角的成長過程，還探討了友情和愛情的羈絆。 / 在小說中，記敘者以第一人稱的視角記敘了他與失散多年的朋友重聚的感人故事。 / 寫這篇記敘文時，她特別強調了那些小細節，讓整個故事更加真實感人。 / 他在演講中記敘了自己奮鬥的歷程，激勵了在場的每一位聽眾。 / 這本書詳細記敘了歷史事件的起伏，幫助讀者更好地理解過去。 / 她用清晰的筆觸記敘了城市的變遷，讓人對這個地方產生了深厚的情感。 / 在課堂上，學生們分享了各自記敘的故事，讓大家感受到不同的人生經歷。 / 這篇報導以翔實的資料記敘了當地社區的發展，展現了人們的努力與希望。,va-t/N,記敘文 / 記敘體 / 詳細記敘 / 生動記敘 / 記敘故事 / 記敘事件 / 記敘經過 / 清楚記敘 / 具體記敘 / 記敘文章
1306,積聚而來的儲蓄。[例]他手頭上沒有積蓄，只好四處告貸來應急。,積蓄,Savings accumulated over time.,指長時間積聚而來的儲存金錢或資源。,他計劃把這筆積蓄用來旅行，實現他一直以來的夢想。 / 經過幾年的努力工作，她終於積蓄了一筆足夠的錢，可以買下她憧憬已久的房子。 / 這家銀行提供的定期積蓄方案，讓客戶可以獲得更高的利息收入。 / 他的積蓄不夠，因此決定先租房子，等以後有更多的積蓄後再買房。 / 每個月她都會定期將一部分薪水存入銀行，以增加她的長期積蓄。 / 過去的幾年裡，他努力積蓄，最終實現了自己獨立開店的夢想。 / 這筆積蓄將用於她的孩子教育基金，確保他們未來能接受良好的教育。 / 在一次偶然的機會下，他發現自己積蓄的錢足夠支持他的創業計劃。 / 她的父母一直鼓勵她學會積蓄，以備不時之需，這對她的人生很有幫助。 / 他們計劃將所有的積蓄用於提前還清房貸，這樣可以節省不少利息。 / 每當看到銀行帳戶裡的積蓄逐漸增加，他的心中就會感到一種莫名的安心。,n,我的積蓄 / 他的積蓄 / 銀行積蓄 / 不動用積蓄 / 打算用積蓄 / 積蓄的金額 / 積蓄不夠 / 逐漸積蓄 / 定期積蓄 / 計劃積蓄
1307,講究技巧性的表演藝術或手藝。[例]要學會任何一項特殊的技藝，都必須花費相當的苦心與時間。,技藝,"A skillful or artistic technique, often requiring a high level of skill and precision in performance or craftsmanship.",講究技巧性的表演藝術或手藝。,在比賽中，選手們用精湛的技藝讓觀眾驚嘆不已。 / 為了提高舞蹈的表現力，老師們經常強調技藝與情感的結合。 / 學習陶藝雖然困難，但每當看到自己的作品時，心中的成就感讓一切努力都值得。 / 這位畫家的獨特技藝吸引了不少藝術愛好者前來欣賞。 / 透過不斷的練習，學生們的書法技藝逐漸達到了老師的期望。  / 在每年的樂器演奏比賽中，參賽者都展示了他們非凡的音樂技藝，讓評審驚艷。 / 這名廚師以其高超的技藝和創新的菜肴，贏得了全球食客的喜愛。  / 在電影拍攝過程中，演員們的精湛技藝為角色賦予了生命，讓觀眾感同身受。  / 老師常說，掌握一項傳統技藝需要的不僅是時間，還要有對藝術的熱愛。  / 這本手工藝書詳盡地介紹了各種技藝的技巧，讓初學者也能輕鬆上手。  / 隨著科技的進步，許多古老的技藝面臨失傳的風險，需要人們更努力地去保護和傳承。,n,精湛的技藝 / 高超的技藝 / 傳統的技藝 / 學習技藝 / 磨練技藝 / 展現技藝 / 追求技藝 / 發揮技藝 / 專業的技藝 / 獨特的技藝
1308,電腦用來儲存資料的地方。大致可分為主記憶體和輔助記憶體。主記憶體用來存放正準備被利用的資料，除了一小部分被永久寫入的程式所占據外，大部分的資料會隨著電源的切斷而消失；多由磁芯、磁線、磁泡及半導體記憶體等材料製成，或稱為「內部記憶體」。而輔助記憶體則作為永久儲存之用，縱使電源被切斷，亦不影響存放的資料；多由磁碟、磁帶、磁鼓等磁性材料製造而成，或稱為「外部記憶體」。,記憶體,"A memory unit in a computer used for data storage, broadly categorized into main memory and auxiliary memory. Main memory temporarily holds data that is being processed and is volatile, meaning it loses its information when power is turned off. It is primarily made of materials such as magnetic cores, magnetic wires, magnetic bubbles, and semiconductor memory, also known as ""internal memory."" Auxiliary memory is used for permanent storage, retaining data even when power is disconnected, and is typically made from magnetic disks, tapes, and drums, referred to as ""external memory.""",電腦用來儲存資料的地方。分為主記憶體和輔助記憶體。主記憶體存放正準備被利用的資料，大部分資料會隨著電源切斷而消失，主要由磁芯、磁線、磁泡及半導體記憶體等材料製成，亦稱為「內部記憶體」。輔助記憶體則作為永久儲存之用，電源切斷後不影響存放的資料，主要由磁碟、磁帶、磁鼓等磁性材料製造，亦稱為「外部記憶體」。,要提高電腦的效能，最簡單的方法就是擴充記憶體。 / 當前的程式需要大量記憶體，但我的電腦只有很少的容量，無法運行。 / 在處理大型檔案時，記憶體速度的快慢會直接影響電腦的運作效率。 / 記憶體條的安裝需要小心，以免損壞其他硬體設備。 / 快閃記憶體因其速度快和耐用性高，被廣泛應用在各種電子產品中。 / 使用記憶體管理工具能有效地釋放多餘的記憶體空間，提高系統性能。 / 記憶體性能的提升可以讓遊戲運行更加流暢，減少畫面卡頓的情況。  / 記憶體卡的容量越大，能存儲的資料和應用程式就越多，使用上也更加方便。  / 為了加速數據處理，我決定升級我的主記憶體，以提升整體系統表現。  / 記憶體的類型不同，對應的速度和容量也會有所差異，選擇時需根據需求考量。  / 雖然固態硬碟的讀寫速度比傳統硬碟快，但若記憶體不足仍會影響系統的流暢度。,n,主記憶體 / 記憶體容量 / 記憶體速度 / 記憶體條 / 記憶體卡 / 記憶體模組 / 擴充記憶體 / 記憶體管理 / 快閃記憶體 / 記憶體性能
1309,蒐集保存郵票。[例]集郵有怡情、益智與儲財三大好處。,集郵,To collect and preserve stamps.,蒐集並保存郵票的活動。,集郵活動不僅增進了朋友之間的交流，也讓大家了解郵票背後的歷史故事。 / 小明把集郵當作興趣，每周都會花時間整理他的郵票簿。 / 在學校的課外活動中，老師介紹了集郵的樂趣，讓更多學生想參加。 / 集郵愛好者常常會互相分享珍藏的郵票，以擴充自己的收藏。 / 在集郵展上，專業的集郵者會展示自己珍貴的集郵品，吸引了不少觀眾。 / 小華的爺爺是個熱愛集郵的人，常常帶她一起去尋找特別的郵票。 / 集郵不僅是一種休閒活動，還能幫助人們增強對歷史的認識與理解。 / 每當看到朋友帶來新郵票時，小莉都會感到一陣興奮，期待能夠加入她的集郵收藏。 / 為了提高自己的集郵技巧，小張報名參加了專門的集郵工作坊。 / 集郵的過程中，小明學會了如何辨別郵票的真偽，這對他的收藏非常重要。 / 不少集郵協會定期舉辦交流會，讓集郵愛好者們有機會互相學習與討論。,n,集郵愛好者 / 集郵活動 / 珍貴的集郵 / 集郵的樂趣 / 集郵的知識 / 專業的集郵者 / 如何開始集郵 / 集郵的技巧 / 互換集郵票 / 參加集郵展
