number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
901,超越一般的水準、程度。[例]他駕駛技術高超，開起車來，不但速度快，而且很平穩。,高超,Superior; exceeding ordinary standards or levels.,超越一般的水準和程度。,在國際象棋的比賽中，她展現了高超的戰略思維。 / 他高超的演講技巧，讓聽眾深深投入於他的故事中。 / 當他解決那個複雜的數學問題時，展現了他高超的分析能力。 / 這家公司的高超服務品質，讓客戶感受到無微不至的關懷。 / 她以高超的溝通技巧，成功地化解了團隊中的矛盾。,vs-adj,高超的技術 / 高超的水平 / 高超的演技 / 高超的創造力 / 高超的分析能力
902,向人辭別。[例]客人在談完話後，就起身告辭了。,告辭,To bid farewell or take leave.,向他人告別，通常在結束某段交談或活動時進行。,小王在朋友家待了很久，終於準備告辭，並表示下次還想再來玩。 / 他在會議結束後，禮貌告辭，感謝同事們的分享與討論。 / 客人們享用完美味的晚餐後，紛紛站起來告辭，互道祝福。 / 在朋友的婚禮上，許多人祝賀新人，隨後也陸續告辭，回家休息。 / 突然告辭讓大家感到意外，他只留下一張紙條表示有急事要處理。,va-i/N,起身告辭 / 禮貌告辭 / 暫時告辭 / 準備告辭 / 突然告辭
903,優劣、好壞。[例]一個人成就的高低並不能代表其人品的好壞。,高低,"Quality or merit; refers to the distinction or ranking of good and bad, high and low.",優劣、好壞的程度。,雖然得分的高低可能影響比賽的結果，但比賽的過程更重要。 / 在這家公司，薪水的高低主要取決於員工的工作經驗和能力。 / 這部電影評價的高低讓票房表現差異很大，有些人愛它，有些人討厭它。 / 在選舉中，候選人支持率的高低直接影響了競選策略的調整。 / 產品質量的高低，往往決定了消費者的選擇與品牌忠誠度。,n,成就的高低 / 質量的高低 / 重要性的高低 / 評價的高低 / 高低的差異
903,高處與低處。[例]這條路高低不平，急需修補。,高低,High and low; referring to the unevenness or variation in elevation.,指高處與低處的不同。,這條街的高低落差很大，走起來需要小心。 / 這片區域的高低變化讓我們的旅程充滿驚喜。 / 在這個公園裡，步道的高低差異讓晨跑變得更加有趣。 / 高低不平的石板路讓我們的行程充滿挑戰。 / 這棟大樓的高低層次設計使得整個建築更具藝術感。,n,高低起伏 / 高低差異 / 高低變化 / 高低限制 / 高低分布
904,借指具有決策權力的高級階層。[例]高峰會談、高峰會議,高峰,A summit; a meeting or conference involving decision-makers.,指的是具有決策權力的高級階層。,世界各國領導人在高峰會議上討論如何應對氣候變化的挑戰。 / 為了促進經濟合作，亞太區的高峰論壇成為各國交流的重要平台。 / 各國高層領導人的高峰會談顯示出全球合作的決心，尤其是在疫情過後。 / 在這次高峰會議上，各國決定加強在科技領域的合作，以促進創新發展。 / 在金融高峰論壇上，專家們分享了應對全球經濟不穩定的策略和建議。,n,高峰會議 / 高峰論壇 / 高峰會談 / 高峰合作 / 高峰對話
904,高的山峰，事物發展的最高點。[例]經過前一次的失敗之後，他努力吸取其他企業的優點，終於再創事業的高峰。,高峰,"The highest point or peak of something, often used metaphorically to refer to the zenith of development or achievement.",比喻事物發展的最高點。,他在職場上的拼搏使他的事業迎來了高峰，並成為業界的領導者。 / 她的音樂才華在這次大賽中得到了充分展現，讓她的演藝生涯達到了高峰。 / 現在的科技發展正處於數位轉型的高峰，讓各行各業都感受到了前所未有的變革。 / 這次國際會議吸引了眾多專家學者，讓全球對環保議題的關注達到了高峰。 / 在這場歷史性的比賽中，選手們的技術水平達到了高峰，創造了新的世界紀錄。,n,事業的高峰 / 成就的高峰 / 人生的高峰 / 體能的高峰 / 創作的高峰
905,警告勸誡。[例]老師特別告誡我們，不要出入不良場所。,告誡,To warn and admonish; to advise against wrongdoing.,用言語提醒他人注意某種行為或情況，通常含有警告和勸告的意味。,在出門前，父母總是反復的告誡我，注意交通安全，避免發生意外。 / 當我考慮投資時，朋友告誡我要謹慎，別隨便相信網路上的理財建議。 / 每次考試前，班主任都會嚴厲的告誡我們好好準備，切勿臨時抱佛腳。 / 在選擇職業時，導師認真的告誡我要考慮未來的發展，選擇自己真正喜愛的工作。 / 當我感到壓力時，心理輔導師告誡我要找到適合自己的放鬆方法，保持良好的心態。,va-t/N,嚴厲的告誡 / 認真的告誡 / 反復的告誡 / 接受告誡 / 不聽告誡
906,年紀大。[例]高齡產婦、高齡人口,高齡,Old or elderly; referring to a person of advanced age.,年紀大，通常指年齡在六十五歲以上。,社會需要制定更多的政策，以因應高齡社會的來臨。 / 高齡者在社區中的參與，能夠提升整體的社會活力。 / 隨著醫療技術的提升，高齡者的生活品質也逐漸改善。 / 近年來，越來越多的高齡人口遷至鄉村地區。 / 高齡福利應包括提高健康檢查頻率，以便及早發現其潛在的健康問題。,n,高齡者 / 高齡人口 / 高齡社會 / 高齡醫療 / 高齡福利
907,形容物品的款式質地均佳。[例]這件禮品不僅高尚，而且實用，頗受歡迎。,高尚,Of high quality and excellent style.,形容物品的款式和質地都很好，既有品味又實用。,他總是樂於助人，讓人感覺到他的高尚品德。 / 這部電影展現了人性中高尚的一面，讓觀眾深感觸動。 / 在艱苦的環境中，志願者們的高尚情操讓人們看到了希望。 / 她立志成為一名醫生，因為她想用自己的能力去實現高尚的理想。 / 每個人都應該追求高尚的價值，這樣才能使生活更有意義。 / 即使面對困難，他依然堅持高尚的信念，從不放棄。 / 他在藝術創作中追求高尚的理想，力求表達人類最美好的情感。 / 社區舉辦的慈善活動，吸引了許多具有高尚情操的人士參與。 / 這本書深入探討了高尚的道德觀，使讀者反思自己的價值觀。 / 高尚的友誼不僅在於分享快樂，還在於彼此扶持度過難關。 / 學校鼓勵學生培養高尚的品味，以提升他們的生活質量和審美情趣。,vs-adj,高尚的品味 / 高尚的理念 / 高尚的追求 / 高尚的道德 / 高尚的情操 / 高尚的理想 / 高尚的信念 / 高尚的價值 / 高尚的品德 / 高尚的行為
907,清高不俗。[例]他的談吐高尚大方，令人印象深刻。,高尚,Noble and unpretentious; having lofty morals and integrity.,品德高潔，不追求世俗利益。,他的高尚情操讓所有人都感到敬佩。 / 老師經常鼓勵學生追求高尚的理想，不要被現實打倒。 / 在慈善活動中，志願者們的無私奉獻展現了高尚的品德。 / 他的高尚理想使他不懼艱難，勇敢追尋自己的夢想。 / 面對不公正的現象，他勇敢站出來發聲，這種高尚的行為值得我們學習。,vs-adj,高尚的品格 / 高尚的情操 / 高尚的理想 / 高尚的行為 / 高尚的人格
