word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
愛國,1,,Patriotic; showing love and loyalty to one's country.,對國家的忠誠與熱愛。,許多愛國人士參加升旗典禮，表達他們的愛國情操。 / 在國慶日，大家都會唱愛國歌曲，感受民族的團結。 / 每次看到國旗高高掛著，他心中就充滿了愛國的驕傲。 / 愛國不只是口號，實際行動更顯重要。 / 在國際比賽中，運動員們以優異的表現，展現了他們的愛國精神。 / 老師在課堂上告訴學生們，愛國不僅是對國家的熱愛，還包括了解歷史和文化。,Vs-adj,愛國人士 / 愛國精神 / 愛國主義 / 愛國情操 / 愛國歌曲 / 愛國心情,àiguó,ㄞˋㄍㄨㄛˊ,
曖昧,2,,"Unclear, ambiguous, or not straightforward; referring to a situation or relationship that lacks transparency or integrity.",指事情或關係不清楚、不明確，存在模糊或不正當的情況。,他和她之間的曖昧關係讓大家都感到好奇。 / 他的態度總是曖昧不明，讓我不知道他真正的想法。 / 他擅長在社交場合中製造曖昧情境，故意引起大家的討論。 / 對於這個問題的回應，他的答覆顯得相當曖昧模糊，讓人無法信服。 / 我們之間的曖昧情感，是我不敢輕易表達的秘密。 / 她對他的曖昧態度讓朋友們猜測他們之間是否存在戀愛的可能。,Vs-adj,曖昧不清 / 曖昧不明 / 關係曖昧 / 曖昧模糊 / 曖昧的態度 / 曖昧的眼神,àimèi,ㄞˋㄇㄟˋ,
愛慕,3,,"To admire and have affection for someone, indicating deep respect and fondness.",喜愛和崇拜某人或某物，常帶有深厚的情感。,她在心中默默愛慕著那位溫柔的男孩。 / 他最近發現自己對好友產生愛慕的情感，導致他工作時無法專心。 / 他們的朋友都知道她對那位歌手的愛慕之情。 / 他寫了一首情詩，裡面表達了他對欣賞對象的愛慕之情。 / 那個男孩愛慕的目光讓她感到十分害羞，不知道該如何面對。 / 他們兩個互相愛慕，但因為現實的考量，最後仍舊無法在一起。,Vs-t,愛慕的對象 / 愛慕之情 / 愛慕的情感 / 愛慕虛榮 / 互相愛慕 / 愛慕之心,àimù,ㄞˋㄇㄨˋ,
哀求,4,,"To plead or beg earnestly, often with a sense of desperation.",苦苦請求他人，表達強烈的希望或需要。,他被抓到考試作弊，苦苦哀求老師原諒他。 / 他說的謊話讓好友感到失望，他哀求朋友原諒他。 / 最近公司營運不佳，經理宣布得開除全部的基層員工。大家聽到這個消息之後急得向他哀求，希望公司重新考慮這個重大決定。 / 在正式比賽前，這位運動員膝蓋不幸受傷，但他仍哀求醫生讓他上場比賽。 / 這位女孩為了能夠實現她的夢想，哀求父母讓她報名參加舞蹈比賽。 / 他不小心開車撞傷了路人，他跪地哀求家屬原諒他。,Va-t,跪地哀求 / 哀求原諒 / 哀求幫助 / 低聲哀求 / 不斷哀求 / 哀求安慰,āiqiú,ㄞ ㄑㄧㄡˊ,
哀傷,5,,Grief and sorrow; deep sadness resulting from loss or misfortune.,悲哀和痛苦的情感，通常因為失去或悲傷的事件而產生。,每當想到失去的愛人，他的臉便浮現了哀傷的神情。 / 她在音樂會上演奏的曲子充滿了哀傷，讓人感受到深深的失落。 / 在葬禮上，所有的人都流下了悲傷的淚水，哀傷不已。 / 這部電影的結局非常感人，讓觀眾感受到無法形容的哀傷。 / 她在老朋友的葬禮上感到哀傷，眼淚止不住地流。 / 在那幅畫中，畫家表達了深深的哀傷，讓每位看畫的人都能感受到一種難以形容的情感。,Vs-adj,哀傷不已 / 深感哀傷 / 充滿了哀傷 / 哀傷的回憶 / 面對哀傷 / 哀傷的歌,āishāng,ㄞ ㄕㄤ,
*黯淡,6,,Gloomy; describing a scene as tragic.,形容景象悲慘，讓人感到失望或無望。,在經濟不景氣的情況下，這家公司前景看起來相當黯淡。 / 經過這場比賽大敗之後，球隊的前途看起來十分黯淡。 / 在眾人期待的壓力之下，他的心情變得越來越黯淡，失去了以前的動力。 / 即使面對困難，他仍然努力堅持，不想讓自己的人生看起來過於黯淡。 / 這兩個最大的政黨不斷鬥爭，整個國家前途一片黯淡，因此許多國際公司都不願加碼投資。 / 這個導演推出的電影票房黯淡，導致投資的公司股票下跌。,Vs-adj,前途黯淡 / 生活黯淡 / 希望黯淡 / 心情黯淡 / 票房黯淡 / 一片黯淡,àndàn,ㄢˋ ㄉㄢˋ,
黯淡 / 暗淡,6,,"Dull; referring to a state or appearance that is old, gray, or lacking brightness.",顏色或光線不鮮明、不亮麗，給人感覺較為沉重或無生氣。,今天的天氣很糟，外面的天色看起來十分黯淡 / 暗淡 ，隨時都有可能下起大雨。 / 這幅畫的顏色有些黯淡 / 暗淡，又掛在美術館的角落，很少有人會注意到。 / 在黯淡 / 暗淡的燈光下，他的臉看起來有些憂傷。 / 朋友的笑容還是那麼甜美，但今天她的眼神有些黯淡 / 暗淡 無光。 / 這間咖啡廳的光線有點黯淡 /暗淡 ，又播放著緩慢輕鬆的音樂，我坐著坐著就睡著了。/ 他最近的心情黯淡 / 暗淡，幾乎沒有興趣去做任何事情。,Vs-adj,黯淡 / 暗淡無光 / 光線黯淡 /暗淡 / 燈光黯淡 / 暗淡 / 天色黯淡 / 暗淡 / 顏色黯淡 / 暗淡 / 黯淡 / 暗淡的笑容,àndàn,ㄢˋ ㄉㄢˋ,
安頓,7,,To arrange and handle matters in an orderly manner.,安排處理事情，使其變得妥當、穩定、不再有問題。,讀書的時候，如果環境舒適安靜，我的腦袋和情緒都會比較容易安頓下來。 / 最近回到台灣，看到熟悉的街道，我的心情馬上安頓下來了。 / 朋友告訴我，想要身心安頓，就要學習放下過去的煩惱。 / 每個人都需要一段時間安頓好自己起伏不定的情緒，才能更好地面對生活。 / 等我把事情都安頓妥當之後，會盡快跟您聯絡。 / 經過一整天的繁忙工作，我需要一段時間來安頓心情，才能更好地面對明天的挑戰。,Va-t,身心安頓 / 安頓下來 / 安頓心情 / 心靈安頓 / 安頓好 / 生活安頓,āndùn,ㄢ ㄉㄨㄣ,
安撫,8,,"To soothe, comfort, or calm someone, especially to alleviate fear or anxiety.",使人感到安心與平靜，減少焦慮或恐懼。,這個小朋友要打針前緊張得哭了，媽媽輕聲說話想要安撫他。 / 在這次的工作會議上，經理試圖安撫員工對公司前景的擔憂。 / 這位護士用溫柔的聲音安撫那位焦慮的病人。 / 這次的演唱會排了很長的隊，演出已經開始都還進不去。工作人員需要不斷安撫等待了很久的觀眾。 / 這群義工在這次嚴重的地震之後，前往當地陪伴居民，努力安撫他們焦慮的情緒。 / 她試圖安撫孩子，以減輕他們的恐懼感。,Va-t,安撫情緒 / 安撫孩子 / 安撫焦慮 / 不斷安撫 / 試圖安撫 / 安撫心情,ānfǔ,ㄢ ㄈㄨˇ,
安寧,9,,A state of calmness and tranquility in one's mind and heart.,心裡感到穩定和寧靜的狀態。,維護社區的安寧是每位居民的責任。 / 為了孩子們的成長，我們必須創造一個安寧的學習環境。 / 樓上的鄰居每天晚上都聽著音樂跳舞，讓我們全家都不得安寧。 / 她每天花時間冥想，讓繁忙一整天的身心得到安寧。 / 當我走在花園裡，聽著小鳥的叫聲時，心裡感到非常安寧。 / 在這個熱鬧的城市裡，我常常希望能有一點安寧。,Vs-adj,不得安寧 / 安寧病房 / 片刻安寧 / 得到安寧 / 平靜安寧 / 自由安寧,ānníng,ㄢ ㄋㄧㄥ,
按鈕,10,,A button.,用來啟動或停止機器功能的一種開關。,他按了一下電風扇上的按鈕，旋轉速度馬上變得快了起來。 / 當遊戲開始時，玩家必須按下開始的按鈕才能進入遊戲平台。 / 這台洗衣機的按鈕設計得很簡單，每個按鈕都有明確的功能說明。 / 這家工廠的機器設備很複雜，按錯一個按鈕可能會造成很大的損失，所以員工都很小心。 / 使用者只要按下螢幕畫面的按鈕，就能迅速返回主頁。 / 請按下按鈕，啟動設備。,N,一個按鈕 / 一顆按鈕 / 緊急按鈕 / 按下按鈕 / 觸碰按鈕 / 暗錯按鈕,ànniǔ,ㄢˋㄋㄧㄡˇ,
暗殺,11,,To assassinate.,乘人不備時，秘密地進行的殺害行為。,在這個國家，暗殺事件經常發生，讓人民無時無刻不活在恐懼當中。 / 他策劃了一場危險的暗殺行動，目的是要推翻專制的獨裁者。 / 這名殺手專門執行非法集團委託的暗殺任務。 / 電影中的女主角在這次的暗殺行動中展現了冷靜和勇氣。 / 那群黑社會小弟想暗殺另一個地區的老大不成，於是全數投靠他。 / 這名富豪成為黑社會的暗殺目標，他得雇用很多保全人員保護他的安全。,Va-t,企圖暗殺 / 被暗殺 / 暗殺事件 / 暗殺行動 / 暗殺目標 / 暗殺計劃,ànshā,ㄢˋㄕㄚ,
安危,12,,A dangerous situation.,指人所處的安全或危險的狀況。,面對嚴重的自然災害，大部分人第一時間最關心的就是自己和家人的安危。 / 她的工作需要隨時注意自身的安危，尤其是一個人值班的時候。 / 這個地區十分動盪不安，如果一定要去旅遊，應該非常、注意自己的安危，以免遭遇搶劫或綁架。 / 他一方面想冒險，一方面又擔心生命安危，讓他感到矛盾。 / 這位醫生不顧個人安危，也要前往戰爭地區幫助當地居民。 / 他不顧安危，勇敢地衝進火災現場中救人。,N,不顧安危 / 生命安危 / 自身安危 / 個人安危 / 擔心安危 / 家庭安危,ānwēi,ㄢ ㄨㄟ,
安穩,13,,Safe and stable.,安全且穩定，沒有危險或不安的狀況。,這個小孩在媽媽的懷抱中睡得非常安穩。 / 為了能夠安穩入睡，我把窗戶關好，隔絕外面的噪音。 / 我希望未來的生活能夠更加安穩，不再有太多的起伏和麻煩。 / 這家公司的員工福利很好，讓大家在這裡工作感到安穩幸福。 / 要是每個孩子都能在安穩的環境中成長，他們未來一定能夠長成勇敢堅強的大人。 / 經過多年的努力，他終於過上了平靜安穩的日子。,Vs-adj,睡得安穩 / 平靜安穩 / 生活安穩 / 日子安穩 / 感到安穩,ānwěn,ㄢ ㄨㄣˇ,
安置,14,,To place or arrange something in a designated position or situation.,將物品放置在某個地方或做出相應的安排。,書架上的書籍要按照主題安置好，這樣比較不會弄亂。 / 在新實驗室裡，所有的設備都已經安置妥當。 / 非營利組織協助這群因為戰爭逃難的難民，將他們安置在安全的住所。 / 他將妻子和孩子安置於老家之後，就獨自前往城市尋找工作機會。 / 這些無名的作品被安置在倉庫的角落，逐漸被遺忘。 / 我們需要妥善將這些危險物品安置在不同的櫃子裡，確保使用者的安全。,Va-i,安置於 / 安置在 / 安置妥當 / 安置物品 / 妥善安置 / 人道安置,ānzhì,ㄢ ㄓˋ,
安裝,15,,To install or set up a device or system.,將設備或裝置放置並連接，使其可以正常運作。,這個房子需要安裝新的冷氣系統，要不然夏天會很難度過。 / 我們打算在廚房裡安裝一個新的洗碗機，這樣可以節省很多時間。 / 我幫我的朋友在天花板上安裝了一排燈，現在他的客廳變得明亮多了。 / 現在有很多公司安裝了人工智慧系統，自動處理顧客的問題。 / 公司最近安裝了新的網路設備，提高了整體的上網速度，工作更有效率。 / 我們需要在安裝過程中確保所有的步驟都沒有任何錯誤遺漏。,Va-t,安裝設備 / 安裝軟體 / 進行安裝 / 完成安裝 / 安裝過程 / 安裝工具,ānzhuāng,ㄢ ㄓㄨㄤ,
暗自,16,,In secret; privately; covertly.,在心裡秘密地、私下進行，沒有讓別人知道。,他在比賽前，暗自準備了好幾個月，難怪打敗所有人，得到冠軍。 / 主管要他們部門檢討今年的業績，她暗自慶幸這問題跟她無關。 / 聽到朋友的讚美，他心中暗自得意。 / 他暗自觀察著周圍的人，想了解他們的秘密。 / 看到以前的同學都發展得很好，他心中暗自感慨。 / 他在心裡暗自慶幸，自己沒有跟隨別人做出錯誤的選擇。,Adv,暗自慶幸 / 暗自懷疑 / 暗自檢討 / 暗自感慨 / 暗自得意 / 暗自思索,ànzì,ㄢˋ ㄗˋ,
骯髒,17,,Dirty; filthy; unclean.,指不乾淨、有污垢的狀態。,這個公園很久沒有人打掃，地面非常骯髒，滿是垃圾。 / 他總是沒時間洗車，所以車子看起來骯髒得不得了。 / 昨天的狂風暴雨把街道弄得很骯髒，路面上到處都是泥巴。 / 如果不及時清理，廚房很快就會變得很油膩骯髒，影響做飯的心情。 / 這件白色襯衫因為出現黃斑，看起來有一點骯髒，得送去洗衣店乾洗。 / 這條街道骯髒不堪，行人心生厭惡。,Vs-adj,骯髒不堪 / 骯髒的街道 / 骯髒的衣服 / 骯髒的環境 / 骯髒的手 / 骯髒的水,āngzāng,ㄤ ㄗㄤ,
熬,18,,To simmer or stew over low heat.,用小火慢慢煮東西。,媽媽在廚房裡熬了一鍋美味的雞湯。 / 我昨天晚上熬了幾個小時的中藥，想要治療感冒。 / 這道湯品需要熬兩個小時，才能讓味道更濃郁。 / 我打算把這些新鮮的食材熬成一鍋湯。 / 在寒冷的夜晚，熬一碗熱湯喝下，讓人感到非常舒服。 / 我今天熬了一鍋美味的雞湯。,Va-t,熬湯 / 熬粥 / 熬藥 / 熬煮 / 熬製 / 熬中藥,áo,ㄠˊ,
熬,18,,To endure or persevere through hardship or discomfort.,忍受艱難的情況，勉強維持下去，通常需要耐心和毅力。,為了這次的考試，我熬了好幾個夜晚，真希望能考得好。 / 她受傷後忍著痛繼續工作，差一點熬不下去。 / 在外地工作，常常需要熬得住寂寞。 / 我知道再怎麼辛苦也要熬下去，才能看到希望。 / 即使生活再苦，他也會堅持熬過去，因為他不想放棄。 / 我昨晚熬夜學習，今天早上非常疲倦。,Va-i,熬夜 / 熬過去 / 熬成 / 熬下去 / 熬出頭 / 難熬,áo,ㄠˊ,
傲慢,19,,Arrogant.,一種態度，顯得驕傲且不尊重他人，常會讓別人感到不快。,他總是用傲慢的語氣和別人交談，讓人感到不舒服。 / 在會議上，他的傲慢態度使團隊氣氛變得緊張。 / 傲慢的領導者常常忽視下屬的意見，這樣會影響團隊的工作氣氛。 / 我討厭那些對人傲慢的人，因為他們總覺得自己是對的，別人都是錯的。 / 他對待同事的傲慢姿態，讓不得已得跟他一起工作的人都感到氣憤和無奈。 / 他的傲慢的態度讓同事們都感到不舒服。,Vs-adj,傲慢的態度 / 傲慢的行為 / 表現傲慢 / 過於傲慢 / 對人傲慢 / 傲慢姿態,àomàn,ㄠˋ ㄇㄢˋ,
