number,old_definition,word,definition,translation,example_sentences,part_of_speech,collocations,problematic_words
1,,愛國,對國家的忠誠與熱愛。,Patriotic; showing love and loyalty to one's country.,許多愛國人士參加升旗典禮，以表達他們的愛國情操。 / 在國慶日，大家都會唱愛國歌曲，感受民族的團結。 / 每次看到國旗高高掛著，他心中就充滿了愛國的驕傲。 / 「愛國」不只是口號，實際行動更顯重要。 / 在國際比賽中，運動員們以優異的表現，展現了他們的愛國精神。/ 愛國人士應該積極參與社會公益活動，以表達對國家的熱愛。 / 老師在課堂上告訴學生們，愛國不僅是對國家的熱愛，還包括了解歷史和文化。,Vs-adj,愛國人士 / 愛國精神 / 愛國主義 / 愛國情操 / 愛國歌曲 / 愛國心情,"國慶日, 顯, 升旗"
2,,曖昧,指事情或關係不清楚、不明確，存在模糊或不正當的情況。,"Unclear, ambiguous, or not straightforward; referring to a situation or relationship that lacks transparency or integrity.",他和她之間的曖昧關係讓大家都感到好奇。 / 他的態度總是曖昧不明，讓我不知道他真正的想法。 / 他擅長在社交場合中製造曖昧情境，故意引起大家的討論。 / 對於這個問題的回應，他的答覆顯得相當曖昧，讓人無法信服。 / 我們之間的曖昧情感，是我不敢輕易表達的秘密。/ 她對他的曖昧態度讓朋友們猜測他們之間是否存在戀愛的可能。 / 這幅畫的意義非常曖昧，讓觀眾難以理解藝術家想表達的內容。,Vs-adj,曖昧不清 / 曖昧不明 / 關係曖昧 / 曖昧模糊 / 曖昧的態度 / POOPNOODL TEST,
3,,愛慕,喜愛和崇拜某人或某物，常帶有深厚的情感。,"To admire and have affection for someone, indicating deep respect and fondness.",她在心中默默愛慕著那位溫柔的男孩。 / 他最近發現自己對好友產生愛慕的情感，導致他工作時無法專心。 / 他們的朋友都知道她對那位歌手的愛慕之情。 / 他寫了一首情詩，裡面表達了他對欣賞對象的愛慕之意。 / 那個男孩愛慕的目光讓她感到十分害羞，不知道該如何面對。/ 他最近發現自己對好友產生愛慕的情感，導致他工作時無法專心。 / 他對大海的愛慕，使他每個週末都去海邊散步。,Vs-t,愛慕的對象 / 產生愛慕之情 / 愛慕的情感 / 愛慕虛榮 / 互相愛慕 / 愛慕之心,"情, 友, 意, 物, 帶有"
4,,哀求,苦苦請求他人，表達強烈的希望或需要。,"To plead or beg earnestly, often with a sense of desperation.",他被抓到考試作弊，苦苦哀求老師原諒他。 / 這個人犯的錯誤讓他的好友感到失望，他哀求朋友再給他一次改正的機會。 / 最近公司營運不佳，經理宣布得開除全部的基層員工。大家聽到這個消息之後急得向他哀求，希望公司重新考慮這個重大決定。 / 在正式比賽前，這位運動員膝蓋不幸受傷，但他仍哀求醫生讓他上場比賽。 / 這位女孩為了能夠實現她的夢想，哀求父母讓她報名參加舞蹈比賽。/ 他跪地哀求她原諒他的錯誤。 / 小狗在門口蹭著主人的腿，哀求主人帶牠去公園玩耍。,Va-t,跪地哀求 / 哀求原諒 / 哀求幫助 / 低聲哀求 / 不斷哀求 / 哀求安慰,"友, 蹭"
5,,哀傷,悲哀和痛苦的情感，通常因為失去或悲傷的事件而產生。,Grief and sorrow; deep sadness resulting from loss or misfortune.,每當想到失去的愛人，他的臉便浮現了哀傷的神情。 / 她在音樂會上演奏的曲子充滿了哀傷，讓人感受到深深的失落。 / 在葬禮上，所有的人都流下了悲傷的淚水，哀傷不已。 / 這部電影的結局非常感人，讓觀眾感受到無法言喻的哀傷。 / 他們在一起時，回想起許多快樂的時光，但隨後卻感到很哀傷，因為他們要分開了。 / 她在老朋友的葬禮上感到哀傷，眼淚止不住地流。 / 在那幅畫中，畫家表達了深深的哀傷，讓每位看畫的人都能感受到一種難以形容的情感。,Vs-adj,哀傷不已 / 深感哀傷 / 充滿了哀傷 / 哀傷的回憶 / 面對哀傷 / 哀傷的歌,言喻
6,,*黯淡,形容景象悲慘，讓人感到失望或無望。,Gloomy; describing a scene as tragic.,在經濟不景氣的情況下，這家公司前景看起來相當黯淡。 / 經過這場比賽大敗之後，球隊的前途看起來十分黯淡。 / 在眾人期待的壓力之下，他的心情變得越來越黯淡，失去了以前的動力。 / 即使面對困難，他仍然努力堅持，不想讓自己的人生看起來過於黯淡。 / 這兩個最大的政黨不斷鬥爭，整個國家前途一片黯淡，因此許多國際公司都不願加碼投資。 / 夜晚的燈光黯淡，讓整個房間顯得格外寧靜。,Vs-adj,前途黯淡 / 生活黯淡 / 希望黯淡 / 心情黯淡 / 票房黯淡 / 記憶黯淡,望
6,,黯淡 / 暗淡,顏色或光線不鮮明、不亮麗，給人感覺較為沉重或無生氣。,"Dull; referring to a state or appearance that is old, gray, or lacking brightness.",今天的天氣很糟，外面的天色看起來十分黯淡 ，隨時都有可能下起大雨。 / 這幅畫的顏色有些黯淡 ，又掛在美術館的角落，很少有人會注意到。 / 在黯淡 的燈光下，他的臉看起來有些憂傷。 / 朋友的笑容還是那麼甜美，但今天她的眼神有些黯淡 無光。 / 這間咖啡廳的光線有點黯淡 ，又播放著緩慢輕鬆的音樂，我坐著坐著就睡著了。/ 他最近的心情黯淡，幾乎沒有興趣去做任何事情。,Vs-adj,黯淡（暗淡）無光 / 光線黯淡（暗淡） / 燈光黯淡（暗淡） / 天色黯淡（暗淡） / 顏色黯淡（暗淡） / 黯淡的夢想 / 暗淡的笑容,"光光線, 著, 些, 較為, 睡"
7,,安頓,安排處理事情，使其變得妥當、穩定、不再有問題。,To arrange and handle matters in an orderly manner.,讀書的時候，如果環境舒適安靜，我的腦袋和情緒都會比較容易安頓下來。 / 最近回到台灣，看到熟悉的街道，我的心情馬上安頓下來了。 / 朋友告訴我，想要身心安頓，就要學習放下過去的煩惱。 / 每個人都需要一段時間安頓好自己起伏不定的情緒，才能更好地面對生活。 / 等我把事情都安頓妥當之後，會盡快跟您聯絡。 / 經過一整天的繁忙工作，我需要一段時間來安頓心情，才能更好地面對明天的挑戰。,Va-t,身心安頓 / 安頓下來 / 安頓心情 / 心靈安頓 / 安頓好 / 生活安頓,定
8,,安撫,使人感到安心與平靜，減少焦慮或恐懼。,"To soothe, comfort, or calm someone, especially to alleviate fear or anxiety.",這個小朋友要打針前緊張得哭了，媽媽輕聲說話想要安撫他。 / 在這次的工作會議上，經理試圖安撫員工對公司前景的擔憂。 / 這位護士用溫柔的聲音來安撫那位焦慮的病人。 / 這次的演唱會排隊時出問題，工作人員需要不斷安撫等待了很久的觀眾。 / 這群志工在這次嚴重的地震之後，前往當地陪伴居民，努力安撫他們焦慮的情緒。 / 她試圖安撫孩子，以減輕他們的恐懼感。,Va-t,安撫情緒 / 安撫孩子 / 安撫焦慮 / 不斷安撫 / 試圖安撫 / 安撫心情,
9,,安寧,心裡感到穩定和寧靜的狀態。,A state of calmness and tranquility in one's mind and heart.,維護社區的安寧是每位居民的責任。 / 為了孩子們的成長，我們必須創造一個安寧的學習環境。 / 在節慶期間，警察會加強巡邏以確保安寧。 / 她每天花時間冥想，讓繁忙一整天的身心得到安寧。 / 當我走在花園裡，聆聽小鳥的叫聲時，心裡感到非常安寧。 / 在這個熱鬧的城市裡，我常常希望能有一點安寧。,Vs-adj,不得安寧 / 安寧病房 / 片刻安寧 / 得到安寧 / 平靜安寧 / 自由安寧,得
