number,word,collocations,sentences
1,愛國,愛國人士 / 愛國精神 / 愛國主義 / 愛國情操 / 愛國歌曲,"愛國人士在國家遭遇困難時，總是挺身而出，積極參與救助活動。

在升旗典禮上，大家都表現出強烈的愛國精神，齊聲唱著國歌。

愛國主義是促進一國經濟與文化發展的重要力量，許多人因此而感到驕傲。

她從小受到父母的影響，培養了濃厚的愛國情操，經常參加志願服務。

在學校的音樂課上，孩子們學習了許多優美的愛國歌曲，讓他們更加熱愛自己的國家。

每當國慶日來臨，社區裡的愛國人士總會組織盛大的慶祝活動，彰顯對國家的熱愛。

在全球化的今天，愛國主義的理念仍然在許多國家中流行，吸引著年輕人的關注。

在戰爭電影中，愛國精神常常是角色奮鬥的動力，鼓舞著觀眾的心靈。

新的愛國歌曲在各大音樂排行榜上獲得好評，成為了人們表達愛國情感的新方式。

許多作家在作品中歌頌愛國情操，讓人們在閱讀中感受到對家園的深切眷戀。 

每年，學校都會舉辦愛國歌曲演唱比賽，讓學生們在比賽中展現他們對國家的驕傲。"
2,曖昧,曖昧不清 / 曖昧不明 / 關係曖昧 / 曖昧模糊 / 曖昧的態度,"他們之間的關係曖昧，讓周圍的人都感到非常困惑。  

他對我的曖昧不清的態度讓我無法確定他的真實感受。  

在這次會議上，他的發言似乎曖昧不明，讓大家都覺得他不夠透明。  

這部電影的情節充滿了曖昧模糊的元素，讓觀眾忍不住深思。  

她對待他總是有些曖昧的態度，讓他時常感到不安。  

在這段曖昧不清的友誼中，雙方都不願意表達真正的想法。  

他們的感情一直處於一種曖昧不明的狀態，既像情侶又像朋友。  

她的眼神流露出曖昧的情感，卻從未說出心裡的話。  

最近他們的關係變得越來越曖昧模糊，讓朋友們都開始擔心。  

在這場比賽中，裁判的判決似乎有些曖昧不清，造成了不少爭議。"
3,愛慕,愛慕的對象 / 產生愛慕之情 / 愛慕的感情 / 愛慕虛榮 / 互相愛慕,"小麗對於班上的男生產生了愛慕之情，常常幻想與他一起度過美好的時光。

她總是因為他特別的才能而產生愛慕之情，心裡隱隱約約希望能多了解他一些。

在他面前，她的愛慕的感情無法掩飾，眼神中流露出深深的崇拜。

人總是愛慕虛榮，追求名利的時候就會迷失自己的本心。

他們互相愛慕，卻都害羞得不敢表白，只能在心裡默默期待。

他對於她的愛慕的對象是那位優雅的藝術家，而自己卻感到自卑不已。

她的愛慕虛榮表現在對奢華生活的嚮往，卻忽略了真實的幸福並不需要這些外在的光環。

每次看到心儀的對象，他心中都會升起愛慕的感情，使他無法集中注意力做任何事情。

他們在大學時期，就已經產生了互相愛慕的情愫，卻因為各自的自尊心而一直不敢直言。

隨著時間的推移，這份愛慕的感情愈加濃烈，讓他們在彼此的生活中都無法自拔。

她發現自己對於朋友的過度愛慕虛榮，讓自己的價值觀出現了偏差，開始思考真正重要的事。"
4,哀求,跪地哀求 / 哀求原諒 / 哀求幫助 / 低聲哀求 / 不斷哀求,"他在被朋友拒絕時，跪地哀求對方再給他一次機會，眼中充滿渴望。  

在面對壓力時，他一直哀求原諒，希望能得到大家的理解。  

小女孩低聲哀求媽媽陪她一起玩，表情非常可憐。  

他不斷哀求救助，但周圍的人都忙著自己的事情，沒有人理會。  

在災難發生後，村民們集體哀求幫助，以期能獲得外界的援助。  

流浪者在寒冷的夜晚向路過的行人哀求，希望能得到一點溫暖的食物。  

當小貓因為生病而無法運動時，牠低聲哀求主人給它一些關懷和照顧。  

他在聽到朋友的經歷後，恳求對方不要放棄，並向其哀求讓他一起攜手面對困難。  

在失去工作後，她無助地向社會福利機構哀求，希望能獲得生存的基本支持。  

看著孩子失落的眼神，父親心中充滿歉意，低聲哀求孩子能原諒他的錯誤。  

她在考試前幾乎快要崩潰，不斷哀求老師給她一些額外的幫助，以便能通過這門課。"
5,哀傷,哀傷不已 / 深感哀傷 / 充滿了哀傷 / 哀傷的回憶 / 面對哀傷,"回憶起與已故親人一起度過的時光，我深感哀傷，心中充滿了無限的懷念。

他的心中充滿了哀傷，因為失去了曾經的夢想與希望。

他在聽到消息後，哀傷不已，久久無法自已，淚水奪眶而出。

這幅畫充滿了哀傷，透過灰暗的色調表達出失落與孤獨的感受。

每當我思念她時，都會不由自主地想起那些哀傷的回憶，淚水也因此湧上心頭。

在面對哀傷的日子裡，我試著找到讓自己振作的方法，努力學會放下。

她的眼中閃爍著哀傷，輕聲道出過去的遺憾，讓人心中一陣酸楚。

每次看到那部電影時，我都會想起他，心中充滿了哀傷，彷彿回到了失去的時光。

孤獨的夜晚，心中無法擺脫的哀傷籠罩著我，令我無法入眠，思緒千迴百轉。

每當我走過那條熟悉的小路，皆會意識到過去的點滴，使我面對哀傷的記憶愈發困擾不已。 

他在那首老歌中聽到了許多哀傷的旋律，讓他不由自主地回想起那些流逝的青春。"
6,*黯淡,前途黯淡 / 生活黯淡 / 希望黯淡 / 心情黯淡 / 票房黯淡,"他的前途黯淡，因為他在考試中未能取得及格的成績。  

在失去工作之後，她的生活黯淡無光，對未來感到無助。  

隨著夢想的破滅，他的希望黯淡得如同陰雲密布的天際。  

最近的天氣讓我的心情黯淡，甚至連最喜歡的音樂也無法讓我開心起來。  

這部電影的票房黯淡，觀眾的評價也不理想。  

面對這次重大的失敗，他感到前途黯淡，不知該如何重新出發。  

在連續幾天的雨天裡，她的心情黯淡得仿佛無法透過陽光的照耀。  

即使身邊的朋友不斷安慰他，他的生活仍然黯淡無光，感覺孤獨無比。  

看著經濟一再下滑，公司的前途似乎愈發黯淡，大家都感到不安。  

在壓力重重的學業中，她的希望黯淡，已經快要放棄追尋自己的夢想。  

本來預期能創造佳績的比賽，結果卻讓球隊的士氣變得黯淡，讓人失望。"
6,黯淡 / 暗淡,黯淡（暗淡）無光 / 光線黯淡（暗淡） / 燈光黯淡（暗淡） / 天色黯淡（暗淡） / 顏色黯淡（暗淡）,"這間酒吧的燈光黯淡，令人感到神秘而誘人。

這個房間的燈光黯淡，使得整體氛圍顯得格外沉重。

這個咖啡店的燈光黯淡，營造出一種寧靜的氛圍。

這個房間的燈光黯淡，讓人感到有些壓抑。

在這麼陰雲密布的天氣下，天色黯淡，似乎隨時都有可能下雨。

她的臉上露出黯淡無光的表情，顯然在為某事煩惱。

隨著時間的推移，這棵植物的葉子慢慢變得黯淡，失去了生機。

在黃昏時分，海邊的光線顯得黯淡，夕陽的餘暉讓人心生感慨。

那幅畫因為長時間缺乏陽光，顏色變得黯淡無光，讓人心情沈重。

隨著冬季的來臨，外面的光線變得黯淡，街道上顯得格外冷清。

在無星的夜空下，天空顯得黯淡，讓人倍感孤獨。"
7,安頓,身心安頓 / 安頓下來 / 安頓心情 / 心靈安頓 / 安頓好,"在經歷了一場大風波後，他終於學會如何讓自己安頓心情，重新面對生活。  

在經歷了一段忙碌的工作後，我明白了身心安頓的重要性，於是決定放慢腳步。  

在這次的輔導之後，我的心情終於安頓下來，不再感到焦慮。  

他每天在公園裡冥想，讓自己的心靈安頓，煩惱隨之消散。  

經過幾天的休息，她的情緒也慢慢安頓好，重新找回生活的節奏。  

為了讓孩子更快安頓下來，我們為他準備了一個舒適的環境。  

在靜謐的夜晚，星空下的思考讓我心靈逐漸安頓，明白了生活的意義。  

每次旅行結束後，我都需要一些時間讓自己安頓心情，回歸平靜。  

他常常會在忙碌之間找時間靜坐，讓自己的身心安頓，恢復能量。  

經過一個週末的休息，他終於能夠安頓好自己的心情，開始新的一週。  

黃昏時分的散步讓我整個人安頓下來，感受到一種難得的寧靜。"
8,安撫,安撫情緒 / 安撫孩子 / 安撫焦慮 / 不斷安撫 / 試圖安撫,"老師試圖安撫學生的情緒，讓他們在考試之前放鬆心情。

在孩子哭鬧時，父母應該不斷安撫他們，讓他們感到安全。

面對即將到來的演講，他感到焦慮，於是他試圖安撫自己，告訴自己一切會順利進行。

當疫情爆發時，政府發佈公告，試圖安撫民眾的情緒，減少恐慌。

醫生安撫病人，告訴他們治療後會感覺好一些。

在危機時刻，領導者需要安撫焦慮的員工，讓他們相信公司的未來會更好。 

在安撫孩子的過程中，溫柔的聲音和耐心的態度是非常重要的。

他不斷安撫自己的情緒，準備面對生活中的挑戰。

面對失敗，他試圖安撫自己，告訴自己這只是暫時的。

安撫情緒的最好方法是與朋友分享自己的感受。 

當朋友感到焦慮時，給予安撫的擁抱可以讓他們感到安心。"
9,安寧,不得安寧 / 安寧病房 / 片刻安寧 / 得到安寧 / 平靜安寧,"這位病人在安寧病房中靜靜地等待，享受著最後的安寧時光。

在這個繁忙的城市中，很多人往往不得安寧，無法獲得片刻的放鬆。

雖然生活總是充滿挑戰，但只有在自然中散步，才能感受到片刻安寧的美好。

我希望在經歷了磨難之後，最終能夠得到安寧，享受心靈的平靜。

這些年來，醫院不斷改善安寧病房的環境，讓病人能夠在最後的日子裡感受到更多的安寧。

在持續的雨聲中，我找到了一種深深的平靜安寧，讓心情得以舒緩。

我在山中露營時，夜晚的星空讓我感受到了一種久違的安寧，仿佛一切煩惱都消失了。

當我沉浸在音樂中時，內心也會隨之得到片刻的安寧，忘卻生活的瑣碎。

經過一整天的工作後，靜坐十幾分鐘能讓我重新獲得些許安寧，重新面對挑戰。

在海灘上漫步時，海浪的聲音給我帶來了難得的安寧感，彷彿時光都停滯了。

即使在艱困的環境中，人們仍然可以努力尋找那份內心的平靜安寧，以保持希望。"
