number,old_definition,word,definition,example_sentences,part_of_speech,collocations
51,保持身心健康。[例]現代國民應具備衛生保健的基本常識。,保健,保持身心健康的行為和措施。,現在有很多保健食品幫助提高免疫力。,n,保健的知識
52,充足、豐富。[例]精神飽滿、肌肉飽滿,飽滿,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
53,充足、豐富。[例]精神飽滿、肌肉飽滿,保密,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
54,充足、豐富。[例]精神飽滿、肌肉飽滿,保全,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
54,充足、豐富。[例]精神飽滿、肌肉飽滿,保全,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
55,充足、豐富。[例]精神飽滿、肌肉飽滿,包容,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
56,充足、豐富。[例]精神飽滿、肌肉飽滿,寶石,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
57,寬恕接納。[例]愛就是擁有一顆包容的心。,飽受,寬恕接納他人的缺點和不同，心胸開闊。,愛就是擁有一顆包容的心。,vs-t/N,包容他人
58,寬恕接納。[例]愛就是擁有一顆包容的心。,保衛,寬恕接納他人的缺點和不同，心胸開闊。,愛就是擁有一顆包容的心。,vs-t/N,包容他人
59,寬恕接納。[例]愛就是擁有一顆包容的心。,暴行,寬恕接納他人的缺點和不同，心胸開闊。,愛就是擁有一顆包容的心。,vs-t/N,包容他人
60,機械的修理、維護。[例]車輛應定期保養，以維護行車安全。,保養,對機械進行的修理與維護，旨在確保其正常運作。,這台機器需要定期保養，才能延長使用壽命。,va-t/N,定期保養 / 進行保養 / 車輛的保養 / 機器的保養 / 定時保養 / 養護保養 / 預約保養 / 保養檢查 / 技術保養 / 專業保養
60,身心的調養、保健。[例]保養身體,保養,對身心進行調整和維護，使其健康保持良好狀態。,一定要好好保養身心，才能保持健康的生活。,va-t/N,保養身體 / 保養皮膚 / 進行保養 / 定期保養 / 保養產品 / 健康保養 / 自我保養 / 保養方法 / 好好保養 / 注意保養
61,身心的調養、保健。[例]保養身體,報應,對身心進行調整和維護，使其健康保持良好狀態。,一定要好好保養身心，才能保持健康的生活。,va-t/N,保養身體 / 保養皮膚 / 進行保養 / 定期保養 / 保養產品 / 健康保養 / 自我保養 / 保養方法 / 好好保養 / 注意保養
63,珍藏的貴重物品。[例]敦煌寶藏、故宮寶藏,暴雨,珍藏的貴重物品。,在這個博物館裡，我們可以看到許多珍貴的寶藏。 / 這幅畫是她家裡的寶藏，已經傳了好幾代。 / 在圖書館的古籍區，藏著許多歷史的寶藏。 / 這本書裡有許多文化的寶藏，讓人重溫過去的故事。 / 我們要學習如何保護這些自然的寶藏，為未來留下一片美好的土地。 / 在這片森林裡，隱藏著許多尚未被發現的生態寶藏。 / 這個音樂會讓我重新思考生命的價值，這就是心靈的寶藏。 / 他的家族有一個古老的傳說，據說裡面藏著無數的寶藏。 / 這個小鎮的街道上，隱藏著許多美食寶藏，讓人流連忘返。 / 在傳統手工藝品展覽中，我們可以發現許多屬於人類生活的寶藏。 / 這位藝術家的創作，彷彿帶我們探索心靈深處的寶藏，激發無限靈感。,n,珍貴的寶藏 / 世界的寶藏 / ni hao / 失落的寶藏 / 收藏寶藏 / 文化的寶藏 / 寶藏文物 / 尋找寶藏 / 發掘寶藏 / 保存寶藏
