number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
174,時間趕不上。[例]來不及、措手不及、迅雷不及掩耳,不及,To be unable to catch up or make up for; to fall short or be inferior.,趕不上某個時間或情況，通常指來不及應對或處理。,他以為有足夠的時間準備，沒想到最後來不及完成報告。 / 昨天的交通事故讓我們措手不及，原本預計提前到的行程也被延誤了。 / 這次考試，他因為緊張，反應不及，導致很多簡單的問題都沒有答對。 / 老闆要求的報告如果不及時交上，可能會影響我們團隊的評價。 / 他對於突如其來的變故應對不及，只能眼睜睜看著計畫被打亂。 / 會議通知發得太晚，讓參與者措手不及，很多人趕到時已經開始了。 / 這場比賽的對手實力強勁，我們的戰術準備似乎也不及，最終輸掉了。 / 昨天下午的突發氣候變化，讓許多農民措手不及，損失慘重。 / 團隊在面對客戶的突發需求時，雖然努力，但最終反應不及，未能及時滿足要求。 / 這部電影的上映時間安排得太緊，讓宣傳團隊來不及做好充分的準備。 / 他對於這次考試的重視程度不夠，結果導致臨時抱佛腳也來不及拿到理想的成績。,vp-i/N,來不及 / 措手不及 / 迅雷不及掩耳 / 時間不及 / 反應不及 / 應對不及 / 事情不及 / 解決不及 / 通知不及 / 防範不及
174,沒達到。[例]兩地相距不及百里，可以當天來回。,不及,To be worse than or inferior to; to not reach or compare to.,沒有達到某個程度或標準。,這次的產品銷售量不及公司預期，因此需要重新評估市場策略。 / 他這次考試的成績不及格，媽媽這幾天很忙，仍然會拿出時間陪他複習。 / 他的運動能力雖然不錯，但與專業運動員相比，仍不及格。 / 這部電影的票房收入不及去年同檔期的大片。 / 在競爭激烈的環境中，他的表現不及其他同事，讓他感到壓力很大。 / 這篇文章的質量不及他以前的作品，因此編輯決定要求修訂。 / 他在這次比賽中的表現不及他之前的最佳水準，讓粉絲感到失望。 / 她的舞蹈技巧雖然很好，但在專業舞者面前仍不及一籌，讓她感到沮喪。 / 這次旅行的景點安排不及上一次那麼精彩，讓大家有些遺憾。 / 這個品牌的新品發布會反應不及預期，市場熱度明顯下降。 / 他對於這項新工作的適應能力不及同行，因此需要花更多時間學習。,va-i,不及預期 / 不及格 / 不及期待 / 不及標準 / 不及他人 / 不及理想 / 不及過去 / 不及往昔 / 不及年輕時 / 不及成果
174,比不上。[例]由於電腦能大量記憶儲存，讓人不免慨嘆人腦不及電腦。,不及,To be inferior to; to not be as good as.,比不上，通常用來表達某事物在某方面不如另一事物。,儘管他努力工作，但成果仍不及同事的表現。 / 她的才華不及那些頂尖藝術家的光芒，卻依然勇敢追夢。 / 這部電影的戲劇張力不及前作，讓影迷們感到失望。 / 他的英文水平不及那位外籍老師，常常需要更多的練習。 / 雖然她的研究很有價值，但在學術影響力上仍不及知名教授。 / 這次演唱會的票房雖然不錯，但人氣卻不及去年那場盛會。 / 他對這項技術的掌握不及同行，必須加倍努力才能追上。 / 今年的音樂節表現不及往年，觀眾的反響似乎冷淡了許多。 / 這款手機的性能雖然優秀，但市場反應不及競爭對手的產品。 / 他的經驗不及資深顧問，因此在決策上經常尋求前輩的意見。 / 這本書的銷量不及同類作品，作者面臨著更多的挑戰。,va-i,理想不及現實 / 才能不及他人 / 技術不及先進 / 生活不及理想 / 知識不及時代 / 表現不及期待 / 實力不及強隊 / 風格不及前輩 / 經驗不及老手 / 魅力不及偶像
175,供應、補充不足的東西。[例]這座高山雷達站所需要的用品，每個月從山下補給一次。,補給,To supply or replenish what is needed.,供應、補充不足的東西。,我們必須定時補給能量，以保持良好的運動狀態。 / 這艘潛艇在海底待了太久，急需補給空氣與食物。 / 遠足時，背包裡的水和食物需要定期補給，才能支撐整個行程。 / 在戰爭中，補給線的穩定與否往往影響著整個戰局的走向。 / 為了完成這次探險任務，探險隊必須在每個據點補給必需的裝備和資源。 / 我們的科研團隊在極地考察期間，定期透過飛機補給實驗材料。 / 這個偏遠村莊的醫療資源短缺，迫切需要外界補給藥品與設備。 / 軍隊在行軍過程中，必須妥善規劃補給站的位置，以避免途中缺糧缺水。 / 這次慈善活動的目的，就是為無家可歸者補給必要的生活物資。 / 為了提高農作物的產量，農民們需要定期補給土壤所需的養分和肥料。 / 這場馬拉松比賽中，選手們在每個補給站都能獲得水和能量棒，支持他們完成比賽。,vp-t/N,補給物資 / 補給站位置 / 補給需求 / 緊急補給 / 補給系統運作 / 飛行器補給設備 / 物資補給情況 / 補給任務成功 / 定期補給計畫 / 藥品補給必要性
176,控制不住、不由自主。[例]在熱天中走得滿身汗，一進冷氣房就不禁打了個哆嗦。,不禁,To be unable to restrain or control; to involuntarily or unconsciously react.,控制不住的樣子，或是情感不由自主地表現出來。,在朋友的婚禮上聽到感人的誓言，我不禁流下了眼淚。 / 當我看到小孩們在操場上快樂地玩耍，心中不禁感到一陣暖意。 / 在漫長的隧道中，突然看到出口的陽光，我不禁鬆了一口氣。 / 回憶起和家人一起度過的甜蜜時光，我不禁涌現出濃濃的思念。 / 每當聽到那首熟悉的歌曲，我的心中不禁泛起陣陣波瀾。 / 當我在畫展上看到那些美麗的作品，真是不禁讚嘆藝術家的才華。 / 在寒冷的冬天，看到朋友送來的溫暖圍巾，我不禁心中感到無比感激。 / 當電影結尾出現感人的場景時，觀眾們不禁發出輕聲的抽泣。 / 每次翻看兒時的照片，我不禁感到對過去的懷念與感慨。 / 當聽到那則關於勇氣和希望的故事，我不禁被激勵著重新思考自己的生活。 / 在面對困難挑戰時，朋友的支持讓我不禁心中湧現出無限的力量和勇氣。,adv,不禁流淚 / 不禁笑出聲 / 不禁驚呼 / 不禁心動 / 不禁期待 / 不禁鼓掌 / 不禁害怕 / 不禁愉快 / 不禁稱讚 / 不禁懷念
176,承受不住、經受不起。[例]老年人不禁摔，要特別留意安全。,不禁,To be unable to endure or withstand; often used to indicate that something is beyond one's capacity to bear.,承受不住或經受不起。,看到那部感人的電影，他不禁流下眼淚。 / 小孩子們天真的笑聲讓她不禁笑了出來。 / 當她聽到那首熟悉的歌曲時，心中不禁想起了許多美好的回憶。 / 在看到老朋友的邀請時，我不禁想起我們一起度過的快樂時光。 / 冬天的第一場雪落下，讓我不禁感到一陣暖意。 / 當我回到故鄉時，心中不禁湧現出對童年的懷念。 / 看到這幅壯麗的山水畫，他不禁讚嘆藝術家的高超技藝。 / 當她讀到那篇感人的文章時，心中不禁涌起一股敬佩之情。 / 在這個特殊的節日裡，大家不禁感受到團圓的溫暖。 / 看到小動物們的可愛表現，他不禁笑出聲來。 / 當我聽到這個好消息時，心中不禁感到一陣欣喜。,adv,不禁[流淚] / 不禁[感動] / 不禁[微笑] / 不禁[驚呼] / 不禁[想起] / 不禁[心疼] / 不禁[驚訝] / 不禁[懷念] / 不禁[讚嘆] / 不禁[害怕]
177,不注意、不留神。[例]昨天在路上我不經意掉了一條手帕。,不經意,Unintentionally; not paying attention or being unaware.,不注意、不留神的情況。,他在咖啡店不經意地看到了多年未見的老朋友，當時感到非常驚喜。 / 在散步的時候，我不經意中記起了童年時和祖父一起爬山的事情。 / 不經意間，她提到自己最近學了吉他，讓大家都感到好奇。 / 他不經意地將秘密告訴了朋友，事後才意識到這件事的重要性。 / 在書架上，我不經意地發現了一本自己一直想看的小說，讓我忍不住笑了起來。 / 他在聚會上不經意地說出了自己的夢想，讓周圍的人都感到意外。 / 當我在公園裡散步時，不經意間看到了一隻可愛的小狗，心情立刻變好了。 / 她在畫畫的時候不經意地用上了新的技巧，結果畫作變得更加出色。 / 不經意的微笑常常能讓人感到溫暖，這正是生活中的小確幸。 / 他不經意地翻到了一張舊照片，讓他想起了那段難忘的青春歲月。 / 我在路上不經意地聽到了別人的對話，讓我對這個城市有了新的了解。,adv,不經意的行為 / 不經意地說 / 不經意中 / 不經意的事情 / 不經意的舉動 / 不經意提到 / 不經意看見 / 不經意地笑 / 不經意的回憶 / 不經意的聲音
177,不經思索、自然而然的。[例]看到畢業紀念冊，不經意的又想起了過去學校生活的點點滴滴。,不經意,Unintentional; occurring naturally and without premeditation.,不經思索，自然而然地發生或表現出來。,他不經意的微笑讓大家心情變得更好。 / 在聊天的時候，我不經意說出了自己的秘密，讓朋友們都驚訝不已。 / 這幅畫作中，不經意的色彩搭配卻展現了深刻的情感。 / 當她不經意提到過去的回憶時，我的心也隨之感傷。 / 他的不經意的言語讓我意識到事情並不如表面那麼簡單。 / 在考試時，我不經意間寫下了自己的一些想法，結果得到了高分。 / 他不經意的舉動讓我感受到了一種溫暖的關懷。 / 在忙碌的一天中，那杯不經意的咖啡讓我瞬間放鬆了下來。 / 當我不經意地翻閱舊照片時，許多美好的回憶湧上心頭。 / 她不經意的眼神交流讓我明白了她對我的真實感受。 / 他在聚會上不經意的言談中透露了即將來臨的大新聞。 / 每當我不經意地聽到那首歌，都會回想起與她的點滴回憶。,adv,不經意的想法 / 不經意的行為 / 不經意的微笑 / 不經意的言語 / 不經意的表現 / 不經意的動作 / 不經意的舉動 / 不經意的眼神 / 不經意的表情 / 不經意的發現
178,彌補過失，矯正差錯。[例]事情到了這個地步，已經沒有補救的機會了。,補救,To remedy or make up for a mistake or deficiency.,彌補過失，矯正差錯。,這次考試失利，老師告訴我還有機會補救，如果好好準備下次考試。 / 經過討論，團隊決定採取一些補救措施，以改善項目進度延誤的問題。 / 這件事情發生後，他一直在想如何補救，以挽回朋友對他的信任。 / 友人提醒我，及早補救錯誤才不會造成更大的損失。 / 這家公司採取了補救方案，試圖挽回因產品瑕疵而失去的顧客。 / 即使我們已經犯了錯誤，只要及時補救，還是可以恢復原有的信任。 / 這次演講的失誤讓我非常緊張，幸好還有機會進行補救，重新表達我的觀點。 / 為了避免類似問題再次發生，主管要求團隊必須制定有效的補救計劃。 / 當得知工期延誤後，我們立即著手尋找補救的方法，以減少對客戶的影響。 / 在面對困難時，我們應該勇於嘗試補救，而不是逃避責任。 / 對於這次的錯誤，專家建議我們應該評估可能的補救步驟，來降低風險。,va-t,補救的方法 / 補救的措施 / 無法補救 / 補救的機會 / 及時補救 / 嘗試補救 / 補救措施的執行 / 有效補救 / 補救方案 / 最終補救
179,某動作出於自然而非做作。[例]看完這篇報導，眼淚不覺流了出來。,不覺,Unconsciously; occurring naturally and without premeditation.,某種行為或感受自然而然地出現，沒有刻意去做。,在朋友的生日派對上，我們聊得很開心，大家不覺唱起歌來。 / 當看到那部感人的電影後，我不覺流下眼淚。 / 他專心工作，結果不覺一天就過去了。 / 當我在海邊散步時，海浪的聲音讓我不覺放鬆了心情。 / 聽著那首熟悉的老歌，我不覺回想起了許多美好的回憶。 / 在春天的花海中，我們不覺欣賞了好幾個小時。 / 聽著孩子們的笑聲，作為父母的我們不覺感到無比的幸福和滿足。 / 當她收到久違的朋友的來信時，不覺心中湧起一陣甜蜜的感動。 / 在寒冷的冬日裡，喝著熱茶，我不覺感到一陣暖意襲來。 / 當我們一起爬山時，不覺已經到了山頂，景色讓我們驚嘆不已。 / 在圖書館裏專心閱讀，我不覺已經忘記了時間的流逝。,adv,不覺流淚 / 不覺感動 / 不覺高興 / 不覺疲倦 / 不覺想念 / 不覺開心 / 不覺吃驚 / 不覺心痛 / 不覺微笑 / 不覺時間過去
