word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
愛不釋手,3741,喜歡得捨不得放手。[例]他一見到那個貝殼，就愛不釋手的把玩。,To be so fond of something that one cannot bear to part with it; to cherish or hold dear.,形容非常喜歡某樣東西，讓人捨不得放手。,"這幅畫作展現了藝術家的獨特風格，令人愛不釋手。 / 那本書的故事情節扣人心弦，讓讀者愛不釋手地一口氣看完。 / 她在市場上發現了一束鮮花，色彩絢麗，讓她愛不釋手，決定立刻買下。 / 他得到了一件限量版的運動鞋，精緻的設計讓他愛不釋手，天天都想穿著出門。 / 她找到了一本充滿手寫筆記的旅行日誌，裡面的每一頁都讓她愛不釋手，想要細細品味。 / 這條手鏈的每一顆珠子都有特別的含義，讓她愛不釋手，無法忍心摘下，就像她永遠不會放下那本愛不釋手的書籍。""",idiom,令人愛不釋手 / 讓人愛不釋手 / 愛不釋手的藝術品 / 愛不釋手的手錶 / 愛不釋手的電影 / 愛不釋手的珠寶,àibùshìshǒu,ㄞˋㄅㄨˋㄕㄧˋㄕㄡˇ,
哀愁,3742,哀傷悲愁。[例]家中突遭巨變，使他陷入一片哀愁之中。,A state of deep sorrow and melancholy; characterized by profound grief and sadness.,深深的悲傷和愁苦。,他的眼中流露出深深的哀愁，讓我忍不住想安慰他。 / 音樂中充滿了哀愁的旋律，讓聽者心中不禁泛起一陣惆悵。 / 失去摯友後，他的心中籠罩著一片無法驅散的哀愁。 / 在這個寂靜的夜晚，他獨自坐在窗前，思索著生活中的種種哀愁。 / 在海邊散步時，他望著波浪翻滾，心中升起了無法形容的哀愁。 / 聽到那首老歌，他的內心充滿了哀愁，似乎喚起了許多失去的回憶。,n,充滿哀愁 / 內心的哀愁 / 無法擺脫的哀愁 / 哀愁的旋律 / 面對哀愁 / 沉浸在哀愁中,āichóu,ㄞ ㄔㄡˊ,
愛戴,3743,敬愛擁戴。[例]執政者勤政愛民，必定會受人民愛戴。,"To be loved and supported by the people, signifying respect and affection received from the public.",對某人或某事懷有敬意和愛慕的情感，並願意支持和擁護。,這位醫生的無私奉獻精神，讓他在社區中深受愛戴。 / 為了表彰義工的付出，社區舉辦了一個獎勵活動，讓義工感受到居民的愛戴。 / 他用心傾聽友人的煩惱，因而在朋友圈中獲得了大家的愛戴。 / 這位科學家的創新研究，讓他在學術界受到同行的愛戴和敬重。 / 在年終晚會上，大家齊聲感謝這位默默奉獻的同事，讓他倍感愛戴和溫暖。 / 市長推動環保政策，得到了市民的支持與愛戴。,n,受人愛戴 / 獲得愛戴 / 倍感愛戴 / 人民的愛戴 / 居民的愛戴 / 深受愛戴,àidài,ㄞˋㄉㄞˋ,
哀悼,3744,哀傷悼念。[例]他寫了一篇文章，哀悼亡故的恩師。,To mourn or express sorrow for someone who has passed away.,對於死去的人表達悲傷和懷念的情感。,社區舉辦了一個特別的活動，以哀悼最近去世的慈善家，感謝他對社會的貢獻。 / 在國慶日，大家雖然慶祝，但也不忘哀悼那些為國捨生忘死的英雄們。 / 許多學生寫下悼念詩篇，表達對已故老師的深切哀悼之情。 / 每當聽到那首熟悉的歌曲，心中便湧現出對已逝之人的深切哀悼。 / 在社會工作的領域，大家共同哀悼這位奮鬥不息的先驅，承諾繼續他的理想。 / 總統在演講中提到這位偉人的貢獻，並表達全國人民對他的深切哀悼。,vs-t/N,獻上哀悼 / 表達哀悼之情 / 深切哀悼 / 哀悼儀式 / 哀悼信 / 追思哀悼,āidào,ㄞ ㄉㄠˋ,
愛撫,3745,愛憐撫慰。[例]他下班回家後所做的第一件事，就是抱起沙發上的小貓愛撫一番。,To caress or stroke affectionately.,對某人或某物表現出愛憐和撫慰的行為，通常通過輕柔的觸碰。,她輕輕地愛撫著狗狗的毛，讓它立刻安靜下來。 / 在寒冷的冬天，朋友們的關心就像一種愛撫，讓我感到溫暖。 / 當她看到流浪貓時，忍不住彎下腰來，用手輕柔地愛撫牠。 / 在每個清晨，陽光透過窗簾照進來，彷彿在輕輕愛撫著大地。 / 這幅畫的色彩與筆觸，就像藝術家在愛撫每一寸空間一般。 / 她喜歡在閱讀時，手指輕輕愛撫著書頁，感受文字的溫度。,va-t/N,心靈愛撫 / 柔和的愛撫 / 愛撫小動物 / 輕柔地愛撫 / 溫暖的愛撫 / 愛撫肌膚,àifǔ,ㄞˋㄈㄨˇ,
哀嚎,3746,悲痛哭號。清．吳元炳《三賢政書．湯子遺書．卷一．報睢沭秋災疏》：「方種麥苗，俱沉水底；屋廬衝決，民無定所；眾姓哀嚎，傷心慘目。」清．俞益謨〈致黃欽錫妹丈〉：「若以此情達之千人，或一人意謂莫須有，而九百九十九人必唾面而罵為矯名欺詐之小人矣。某惟有踊地哀嚎，向天飲泣耳！」,To wail in grief; to cry out in sorrow due to pain or loss.,悲痛哭號。通常用來表達極大悲傷與痛苦。,在夜深人靜的時候，村莊裡傳來幾聲哀嚎，讓人感到不寒而慄。 / 老者的回憶中，戰爭過後的土地遍佈了哀嚎聲與淚水。 / 一些動物失去後代時，有類人類的反應，發出悲傷的哀號。 / 在電影的最後一幕，角色的哀嚎讓觀眾感受到無比的絕望與悲傷。 / 看著過去的照片，他的心中不禁發出一聲哀嚎，回憶如潮水般湧現。 / 每當想起失去的過去，他的心中就不由自主地哀嚎，感受到深深的懷念與遺憾。,n,悲傷的哀嚎 / 哀嚎聲 / 傳來哀嚎 / 心裡的哀嚎 / 幾聲哀嚎 / 哀嚎聲遍佈,āiháo,ㄞ ㄏㄠˊ,
哀號,3747,悲痛號哭。[例]他因腿上傷口疼痛，哀號了一夜。,To wail in grief; to lament loudly due to sorrow or pain.,悲痛地號哭。,小狗被車撞傷，牠在路旁痛苦地哀號著。 / 老人在家中看著老來的照片，想起過去的點點滴滴，不禁哀號著說自己太孤獨了。 / 她在失去愛犬後，無法忍受內心的痛楚，整夜哀號不止。 / 在戰爭的陰影下，許多母親得知子女失踪的消息，悲痛地哀號著呼喊他們的名字。 / 當他們看到家園被洪水沖毀，無法收拾一切，只能無助地坐在一旁哀號。 / 一位畫家在創作中，想到往昔的失敗與孤獨，忍不住哀號，讓情感在畫布上流露。,vp-i,忍不住哀號 / 悲傷地哀號 / 痛苦地哀號 / 哀號不止 / 傷心地哀號 / 哀號不已,āiháo,ㄞ ㄏㄠˊ,
愛恨,3748,,"A deep and complex mix of love and hate, often indicating conflicting emotions toward someone or something.",「愛恨」是指對某人或某事物同時產生的愛與恨兩種強烈的情感。,這首歌表達出愛恨交織的情感，讓每個聽過的人都能感同身受。 / 在這段戀情中，她常常感到愛恨難分，既想靠近又害怕受傷。 / 電視劇中的角色讓觀眾產生了愛恨情仇的複雜情感，令人難以忘懷。 / 她在追求夢想的過程中，經歷了愛恨交錯的掙扎，讓她的人生更加豐富。 / 每當回想起過去的回憶，他總是陷入愛恨糾葛之中，難以釋懷。 / 在朋友的建議下，他開始欣賞這位藝術家的作品，卻又對其背後的故事感到愛恨相織的矛盾。,n,愛恨情仇 / 愛恨交織 / 愛恨難分 / 愛恨之間 / 愛恨兩難 / 愛恨糾葛,àihèn,ㄞˋㄏㄣˋ,
挨家挨戶,3749,依照次序一家接著一家。[例]衛生單位派人，挨家挨戶的進行消毒工作，希望能杜絕病媒蚊的孳生。,"To visit each household in order, one after another.",依照次序，一家接著一家地進行某種行動。,社區的志工們挨家挨戶發放防疫資訊，提醒大家保持健康和安全。 / 在選舉期間，候選人會挨家挨戶拜訪選民，以爭取更多的支持。 / 在防災演習中，專業人員挨家挨戶宣導應急措施，以提高居民的防災意識。 / 在環境保護活動中，義工挨家挨戶發放垃圾分類指南，鼓勵居民參與綠色行動。 / 在寒冷的冬季，社會福利機構會挨家挨戶發放暖冬物資，幫助弱勢群體度過難關。 / 每當學校舉辦募款活動時，學生們會挨家挨戶尋求支持，為需要幫助的同學籌集資金。,idiom,挨家挨戶地探訪 / 挨家挨戶地走訪 / 挨家挨戶地調查 / 挨家挨戶地宣傳 / 挨家挨戶的服務 / 挨家挨戶拜訪,āijiāāihù,ㄞ ㄐㄧㄚ ㄞ ㄏㄨˋ,
礙事,3750,不方便、有所妨礙。[例]這張椅子放在這裡擋住了通道，真礙事。,Inconvenient; obstructive or in the way.,不方便，有所妨礙。,這個箱子放在玄關，實在礙事，讓人進出不方便。 / 我本來想借這把椅子，但它在我的辦公桌旁邊實在礙事。 / 他的一些老舊家具放在客廳，常常讓人覺得礙事。 / 每次開會時，那個不合時宜的話題都讓討論變得礙事。 / 我的朋友今天帶來的食物實在礙事，讓聚會變得有點混亂。 / 課堂上有人總是遲到，讓原本安靜的環境變得礙事。,vs-adj,礙事的東西 / 不想礙事 / 礙事的情況 / 實在礙事 / 真的礙事 / 礙事的感覺,àishì,ㄞˋㄕˋ,
哀痛,3751,哀傷悲痛。[例]爺爺的溘然長逝，帶給他無比的哀痛。,Grief and sorrow; deep sadness resulting from loss or misfortune.,深感悲傷和痛苦。,她從小失去摯友，心中時常充滿無法忍受的哀痛。 / 每當回想起與媽媽相處的點滴，他心中便涌現出難以言表的哀痛。 / 隨著時間的流逝，她心中的哀痛雖然稍有減輕，但仍然無法忘懷失去的愛人。 / 在這個特別的日子裡，他再次感受到過去那份深切的哀痛，使他無法平靜。 / 隨著朋友的離去，生活中的每一個角落都彌漫著無法消散的哀痛，讓他感到萬分孤獨。 / 當他看到舊照片時，心中涌起了一陣莫名的哀痛，回憶起那些美好的時光。,n,無法忍受的哀痛 / 深切的哀痛 / 心中的哀痛 / 難以言表的哀痛 / 真實的哀痛 / 長期的哀痛,āitòng,ㄞ ㄊㄨㄥˋ,
礙於,3752,,To be hindered or obstructed by something.,因為某種原因，造成行動或事情進行受到阻礙。,礙於天氣不好，我們不得不取消今天的戶外活動。 / 礙於資金不足，這個項目無法如期完成。 / 礙於交通擁堵，他遲到了重要的會議。 / 礙於法律的限制，他無法隨意改變公司的經營方向。 / 礙於技術問題，這項新產品的上市計劃被迫延遲。 / 礙於個人能力的不足，她感到這份工作壓力很大。,vs-i,礙於限制 / 礙於技術 / 礙於交通 / 礙於差異 / 礙於能力 / 礙於問題,àiyú,ㄞˋㄩˊ,
哀怨,3753,哀傷怨恨。[例]這首詞寫得極為哀怨動人，不愧出自名家手筆。,Sorrowful and resentful; expressing deep sadness and bitterness.,心中充滿悲傷和怨恨。,在風中傳來的哀怨聲音，彷彿是在訴說過去的悲傷故事。 / 她看著舊照片，眼中流露出一種深沉的哀怨，似乎在懷念失去的時光。 / 傳遞哀怨的歌聲在夜空中迴盪，深深觸動了每個人的心弦。 / 每當聽到那段旋律，他的心中便湧起一陣哀怨，回憶起那些無法忘懷的往事。 / 在寒風中，他的聲音顯得格外哀怨，彷彿在呼喚著遙遠的記憶。 / 這幅畫作透出一種哀怨的氛圍，讓觀者不由自主地思考生命的脆弱。,n,哀怨的歌聲 / 哀怨的心情 / 哀怨的眼神 / 傳遞哀怨 / 表達哀怨 / 哀怨的旋律,āiyuàn,ㄞ ㄩㄢˋ,
