number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
142,權力。[例]權柄,柄,Power or authority; often used in the context of holding power in a political or organizational structure.,權力或控制的依據和位置。,這位領導的權柄雖然來源於選舉，但實際上很多人對他的能力產生質疑。 / 這個國家的權柄過於集中在少數人手中，導致政治體系的不穩定。 / 在企業中，掌握決策權柄的人往往可以影響整體的發展方向。 / 我們必須監督政府的權柄，以防止濫用權力的現象出現。 / 雖然她在公司內沒有正式的權柄，但由於她的專業知識和人脈，依然受到大家的尊重。 / 每個人都應該理解自己手中權柄的責任，以公平對待所有人。 / 在家庭中，父母擁有教育孩子的權柄，但也應該考慮孩子的感受和意見。 / 社會團體的權柄不容小覷，他們在公共政策上能夠起到重要的影響作用。 / 當經濟發展迅速時，商界的權柄也隨之上升，讓許多傳統行業感到挑戰。 / 我們必須學會如何合理分配權柄，以促進組織內部的合作與信任。 / 在國際關係中，權柄的變化經常影響到各國之間的外交策略和互動。,n,權柄 / 絕對的柄 / 強大的柄 / 掌握的柄 / 獲得的柄 / 失去的柄 / 集中的柄 / 受制於柄 / 影響的柄 / 挑戰的柄
142,植物花葉和枝莖相連的部分。[例]花柄、葉柄,柄,The part of a plant where the flower or leaf connects to the stem.,植物的花和葉子與枝幹相連的部分。,「我在花園裡發現一朵美麗的玫瑰，仔細一看花柄上還有露珠，非常迷人。」 / 「這個盆栽的葉柄很粗壯，似乎代表著它的生命力旺盛。」 / 「擁有細長花柄的康乃馨，讓整個房間充滿了芬芳的氣息。」 / 「這棵樹的果柄結實，讓人期待著甜美的果實成熟。」 / 「我注意到這種特殊的植物，它的葉柄居然是紅色的，非常獨特。」 / 「在市場上，農民們擺放的新鮮水果，果柄上還沾著幾滴清水，看起來格外誘人。」 / 「那朵紫色的鬱金香，花柄彎曲得很自然，讓它顯得格外優雅。」 / 「這種仙人掌的葉柄很厚實，能夠儲存大量的水分，適應沙漠環境。」 / 「我欣賞到一根翠綠的竹子，仔細一看它的葉柄上竟然有小鳥在築巢。」 / 「這款藝術作品中，花柄的設計巧妙地融入了整體的風格，讓人驚艷。」 / 「期待春天來臨，因為那時候花柄將會冒出許多新芽，帶來生機。」,n,花柄 / 葉柄 / 果柄 / 花柄的長度 / 粉紅色的花柄 / 綠色的葉柄 / 果實的果柄 / 短的葉柄 / 幼苗的枝柄 / 清新的花柄
142,言語或行為可被人當作攻擊、要挾的事情，或取笑的話題。[例]把柄、話柄、笑柄,柄,A handle; a part of an object that can be held or grasped.,言語或行為可被他人當作攻擊、要挾的事情，或取笑的話題。,在會議上，某些人的失言可能會成為他人攻擊的把柄。 / 如果私下的談話被錄音，一些不當的言論可能會成為以後的把柄。 / 對於政治人物來說，每一次公開發言都可能成為評論家手中攻擊的把柄。 / 在網路上，過去的貼文經常被挖出成為批評他人的把柄。 / 她擔心自己的前同事會把她的舊日志當作把柄來譴責她。 / 在社交場合中，一些不當的玩笑可能會成為日後的笑柄。 / 在職場上，任何不謹慎的行為都可能成為他人手中的把柄，影響職業生涯。 / 如果領導者過於嚴厲，部下的任何小錯誤都可能被當作把柄來檢討。 / 這部紀錄片中揭露的醜聞，無疑會成為公眾討論的重要把柄。 / 在法庭上，任何不一致的證詞都可能被視為對方用來反駁的把柄。 / 他擔心自己的過去會成為他人攻擊的把柄，影響到他的未來。 / 在競爭激烈的環境中，任何細微的失誤都可能成為對手利用的把柄。,n,把柄的 / 成為把柄 / 失言的把柄 / 譴責的把柄 / 尋找把柄 / 警惕把柄 / 貪婪的把柄 / 用作把柄 / 成為笑柄 / 當作笑柄
142,器物上可執握的把手。[例]斧柄、刀柄、傘柄,柄,A handle or grip on an object that is designed to be held.,器物上可握住的部分，方便使用。,這把刀的刀柄使用不鏽鋼材質，握起來非常舒適。 / 醫生建議使用有防滑柄的手術器具，以提高操作的安全性。 / 這把斧頭的柄很結實，適合用來砍柴。 / 傘柄的設計很特殊，可以折疊，方便攜帶。 / 手工製作的木製傘柄，讓這把雨傘更加獨特。 / 這把刀的刀柄用上好的橡木製成，握起來手感非常好。 / 向左滑動，經過一段時間的練習，我終於能穩定握住這把武器的槍柄。 / 這個特殊設計的杖柄，讓老年人使用時更加輕鬆自在。 / 最近我買的運動水壺，水壺柄的防滑設計大大提高了使用的便利性。 / 這把剪刀的柄經過人體工學設計，長時間使用也不會感到疲勞。 / 在製作陶器時，選用合適的輪柄能讓整個過程更加流暢。,n,刀柄 / 傘柄 / 斧柄 / 杖柄 / 笔柄 / 槍柄 / 不銹鋼刀柄 / 木製傘柄 / 新的雨傘柄 / 雙手握住刀柄
142,執掌、操持。[例]柄國、柄政,柄,"To hold or exercise control over something, as in ""to wield power.""",掌握、操持某種權力或事務。,在家庭裡，母親通常掌握著財政的權柄，負責管理每月的花費。 / 他在公司擔任高層職位，握有重要的決策權柄，影響著整個團隊的發展計劃。 / 在這場辯論賽中，她以清晰的觀點和有力的論據，掌握了話語權的柄，贏得了評審的青睞。 / 無論是在學校還是社區，老師的引導常常成為學生認識世界的權柄，影響他們的價值觀。 / 父親的職業生涯中，累積的經驗與人脈成為他在行業內的重要權柄，助力他未來的發展。 / 在這個國家，選民的選擇直接影響執政者的權柄，彰顯了民主制度的力量。 / 透過參與志願服務，年輕人不僅能提升自身能力，還能握住社會變革的權柄，推動更美好的未來。 / 文化的傳承與創新需要學者們發揮智慧，成為知識與技能的權柄，影響後代的發展方向。 / 在這次商業談判中，負責人掌握了關鍵的交易權柄，促成了雙方的合作協議。 / 隨著科技的進步，數據分析成為企業競爭的權柄，決定了市場佔有率的高低。 / 在運動賽事中，裁判的公正判決是比賽進程的權柄，確保了公平競爭的環境。,n,權柄 / 掌權的 / 職柄 / 地方的權柄 / 执政的权柄 / 政治之柄 / 文化之柄 / 發言權柄 / військовий контроль / 婚姻之柄
142,量詞。計算有柄器物的單位。[例]一柄鋤頭、兩柄大刀,柄,A measure word for counting tools with handles.,量詞，用來計算有柄器物的單位。,他從工具箱裡拿出一柄剪刀，準備修剪花園裡的花草。 / 在市場上，我看見一位叔叔在賣兩柄精緻的小刀，吸引了不少顧客前來詢問。 / 她用一柄雨傘遮擋陽光，享受著午後的悠閒時光。 / 這個老闆店裡有一柄特別的雕刻刀，可以製作出精美的藝術品。 / 孩子們在遊樂場玩耍時，有人用一柄彩色的塑膠刀當作玩具，模仿大人的動作。 / 餐桌上擺著一柄閃亮的餐刀和一柄叉子，為今晚的晚餐增添了不少情調。 / 他在書房裡翻找，終於找到了那柄他爸爸留給他的古董鋸子。 / 昨天我在網上看到一柄手工製作的匕首，價格不貴，於是果斷下單了。 / 老奶奶每天都用一柄小刀切水果，樂在其中，享受著健康的生活。 / 這部電影裡的主角經常使用一柄神秘的刀劍，讓人看得心跳加速。 / 他在廚房裡揮舞著一柄鋒利的廚刀，準備為家人做一頓美味的晚餐。,m,一柄刀 / 一柄雨傘 / 兩柄剪刀 / 一柄斧頭 / 一柄刀叉 / 兩柄手槍 / 一柄掃把 / 一柄扇子 / 兩柄大刀 / 一柄好刀
142,根本。[例]治國家不失其柄。,柄,The root or basis; refers to the fundamental principle or authority in a situation.,根本是治理国家的核心和基础，掌握此者能有效领导和管理。,掌握經濟發展的柄才能確保國家的繁榮。 / 在企業管理中，得到員工的信任是握住權力柄的一部分。 / 控制社交媒體的柄能影響公眾對事件的看法。 / 在家庭中，父母應該掌握教育孩子的柄，以引導他們健康成長。 / 只有擁有科技創新的柄，企業才能在競爭中立於不敗之地。 / 掌握外交關係的柄，能促進國際間的合作與和平。 / 學校若能有效掌握學生心理的柄，就能提升教學質量。 / 在政治上，掌握話語權的柄對於政策的推行至關重要。 / 只有握住環境保護的柄，才能夠長期維護地球的生態平衡。 / 學習歷史的柄能幫助我們更好地理解當前的社會問題。 / 掌握文化傳承的柄，是保證民族特色不被遺忘的關鍵。,n,控制柄 / 掌握柄 / 握住柄 / 政權的柄 / 社會的柄 / 生活的柄 / 知識的柄 / 道德的柄 / 企業的柄 / 發展的柄
143,病理變化。乃因疾病導致體內細胞、組織產生變化，影響正常組織器官的功能及結構。[例]糖尿病會引起許多器官病變，要及早治療才好。,病變,"Pathological change; a change in cells or tissues due to disease, affecting the function and structure of normal organs.",病理變化是由疾病引起的，會使體內細胞和組織產生變化，並影響正常組織和器官的功能及結構。,醫生告訴我，長期高血糖會導致許多器官的病變，需要定期檢查。 / 在眾多研究中，科學家發現糖尿病病變主要影響的是腎臟和眼睛。 / 早期發現並干預病變，可以顯著改善患者的生活品質。 / 這位患者的病變症狀，包括視力模糊和腳部麻木，需引起重視。 / 監測血糖水平有助於降低糖尿病相關的病變風險，特別是心血管疾病的風險。 / 醫生建議我每年做一次病變檢查，以便及早發現潛在問題。 / 在最新的臨床試驗中，研究人員發現新的藥物可以有效減緩糖尿病引起的病變進程。 / 此次檢查顯示，患者的視網膜已經出現輕微的病變，需立即採取措施。 / 了解病變的早期徵兆，有助於糖尿病患者更好地管理自己的健康。 / 透過飲食調整和運動，許多患者成功減少了病變的進一步發展。 / 醫療團隊正在努力研究如何有效逆轉某些已發生的病變，以改善病患的預後。,n,糖尿病的病變 / 早期病變 / 器官的病變 / 病變的症狀 / 病變檢查 / 病變的風險 / 發現病變 / 病變診斷 / 病變影響 / 病變特徵
144,比喻行動一致，共同努力。[例]並肩作戰、並肩奮鬥,並肩,"To work together in unison, metaphorically side by side, indicating cooperation and shared effort.",比喻行動一致，共同努力。,在這個專案中，我們需要並肩合作，才能完成所有的任務。 / 在社區服務中，志工們並肩幫助有需要的人，展現出人性的光輝。 / 朋友們一直以來並肩支持彼此的夢想，無論遇到什麼困難都不會放棄。 / 在 last-minute 義賣活動裡，大家並肩努力，希望能為慈善機構募得更多的善款。 / 在這次考試復習中，我們並肩學習，互相解答問題，提高了彼此的成績。 / 在創業的過程中，夥伴們並肩奮鬥，共同克服了許多挑戰和困難。 / 在環保活動中，大家並肩清理海灘，希望能讓海洋更加乾淨。 / 在面對職場壓力時，同事們並肩互助，讓工作環境變得更加和諧。 / 在這次體育比賽中，運動員們並肩競爭，展現了團隊精神和不屈的毅力。 / 在志願服務中，人們並肩奉獻，傳遞愛和關懷到每一個角落。 / 在這場抗疫斗爭中，醫護人員並肩作戰，守護著每一個生命的安全。,va-i,並肩作戰 / 並肩合作 / 並肩奮鬥 / 並肩同行 / 並肩努力 / 並肩支援 / 並肩面對 / 並肩前進 / 並肩抗敵 / 並肩探索
144,並排，肩挨著肩。[例]並肩而立、並肩而坐,並肩,"To stand or sit side by side, shoulder to shoulder.",肩膀並排，彼此靠近。,在公司團隊合作的專案中，大家都並肩努力，克服了許多挑戰。 / 當災難發生時，社區志工並肩作戰，幫助受災居民重建家園。 / 在體育比賽中，選手們並肩競技，展現出團隊精神。 / 廣場上，父母與孩子並肩散步，享受著悠閒的午後時光。 / 為了環保，居民們並肩清理海灘，希望能喚起大家的公德心。 / 在抗疫前線，醫護人員並肩作戰，付出所有心力守護每一個生命。 / 在音樂會上，樂手們並肩演奏，讓觀眾感受到和諧的旋律。 / 在心靈成長的課程中，學生們並肩分享彼此的故事，增進了相互理解。 / 每到清明節，家人們都會並肩祭拜先祖，傳承著尊重與紀念的文化。 / 在志願活動中，年輕人並肩服務社區，展現出對社會的責任感。 / 在書店裡，讀者們並肩翻閱書籍，享受著知識的海洋。,va-i,並肩作戰 / 並肩同行 / 並肩而立 / 並肩努力 / 並肩合作 / 並肩前行 / 並肩互助 / 並肩共進 / 並肩出行 / 並肩守護
