word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
玲瓏,6000,器物細緻精巧。比喻人聰明、靈活。[例]八面玲瓏、玲瓏活潑,ahhahaha,ahhahaha,ahhahaha / ahhahaha / ahhahaha / ahhahaha / ahhahaha / ahhahaha,ahhahaha,ahhahaha / ahhahaha / ahhahaha / ahhahaha / ahhahaha / ahhahaha,ahhahaha,ahhahaha,"幻, 剔透, 花環, 易懂, 音符, 舞姿, 曲調, 感, 蕩, 市集"
凌亂,6001,雜亂沒有秩序。[例]她的書房總是整整齊齊的，從不凌亂。,In a state of disorder and lacking organization.,雜亂沒有秩序。,他的房間經常凌亂不堪，讓人難以忍受。 / 儘管她努力整理，但書桌上仍然顯得有些凌亂。 / 每次考試前，心情凌亂的我總是無法專心復習。 / 他最近工作壓力很大，思緒凌亂，常常忘記重要的事情。 / 我喜歡在週末整理家裡，以減少平日工作的凌亂感。 / 他一進門就發現客廳凌亂不堪，桌上堆滿了文件和書籍。 / 這個城市的交通雖然凌亂，但仍然充滿了生機與活力。 / 在派對結束後，廚房裡留下了凌亂的碗碟和食物殘渣。 / 雖然計畫已經制定，但面對凌亂的現實，他感到無比沮喪。 / 她的日記裡記載著凌亂的情感，讓人感受到她內心的掙扎。 / 每當我看到凌亂的桌面，就知道該是整理思緒的時候了。,vs-adj,凌亂的房間 / 凌亂的書桌 / 心情凌亂 / 思緒凌亂 / 整理凌亂 / 看起來凌亂 / 造成凌亂的原因 / 增加凌亂的因素 / 面對凌亂的局勢 / 逃避凌亂的生活,lìngluàn,ㄌㄧㄥˋㄌㄨㄢˋ,"復, 碗碟, 習, 殘渣, 些, 堆滿, 感"
領略,6002,知道、了解。[例]讀完這首詩後，你對其中意境能領略幾分呢？,To comprehend or grasp an understanding of something.,了解或體會某種意境、情感或道理。,這次的藝術展讓觀眾領略到現代藝術的多樣性和深度。 / 透過這部電影，我們可以領略到不同文化之間的碰撞與融合。 / 在參觀博物館時，我真切地領略到了歷史的變遷與人類的智慧。 / 隨著書籍的翻閱，我慢慢地領略到作者心中所隱藏的哲理與情感。 / 這位導遊的講解讓我們更加領略到這座古城的歷史與魅力。 / 這場音樂會讓觀眾領略到音樂的力量與情感深度。 / 在這次的攝影展中，參觀者能夠領略到自然界的壯麗與奇妙之處。 / 透過詩詞的朗誦，我們可以領略到古代文人對生命的獨特詮釋。 / 這本小說讓我感受到領略到人物內心的掙扎與成長。 / 隨著旅行的深入，我開始領略到當地人民的熱情與生活方式。 / 在這次的烹飪課程中，學員們領略到傳統美食的製作技巧與文化價值。,va-t,領略文化 / 領略風俗 / 領略歷史 / 領略景色 / 領略智慧 / 領略價值 / 領略經驗 / 領略深度 / 領略思想 / 領略情感,lǐnglüè,ㄌㄧㄥˇㄌㄩㄝˋ,"壯麗, 攝影展, 古, 詩詞, 展"
凌辱,6003,欺負侮辱。《初刻拍案驚奇》卷三：「看他眉頭眼後，常是不中意，受他凌辱的。」《文明小史》第五○回：「連撫臺大人那邊的顧問官都要凌辱起來，這還了得！」,To bully and insult; to humiliate and degrade.,欺負和侮辱他人，讓人感到受傷或不愉快。,在學校，有些學生會凌辱同學，讓他感到非常難受。 / 他在工作上遭到上司的凌辱，讓他對公司失去了信心。 / 朋友之間不應該有凌辱的言語，這會傷害到彼此的感情。 / 在電影裡，主角經歷了多次凌辱，最終選擇勇敢反抗。 / 修習這堂課以後，她了解到‘凌辱’不僅包含言語上的傷害，更有心靈層面的影響。 / 她寫了一篇文章，揭露了社會上普遍存在的凌辱現象。 / 他在社交場合遭到陌生人的凌辱，讓他感到非常尷尬和失落。  / 教師應該關注學生之間的互動，避免出現凌辱的情況發生。  / 在職場中，凌辱行為會嚴重影響團隊的氛圍，進而影響工作效率。  / 她經歷了凌辱後，決定站出來發聲，幫助更多受到傷害的人。 / 凌辱的行為應該受到譴責，社會必須共同努力來消除這種現象。,va-t,受到凌辱 / 凌辱他人 / 被凌辱 / 凌辱的言語 / 凌辱的行為 / 遭遇凌辱 / 免於凌辱 / 凌辱的方式 / 凌辱後果 / 凌辱事件,língrǔ,ㄌㄧㄥˊㄖㄨˋ,"’, ‘"
零售,6004,小量的販售貨物。[例]有些量販店雖以批發為主，偶而也會以零售方式販售某項貨品。,Retail; the sale of goods in small quantities to consumers.,以小量販售貨物的行為。,這家零售商店提供的產品種類繁多，方便顧客一次購買所需品。 / 每到假日，商店的零售業務都會迎來大量的顧客，生意興隆。 / 隨著網路購物的興起，許多傳統零售店面臨著巨大的競爭壓力。 / 在城市裡，零售市場的競爭非常激烈，各大商家都在想辦法吸引消費者。 / 這款產品的零售價格比其他品牌稍高，但因其品質優良，依然受到歡迎。 / 廠商為了提高零售服務品質，特別訓練員工以改善顧客體驗。 / 隨著消費者需求的多樣化，零售商必須不斷調整產品線以滿足市場。 / 這家連鎖零售商推出了會員優惠政策，吸引顧客回購。 / 零售業的科技應用越來越普及，例如自助結帳機器的使用提升了購物效率。 / 在節慶期間，零售商常會推出限量商品，吸引顧客搶購。 / 這項新的零售策略旨在提升顧客忠誠度，讓回頭客的比例增加。,n,零售商店 / 零售價格 / 零售市場 / 零售業務 / 零售服務 / 零售銷售 / 零售管理 / 零售產品 / 零售策略 / 零售渠道,língshòu,ㄌㄧㄥˊㄕㄡˋ,"購, 迎, 渠道, 旨, 搶購, 零售商"
領受,6005,接受。[例]災民懷著感激的心情領受各界的愛心捐款。,"To receive or accept, typically in the context of being granted or endowed with something.",接受他人或其他事物的給予或提供，通常帶有感激之情。,災民懷著感激的心情領受各界的愛心捐款。 / 外國來的遊客對我們的熱情招待感到十分榮幸，儘管他們不太習慣，但還是領受了這份心意。 / 在社區裡，長輩們常常分享他們的生活經驗，年輕人也樂於領受這些寶貴的教誨。 / 除夕夜，無論身處何地，大家都會領受來自親友的祝福，讓新年更加溫馨。 / 老師在課堂上讚美了學生的努力，他們領受了這份認可，感到非常振奮。 / 在志願者的幫助下，失業者重新獲得了自信，他們感激地領受了這些支持。 / 讀者在書展上領受了作者親筆簽名的書籍，這讓他們感到無比欣喜。 / 每年的校慶，優秀畢業生都會領受校方頒發的獎學金，鼓勵他們繼續追求更高的學業。 / 參加國際會議的專家們，領受了同行的尊重與認可，這激勵他們更努力地進行研究。 / 在家庭聚會中，年輕人領受了長輩們傳承的文化故事，讓他們對自己的根源有了更深的理解。 / 社區中心為孤獨老人提供心理諮詢服務，他們領受了這份關心，感到不再孤單，並感謝社區的善意支持。,va-t,領受支持 / 領受捐款 / 領受幫助 / 領受祝福 / 領受讚美 / 領受關心 / 領受資訊 / 領受服務 / 領受獎勵 / 領受指導,lǐngshòu,ㄌㄧㄥˇ ㄕㄡˋ,"懷, 災民, 書展, 遊客, 校慶, 何, 帶有"
零碎,6006,零星細碎、不完整。[例]她常利用零碎的布塊縫製抹布。,"Fragmentary; referring to something that is in small, scattered, or incomplete pieces.",零星細碎、不完整的東西。,即使生活中有許多零碎的挑戰，我們仍然要勇敢面對。 / 她在整理房間時發現了很多零碎的玩具，決定把它們送給慈善機構。 / 他每天利用零碎的時間閱讀，積累了不少知識和見解。 / 我們的計畫中出現了零碎的變更，需要重新調整時間表。 / 在學校，老師鼓勵學生把零碎的知識連結起來，以便更好地理解課程內容。 / 在旅行的過程中，我記下了零碎的心得，讓我在回家後能夠更清楚地回憶起這段經歷。 / 零碎的回憶有時彌足珍貴，讓我們重新體驗青春的美好。 / 她的畫作中融入了許多零碎的情感，讓觀者感受到深刻的共鳴。 / 零碎的資訊在網絡上迅速傳播，有時讓人難以分辨真偽。 / 對於這個複雜的問題，我們需要整合零碎的資料，以便找出解決方案。 / 生活中，即便是零碎的美好時刻，也讓我們的心充滿感激和溫暖。,vs-adj,零碎的資訊 / 零碎的記憶 / 零碎的時間 / 零碎的想法 / 零碎的經驗 / 零碎的材料 / 零碎的故事 / 零碎的片段 / 零碎的任務 / 零碎的工作,língsuì,ㄌㄧㄥˊ ㄙㄨㄟˋ,"細碎, 彌足珍貴, 時間表, 積累"
領頭,6007,帶頭、發起。[例]慶生宴上，他領頭帶大家一起唱歌。,To take the lead or initiative; to be at the forefront.,帶領他人或團體行動，通常是最先開始或提出某個行動或活動。,在社區活動中，她總是領頭組織義工，讓大家一起參與。 / 在班級裡，有人帶頭發言，其他同學也開始積極參與討論。 / 學校的足球隊長每次訓練都領頭帶動隊友們一起加油，提升了大家的士氣。 / 這次環保宣傳活動，他領頭設計海報，吸引了更多人關注環保問題。 / 在科學實驗中，老師總是領頭示範，讓學生們更容易理解實驗步驟。 / 社區裡舉辦清理街道的活動時，他領頭帶領大家一起動手，讓環境變得更美好。 / 在年度慈善晚會上，她領頭邀請各界人士參與，募集到更多的善款。 / 在創意寫作課上，老師領頭分享自己的故事，鼓勵學生們也勇敢表達。 / 此次文化交流活動中，他領頭介紹本地的歷史，讓外賓更加了解這個城市。 / 老師在課堂上領頭提出問題，引導學生們思考，激發了大家的學習熱情。 / 團隊合作時，她領頭分配任務，確保每個人都能發揮所長，共同完成目標。,va-t,領頭帶隊 / 領頭發起 / 領頭示範 / 領頭協調 / 領頭推動 / 領頭倡導 / 領頭推廣 / 領頭合作 / 領頭領導 / 領頭支持,lǐngtóu,ㄌㄧㄥˇㄊㄡˊ,"賓, 隊友, 善, 士氣, 帶隊"
另行,6008,另外再進行。[例]今晚的聚餐因颱風而取消，若有後續決定我們會另行通知。,In addition; To carry out or handle something separately or later.,另外再進行或處理某件事。,因為天氣不穩定，我們的戶外活動將另行安排時間。 / 若有任何變更，我們會另行通知所有參加者。 / 這次的會議因為人員調整，需要另行確認參加名單。 / 計畫的細節若有變化，會在下週另行發佈新公告。 / 專案的進度將根據最新情況另行討論相關事項。 / 由於系統維護，相關的服務將另行通知恢復時間。 / 本次考試的具體安排，若有調整，將另行告知學生。 / 鑑於目前的情況，原定的課程可能需要另行安排時間進行。 / 如果有緊急情況發生，相關負責人會另行處理後續事宜。 / 這項提案的評審結果將於下週另行公布。 / 由於材料尚未準備完畢，發貨的時間將另行通知客戶。,va-i,另行通知 / 另行安排 / 另行處理 / 另行確認 / 另行決定 / 另行發佈 / 另行說明 / 另行進行 / 另行討論 / 另行更新,lìngxíng,ㄌㄧㄥˋㄒㄧㄥˊ,"若, 尚未, 原"
靈驗,6009,預言的應驗。[例]他深諳人類心理，凡有預言，大都靈驗。,"To be effective or proven, especially in the context of predictions or prophecies.",預言的內容實現或符合。,她的直覺靈驗，經常能預測未來的變化。 / 那位老人的預言靈驗，讓村民們感到驚訝與敬畏。 / 他每次參加比賽前，都會求神明保佑，希望能靈驗。 / 有時候，夢境中的警示會出現靈驗，讓人警惕。 / 他發現調整飲食和運動的方法靈驗，健康狀況顯著改善。 / 在經歷了多次考試後，她發現一些複習方法非常靈驗，能快速提高成績。 / 當她閱讀那本預言書時，裡面的內容竟然靈驗地發生在現實中。 / 這種古老的占卜術在村子裡被視為靈驗，大家都相信能預知未來。 / 他曾經的投資決策靈驗，使他的財富在短時間內翻倍。 / 有人說，靈驗的祝福能帶來意想不到的好運，大家紛紛參加祈福活動。 / 經過實證研究，這種療法的效果被證明了靈驗，吸引了越來越多的人前來治療。,vs-adj,預言靈驗 / 直覺靈驗 / 信仰靈驗 / 方法靈驗 / 夢境靈驗 / 事情靈驗 / 實證靈驗 / 預測靈驗 / 徵兆靈驗 / 生活靈驗,língyàn,ㄌㄧㄥˊㄧㄢˋ,"占卜, 術, 療法, 警示"
