number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
468,互相毆打。[例]他們倆為了一些小事就打鬥起來了。,打鬥,To engage in a fight or brawl; to mutually hit or strike each other.,互相毆打的行為。,他們兩個因為一些誤會而開始了打鬥，引起了路人的圍觀。 / 在擂台上，拳擊手們展現出激烈的打鬥技巧，讓觀眾們熱血沸騰。 / 網路上經常看到一些影片，拍攝年輕人因為小事而發生的打鬥場面。 / 電影中的打鬥情節常常被誇張化，讓人感受到緊張刺激的氛圍。 / 在學校裡，打鬥並不是解決問題的辦法，反而會帶來更多困擾。 / 最近社區內出現了幾起打鬥事件，居民們擔心治安會惡化。 / 他們兄弟之間的打鬥其實是出於鬥氣，過後還是會和好如初。 / 領導會議上，有人提到應該加強對青少年打鬥行為的教育，以減少衝突。 / 街頭的打鬥讓警察不得不介入，以維護公共秩序和安全。 / 昨晚的打鬥事件讓人們意外，因為參與者原本是好友。 / 在這部動畫中，主角們的打鬥場面不僅展現力量，也傳遞了友情的深厚。 / 他們常常因為比賽的激烈而發生打鬥，讓整個競賽氣氛更加緊張。,n,一場打鬥 / 激烈的打鬥 / 兄弟之間的打鬥 / 常常打鬥 / 有時候打鬥 / 最後一次打鬥 / 不理智的打鬥 / 公然打鬥 / 意外的打鬥 / 在打鬥中
469,派遣、安排。[例]媽媽打發哥哥去城裡唸書。,打發,To send or assign someone to a task or position.,派遣或安排某人去做某事。,媽媽打發哥哥去城裡買菜。 / 她打發朋友幫忙準備派對的驚喜。 / 老師打發學生整理教室，讓環境更整潔。 / 公司打發員工去參加培訓，提升專業技能。 / 客戶打發代表來洽談合作事宜，期待達成雙贏。 / 你打發他去處理那個緊急的問題，別讓事情拖延。 / 奶奶打發小孩去附近的公園玩耍，享受戶外的樂趣。 / 老闆打發經理去拜訪重要客戶，增進雙方的合作關係。 / 她打發哥哥幫忙修理壞掉的自行車，使他能夠騎上街。 / 孩子們被打發去做功課，父母希望他們專心學習。 / 朋友們打發我去探望生病的同事，帶去一些溫暖和關心。,va-t,媽媽打發哥哥 / 他打發助手 / 老師打發學生 / 她打發朋友 / 公司打發員工出差 / 客戶打發代表來洽談 / 你打發他去辦事 / 奶奶打發小孩去玩 / 老闆打發經理去外地 / 孩子們被打發去玩遊戲
469,驅趕、使人離開。[例]我終於把推銷員打發走了。,打發,"To drive away or dismiss, indicating the act of sending someone away.",使人離開或送走，通常是出於某種原因。,我用一個有趣的故事打發了小孩，讓他們不再吵鬧。 / 老闆用工作來打發我的不滿，讓我暫時忘記了新的政策。 / 她看著手機來打發無聊的時光，直到朋友來接她。 / 他用簡單的食物打發了饑餓的感覺，並不在意大餐的期待。 / 我們在咖啡館裡打發了一上午，聊著彼此的生活和夢想。 / 因為沒事可做，我在家裡打發了整個週末，隨意看了幾部電影。 / 她打發自己的方式是閱讀，沉浸在書籍的世界中讓她忘記煩惱。 / 找了一個老朋友聊天，我們輕鬆打發了這段漫長的候車時間。 / 他用畫畫來打發彈吉他的時間，享受兩者之間的創造過程。 / 為了打發這段等待的時間，我決定學習一些新的食譜，讓烹飪變得更有趣。 / 昨天我在公園裡打發了一下午，觀察著路人和自然的變化。,va-t,客人打發走了 / 推銷員打發走 / 用理由打發了他 / 用故事打發小孩 / 音樂來打發時間 / 在公園打發了一整個下午 / 用遊戲打發小孩 / 被打發 / 被輕易打發 / 沒有意義的方式來打發時間
469,消磨、度過。[例]爺爺退休後平時都以下棋來打發時間。,打發,To pass time or get through a period by engaging in various activities.,消磨或度過一段時間，通常用於輕鬆而無特定目的的活動。,他常常去咖啡廳看書，以打發下午的無聊時光。 / 在旅途中，她喜歡聽音樂來打發等待的時間。 / 週末的時候，朋友們一起打發日子，聊聊生活琐事。 / 他用下棋來打發退休後的閒暇時光，感到非常滿足。 / 每當他感到焦慮時，會選擇畫畫來打發這些不安的情緒。 / 她在等車的時候，喜歡打發時間看手機新聞。 / 為了打發冗長的會議，他開始在筆記本上 doodle。 / 在寒假期間，孩子們常常打發時間看電影和玩遊戲。 / 他們計畫一起旅行，以更有趣的方式打發假期。 / 酒店的泳池成為他們打發炎熱夏日的理想場所。 / 為了打發孤獨的夜晚，他開始學習烹飪，製作美味的晚餐。,va-i,打發時間 / 打發無聊 / 打發精力 / 打發日子 / 打發心情 / 打發時光 / 打發課餘 / 打發漫長的等待 / 打發困倦 / 打發無所事事
470,回答。[例]關於上述問題，請務必給我一個明確的答覆。,答覆,To reply or respond; to answer.,回答某個問題或請求。,他要求的問題，經理必須給出一個清楚的答覆。 / 與會者等待著專家的答覆，以便做出下一步的決定。 / 如果沒有時間解釋清楚，就請給我一個簡短的答覆。 / 關於這項計劃的可行性，我們需要一個專業的答覆。 / 學生們對於考試內容的疑問，老師承諾會在下課後給予答覆。 / 在招聘面試中，應徵者希望能夠得到公司對於面試結果的正式答覆。 / 客戶對產品的質量問題提出了質疑，客服人員必須迅速給予答覆。 / 這個項目的進度受到關注，領導希望能在會議上聽到具體的答覆。 / 關於會議的時間更改，行政部門需要發送一份書面的答覆給每位參與者。 / 對於上次調查的結果，研究團隊期待能收到朗明的答覆來進一步分析。 / 若有任何問題，請隨時聯繫我們以獲得詳細的答覆。,n,明確的答覆 / 迅速的答覆 / 確切的答覆 / 清楚的答覆 / 正式的答覆 / 書面的答覆 / 口頭的答覆 / 詳細的答覆 / 期待的答覆 / 直接的答覆
471,,大幅,"A substantial or significant extent; indicating a large or considerable change, increase, or reduction.",程度很高，通常用來形容改變、增加或減少。,這個新政策的實施，讓公司的生產成本大幅降低。 / 透過這次宣傳活動，顧客對我們產品的認知大幅提高。 / 這項技術創新，讓電子產品的電池壽命大幅延長。 / 由於運用更有效的教學方法，學生的學習效果大幅改善。 / 經過這次市場調查，我們的行銷策略得到了大幅調整。 / 近年來，隨著科技的進步，遠程工作的效率大幅提升。 / 這次的環保措施，讓企業對資源的浪費大幅減少。 / 由於合作夥伴的增加，我們的業務範圍大幅擴大。 / 這本書的出版，使人們對該領域的理解大幅加深。 / 這項新發明，大幅改變了人們的日常生活方式。 / 在專家的指導下，我們的運營效率大幅提升，節省了大量時間和資源。,adv,大幅提高 / 大幅減少 / 大幅增加 / 大幅改善 / 大幅調整 / 大幅提升效率 / 大幅降低成本 / 大幅擴大市場 / 大幅改進技術 / 大幅改善狀況
472,重要的綱領。如建國大綱。,大綱,A framework or outline of a plan or policy; refers to the main points or key elements that guide the overall direction.,重要的綱領或框架，概述主要事項和方向。,老師在課堂上介紹了這堂課的學習大綱，讓學生了解每個單元的重點。 / 在會議中，團隊討論了專案計畫的大綱，確定了各自的分工和時間表。 / 政府發布了新的經濟發展大綱，以促進國家未來的成長和繁榮。 / 學校的課程大綱更新後，增加了許多實用的技能培訓，以應對未來職場的需求。 / 為了提高學習效率，學生們在研讀教材之前，會先查看大綱，了解整體架構。 / 這本書的前言中詳細介紹了主要內容的大綱，幫助讀者快速把握重點。 / 在討論會上，專家們分享了他們針對氣候變化的研究大綱，提出了具體的解決方案。 / 為了準備考試，學生們根據考試大綱制定了復習計畫，確保覆蓋所有考點。 / 在職業培訓課程中，講師首先介紹了課程的大綱，以便學員了解學習的方向和目標。 / 這篇論文的摘要中包含了研究方法和結果的大綱，讓讀者迅速了解研究的核心。 / 老師在學期初發放了課程大綱，讓學生提前掌握各週的學習內容與考試安排。,n,重要的大綱 / 教學大綱 / 建國大綱 / 發展大綱 / 政策大綱 / 課程大綱 / 學習大綱 / 行動大綱 / 研究大綱 / 基本大綱
472,大概的內容或情形。[例]寫文章的時候，養成先擬大綱的習慣，才能掌握題旨，而不致顧此失彼。,大綱,"A general outline or summary of the main points or structure of a document, presentation, or plan.",大概的內容或情形。,在寫報告之前，最好先擬定一個大綱，這樣可以讓思路更清晰。 / 老師在上課前會給學生一份課程的大綱，讓他們知道今天要學哪些內容。 / 當我準備演講時，我會先寫下大綱，以便能夠有條理地表達我的想法。 / 如果你能依據這個大綱來寫文章，就不會漏掉重要的細節。 / 在討論會上，主持人會根據大綱引導大家發言，確保討論不會偏題。 / 我們需要修改這個計畫的大綱，以便更好地符合公司的需求。 / 大綱的內容應該包括主要的論點和支持的證據，這樣讀者能夠更容易理解。 / 為了讓報告更加專業，我決定邀請同事一起檢視這個大綱，提出改進的建議。 / 在撰寫論文時，清晰的大綱能夠幫助我組織思路和段落結構。 / 在寫作練習中，老師會要求學生先提交大綱，這樣可以提高寫作的效率和質量。 / 本次會議的大綱已經發送給所有參與者，希望大家能提前準備，積極參與討論。,n,擬定大綱 / 撰寫大綱 / 檢視大綱 / 修改大綱 / 根據大綱 / 依照大綱 / 清晰的大綱 / 詳細的大綱 / 大綱內容 / 大綱框架
473,身材高大的男子。元．張國賓《合汗衫》第一折：「如今大主人家怪我，我喚他出來，趕將他出去，有何不可？兀那大漢你出來。」,大漢,A tall and strong man.,身材高大的男子。,這位大漢在比賽中展現了驚人的力量，輕鬆地舉起了數百公斤的重物。 / 即使身邊的環境再怎麼吵雜，這位大漢依然專注地在公園嗎啡舉重，以鍛鍊身體。 / 不少人對於這位大漢的親切態度感到驚訝，他的外表雖然嚇人，但內心非常溫柔。 / 在故事裡，勇敢的大漢總是為弱小的人打抱不平，展現出他的正義感。 / 在寒冷的夜裡，這位大漢毫不猶豫地將自己的外套脫下，披在流浪者身上，溫暖了他的心。 / 兩個小孩在沙灘上玩耍，看到遠處的大漢潑水，忍不住笑著跑去參加。 / 身材高大的大漢在市場上，以親自解說每一種酸辣調味品，幫助顧客選擇。 / 每當家裡出現麻煩事，這位大漢總是第一個站出來，為家人解決困難。 / 聽說山上出現了野獸，村民們紛紛向大漢求助，希望他能保護大家的安全。 / 在派對上，這位大漢不僅負責拿重物，還用幽默的話語逗得所有人哈哈大笑。 / 大漢的笑聲如同山谷中的回音，讓每一個人都感受到他的熱情和友善。,n,一位大漢 / 高大的大漢 / 體型壯碩的大漢 / 向大漢挑戰 / 幫助大漢 / 這位大漢 / 龐大的大漢 / 叫出大漢 / 看見大漢 / 年輕的大漢
473,對中國、漢代或漢族的尊稱。《文選．班固．封燕然山銘》：「下以安固後嗣，恢拓境宇，振大漢之天聲。」,大漢,A respectful term referring to the Han dynasty or the Han people of China.,對中國、漢代或漢族的尊稱。,大漢時期的文學作品展現了深厚的文化底蘊。 / 許多考古學家對大漢時代的遺跡進行深入研究，希望揭開更多歷史的秘密。 / 大漢的兵法和戰略今天仍然影響著現代的軍事學。 / 大漢的詩歌常常描繪自然景色，展現出人與自然和諧共處的理念。 / 學者們認為大漢時期的科技發展為人類文明做出了重要貢獻。 / 大漢的英雄故事常被後人傳頌，激勵著一代又一代的人。 / 大漢的貿易網絡促進了東西方文化的交流，成為歷史上重要的一環。 / 受到大漢思想影響的儒學，至今仍是中國文化的重要支柱。 / 大漢的音樂和舞蹈表現出獨特的藝術風格，讓人們感受到歷史的韻律。 / 在大漢的統治下，國家的疆域擴張，為後來的歷史發展奠定了基礎。 / 大漢的遺產對於當代社會的建設和發展仍然具有深遠的意義。,n,大漢文化 / 大漢的歷史 / 大漢民族 / 崇尚大漢精神 / 大漢的傳統 / 大漢的英雄 / 古代的大漢 / 影響大漢歷史 / 知名的大漢 / 大漢的遺產
