number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
105,物價低廉。[例]這件衣服的價錢真便宜。,便,Cheap; low in price.,物品的價錢很低，不需要花很多錢就能買到。,朋友告訴我，這邊的便宜旅館非常適合背包客，不用花太多錢。,adv,餐廳的便宜菜單
105,不拘束、不認真的樣子。[例]他做事隨隨便便的態度，使得上司不大信任他。,便,,,他對自己的工作隨隨便便，經常犯錯讓主管很失望。 / 隨便便的態度讓團隊的合作效率大大降低。 / 無論是學業還是工作，他總是採取隨便便的方式，缺乏責任感。 / 每當遇到挑戰，他都隨便便應付，從不願意付出真正的努力。,,隨便說
105,屎、尿等排泄物。[例]大便、小便、糞便,便,"Excrement; waste products expelled from the body, including feces and urine.",屎和尿等排出的物質。,拉便便的時候，應該保持安靜，讓其他人也能方便地使用廁所。 / 便便的顏色和形狀可以告訴我們很多關於身體健康的資訊。 / 忘記沖馬桶的便便會讓廁所變得不衛生，影響到其他使用者。,,排便 / 由便所
105,善於迎合他人。[例]益者三友，損者三友。友直、友諒、友多聞，益矣；友便辟、友善柔、友便佞，損矣。(《論語‧季氏》),便,To be obsequious or sycophantic; to flatter or curry favor.,善於迎合他人，通常表現出迎合他人期望和需求的態度。,在工作中，他對上司的關心表現得非常辭曲，讓人看了覺得有些不舒服。 / 她常常用甜言蜜語來討好同事，這樣的便辭讓大家對她的真誠產生懷疑。 / 在社交場合，有些人為了獲得好感，會故意展現出便和善的樣子。 / 如果你總是便於迎合別人的期望，最終會失去自己真正的想法和感受。 / 有些人會在聚會上過度恭維主辦方，希望藉此獲得更多的注意和好處。 / 為了方便交流，我們可以選擇在咖啡館進行會議，這樣的環境更便於互動。 / 在面試中，他過於便辭，讓面試官懷疑他的專業能力。 / 有時候，過度的便和迎合會使關係變得緊張，導致反效果。 / 她在朋友圈中經常發表便於迎合的言論，但內心卻對這種做法感到矛盾。 / 在團隊合作中，便於他人的需求固然重要，但也不能忽視自己的立場。 / 便辭雖然能夠暫時拉近距離，但長期來看，真誠的交流才是建立信任的關鍵。,vp-i,便於交談 / 便於理解 / 便於使用 / 便於合作 / 便於表達 / 便於溝通 / 便捷的方式 / 便捷的服務 / 便於確認 / 便於檢查
105,即、就。[例]他一早便走了。,便,"A conjunction meaning ""then"" or ""at that time""; used to indicate a consequence or a situation occurring promptly.",此詞表示某個行動或情況在特定時間或條件下立即發生，通常用於強調其迅速性和直接性。,他一早便走了 / 只要有需要，我便隨叫隨到 / 她學中文學得很快，便能和我們流利對話 / 他準備了一些題目，下面的討論便能順利進行 / 我去市場買菜，便可以便宜很多 / 今天下午他有空，便來幫我修理電腦 / 不久大家都到齊了，會議便開始了 / 他看到我有困難，便幫我解決了問題 / 聽說這家餐廳的菜好吃，我便想去嘗試看看 / 如果有任何問題，便隨時告訴我 / 只要你願意，我便陪你一起練習中文。,adv,便宜的商品 / 便捷的交通 / 隨便的選擇 / 便於管理 / 便於交流 / 便攜的設備 / 他便明白 / 她便來了 / 會議便開始 / 我便告訴
105,順利的、無阻礙的。[例]便利、方便、不便,便,Smooth and unobstructed; characterized by convenience or ease.,順利而無阻礙的狀態。,隨著科技的進步，網路購物讓人們的生活變得更方便。 / 現在許多店家都提供外送服務，讓消費者在家中也能享受到美味的餐點，這樣的服務真是太方便了。 / 設計一個方便攜帶的水壺，對於經常外出的人來說非常實用。 / 交通便利的地區，往往吸引了更多的居民和商家，因此房租價格也相對較高。 / 有了智能手機，無論何時何地，我們都能快速查詢資料，生活變得十分方便。 / 這款電腦軟體操作簡單，對於新手來說非常方便使用。 / 透過線上學習平台，學生能夠隨時隨地進行學習，這樣的方式十分方便。 / 設備的定期維護可以確保它們在使用過程中更加方便和高效。 / 為了方便顧客，許多商店開始提供自助結帳的服務。 / 在城市規劃中，設計便利的公共交通系統是提升居民生活質量的重要因素。 / 這本指南詳細介紹了如何更方便地使用這款新工具，非常適合初學者參考。,adv,方便的交通 / 辦事方便 / 生活方便 / 上廁所方便 / 方便攜帶 / 使用方便 / 便宜的價格 / 便於使用 / 彼此方便 / 確保便利
105,輕鬆的、簡單的。[例]便鞋、便條紙、家常便飯,便,"Easy; referring to something that is convenient, simple, or informal.",輕鬆而簡單，使用方便。,弟弟今天晚餐吃的家常便飯，讓我想起了小時候的味道。 / 我常常使用便條紙寫下重要的事情，以免忘記。 / 這雙便鞋非常輕鬆，讓我在家裡活動時感到自在。 / 這個新的手機應用程式設計得很便於使用，即使是老年人也能輕易上手。 / 我們今天的聚餐選擇了便宜的餐廳，大家都能輕鬆享受美食。 / 商場裡有許多便民服務，讓顧客購物時更加方便。 / 老師準備的課程非常生動，讓學生便於理解複雜的概念。 / 這個便當盒設計得很好，不僅便於攜帶，還能保持食物的新鮮。 / 在這個社區，便捷的交通系統大大改善了居民的出行體驗。 / 這本書的內容簡單易懂，非常適合初學者閱讀，十分便於學習。 / 他的工作環境非常舒適，讓人有種輕鬆便自在的感覺。,vs-adj,便當盒 / 家常便飯 / 便民服務 / 便於使用 / 便於攜帶 / 便宜的選擇 / 便捷的交通 / 便條紙 / 便鞋 / 便於理解
74,準備著以供隨時取用。[例]這份資料寄出前先拷貝一份，留在公司備用。,備用,Reserved or set aside for temporary use.,準備好以供隨時取用的東西。,旅行時，我總是帶著一個備用手機，以便在必要時使用。 / 為了應對突發情況，我需要準備一些備用食物和水。 / 假如主機故障，應該立即啟動備用伺服器來保持系統運行。 / 團隊制定了備用計劃，以應對可能出現的各種挑戰。,vs-adj,備用資金 / 備用計劃 / 備用電話 / 備用零件 / 備用文件 / 備用食物 / 備用設備 / 備用工具 / 備用方案 / 備用材料
90,嵌在牆壁中，以供取暖或裝飾的爐子。[例]歐式洋房內，通常都裝設有壁爐。,壁爐,"A fireplace; a structure built into a wall, used for heating or decoration.",嵌在牆壁中，用於取暖或裝飾的爐子。,冬天的晚上，圍坐在壁爐旁，感受火焰的溫暖，讓人倍感愉悅。 / 在寒冷的季節，壁爐不僅提供熱量，還營造出舒適浪漫的氛圍。 / 這個別墅的壁爐是用大理石打造的，看起來既豪華又溫馨。 / 壁爐上擺放著一些家人的照片，讓這個空間更加溫暖親切。 / 聖誕節前夕，全家人聚在壁爐旁，共同裝飾樹木，享受美好的時光。 / 壁爐的設計融合了現代與傳統元素，使整個客廳顯得格外吸引人。 / 壁爐內燃燒著松木，發出濃濃的香氣，讓整個房間充滿了溫馨的氣息。 / 在冬季，壁爐成為家中最受歡迎的聚集地，大家都喜歡在這裡聊天休閒。 / 壁爐的煙道設計巧妙，有效地排出煙霧，讓室內保持清新空氣。 / 每當寒風呼嘯，壁爐的火焰跳動著，帶來一種安心和舒適的感覺。 / 這座古老的壁爐見證了無數個溫暖的家庭時光，讓人倍感珍惜。,n,一個壁爐 / 壁爐的功能 / 壁爐的設計 / 壁爐前面 / 美麗的壁爐 / 溫暖的壁爐 / 傳統的壁爐 / 壁爐的裝飾 / 使用壁爐 / 壁爐的煙道
75,往來各地勞碌奔走。[例]父母為了家庭的生計而終日奔波。,奔波,"To rush around and work hard, often with the implication of being busy and somewhat chaotic.",往來各地，勤勞奔走。,父母每天都在為了孩子的未來而奔波。 / 他們為了尋找更好的工作機會，決定四處奔波。 / 她的工作需要經常出差，頗感疲憊，每天都在奔波中度過。 / 為了籌辦這次活動，他們已經忙碌奔波了好幾個星期。 / 隨著城市的快速發展，許多人不得不日夜奔波以維持生活。 / 朋友常常感嘆，生活的壓力讓他們不得不不停奔波，實在難以喘息。 / 為了照顧年邁的父母，他每個週末都要從遠方奔波回家。 / 她的孩子參加了很多課外活動，讓她每天都要奔波於各個場所之間。 / 在商業競爭激烈的環境中，他們必須不斷奔波以保持公司的運營。 / 為了實現自己的夢想，他決定放下安逸的生活，開始全心全意地奔波打拼。 / 每當看到別人悠閒的生活，他就不禁感慨自己忙碌奔波的身影，卻又無法停下來。,va-i,日夜奔波 / 四處奔波 / 到處奔波 / 為了生計奔波 / 為家庭奔波 / 忙於奔波 / 不停奔波 / 努力奔波 / 生活奔波 / 早出晚歸奔波
