number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
51,保持身心健康。[例]現代國民應具備衛生保健的基本常識。,保健,Health care; the practice of maintaining and promoting physical and mental well-being.,保持身心健康的行為和措施。,現在有很多保健食品幫助提高免疫力。 / 營養師會提供專業的保健建議。 / 定期運動是保健的重要部分。 / 每周進行一次健康檢查能有效提升你的保健。 / 現代人越來越重視心理保健。 / 健康的保健習慣能幫助人們提高生活品質。 / 這本書提供了許多保健的小常識，適合每個家庭閱讀。 / 從小培養良好的保健習慣，能讓孩子終生受益。 / 許多人選擇每天喝足夠的水，保持身心的良好保健。 / 適當的保健運動與飲食結合可以改善你的體能，達到健康的目標。 / 保健專家建議每年進行一次健康檢查，以早期發現潛在的健康問題。,n,健康的保健 / 保健的知識 / 保健食品 / 保健習慣 / 心理保健 / 保健服務 / 個人保健 / 健康檢查保健 / 自我保健 / 保健措施
52,充足、豐富。[例]精神飽滿、肌肉飽滿,飽滿,Full; rich; abundant.,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。 / 最近的天氣真的很適合運動，草皮長得飽滿翠綠，看起來真舒服。 / 他的臉色紅潤，表現出一種飽滿而健康的感覺。 / 她的信心十分飽滿，面對考試毫不畏懼。 / 秋天的果實十分飽滿，顏色也很鮮豔，讓人看了心情大好。 / 他在過去的一年裡學習了很多，現在他的知識已經相當飽滿，隨時都能夠展現出來。 / 在這次演講中，演講者的聲音洪亮，思路清晰，情感也相當飽滿，觀眾都被深深地打動了。 / 她的創造力非常飽滿，總是能夠想出新穎的點子，給團隊帶來不少驚喜。 / 他的生活節奏很緊湊，但他依然保持著飽滿的熱情，投入到自己的工作中。 / 每當迎接新的一天，他都會以飽滿的心情迎接一切，充滿了對未來的期待。 / 當朋友們聚在一起時，他們的笑聲響徹整個房間，氣氛顯得相當飽滿而快樂。,vs-adj,精神飽滿 / 能量飽滿 / 信心飽滿 / 情感飽滿 / 知識飽滿 / 生活飽滿 / 情緒飽滿 / 渴望飽滿 / 創造力飽滿 / 夢想飽滿
53,保守機密。[例]保密防諜，人人有責。,保密,To keep a secret; to maintain confidentiality.,保守機密，不讓他人知道。,公司的合約中明確要求，員工必須遵守保密條款。 / 如果你不遵守保密協議，可能會對自己和公司造成很大傷害。 / 在會議上，他特別強調，所有人都要保密，不能讓這個消息流出去。 / 這個研究項目的數據非常機密，我們必須保密。 / 當他分享這個秘密的時候，拜託我一定要保密，不能告訴任何人。 / 在簽署合同前，我們需要確認所有的保密條款，以保護雙方的利益。 / 這項計畫的細節非常敏感，我們必須確保每個參與者都理解保密的重要性。 / 每位員工都需要定期參加保密培訓，確保不會洩露任何機密資訊。 / 在法庭上，律師強烈要求檢察官提供證據的同時，必須嚴格遵循保密協議，以保護當事人的隱私。 / 在進行市場調查時，我們必須使用加密技術來保護客戶數據，確保不會誤洩任何信息。 / 在這個競爭激烈的行業中，保密是維護公司核心競爭力的關鍵，我們需要時刻警惕潛在的風險。,va-t,保密協議 / 保密條款 / 要求保密 / 嚴格保密 / 保證保密 / 遵守保密 / 重要的保密 / 確保的保密 / 國家保密 / 公司保密
54,保護周全使不受損傷。[例]保全性命、保全名譽,保全,To protect and preserve; to ensure safety and integrity.,保護周全，使不受損傷。,他將財產轉移到保全公司以保護自己的利益。 / 那位作家致力於保全自己的作品版權，讓後人能夠欣賞其作品。 / 這些企業在海外上市前，會儘可能保全技術機密，希望避免洩密。 / 許多愛國人士參加升旗典禮，以表達他們的愛國情操。 / 律師幫助客戶保全證據，以便在法庭上有足夠的說服力。 / 在這次危機中，我們必須採取緊急措施，以保全人民的安全。 / 學校的圖書館設有保全系統，以防止貴重書籍遺失。 / 他們的社區定期舉辦安全講座，幫助居民保全日常生活中的安全。 / 醫生提醒病人要保全自己的健康，不要忽視任何小病小痛。 / 這家餐廳在推出新菜單之前，會先進行市場測試，以保全其良好的聲譽。 / 國家森林管理部門採取了嚴格的保全措施，以保護珍稀動物的棲息地。,va-t/N,保全財產 / 保全安全 / 保全性命 / 保全權益 / 保全措施 / 保全資料 / 保全服務 / 保全利益 / 保全環境 / 保全系統
54,保全業所執行的確保國民生命、財產安全的業務。[例]現在許多商家都聘請保全人員在賣場執行保全工作。,保全,"To ensure the safety of lives and property, typically performed by security personnel.",保障人民的生命和財產安全的工作。,我們公司請了保全人員來巡邏，提升整體安全性。 / 這家保全服務公司有專業的設備和技術，可以保障客戶的安全。 / 學校的門口安排了保全人員，確保學生的安全。 / 在商場裡，保全工作人員隨時監控每個角落，防止偷竊行為。 / 加強保全措施是防止意外事件發生的重要一環。 / 保全人員會定期檢查小區的安全設施，以確保居民的安心生活。 / 公司最近更換了保全系統，以增強對內部情報的保護。 / 各大醫院都配備了專業的保全人員，確保病人和醫護人員的安全。 / 每逢大型活動，主辦方都會聘請額外的保全人員，以維持現場秩序。 / 這家保全公司擁有豐富的行業經驗，能夠提供量身定制的安全解決方案。 / 在社區管理會議上，居民們討論如何提高保全措施，以防止外來入侵。,n,保全服務公司 / 保全人員 / 保全措施 / 提供保全服務 / 加強保全管理 / 安排保全人員 / 保全工作 / 高效的保全方案 / 專業的保全服務 / 確保保全安全
55,寬恕接納。[例]愛就是擁有一顆包容的心。,包容,To be forgiving and inclusive; to embrace diversity and accept differences.,寬恕接納他人的缺點和不同，心胸開闊。,愛就是擁有一顆包容的心。 / 父母常常教導孩子要學會包容他人的缺點。 / 在這個多元文化的社會中，包容是非常重要的價值觀。 / 學校舉辦了一場關於包容與尊重的討論會，讓學生更加了解彼此。 / 每個人都有自己的缺點，學會包容才能建立更和諧的關係。 / 他們結婚的秘訣就在於雙方都能夠包容彼此的差異。 / 在工作環境中，包容員工的創意能提升整體的工作效率。 / 朋友之間的誤解多半能透過包容和溝通來解決。 / 這本書強調了包容的重要性，讓讀者深入思考自身的偏見。 / 每當遇到困難，互相包容的朋友總能一起渡過難關。 / 公司的文化鼓勵員工表現出對不同意見的包容，以促進團隊合作。,vs-t/N,包容他人 / 包容心態 / 包容的態度 / 包容多樣性 / 包容的精神 / 包容不同意見 / 具備包容心 / 培養包容心 / 表現包容 / 創造包容的環境
56,珍貴的礦石。通常具有硬度高、光澤美、不易起變化的特性。[例]藍寶石、紅寶石,寶石,"A precious gemstone; a valuable mineral that is typically hard, lustrous, and resistant to change.",珍貴的礦石，通常具有高硬度、美麗光澤，不易起變化。,他的收藏中有很多珍貴的寶石。 / 這顆寶石在陽光下閃閃發光，令人驚嘆。 / 她分享了自己收集寶石的經驗，讓其他人很受啟發。 / 大多數寶石都是在深山裡開採出來的。 / 她佩戴的寶石項鍊，讓整個人看起來更加優雅。 / 我最近去珠寶店，想要買一顆藍寶石戒指送給她。 / 他的家族傳承下來的一枚祖母綠戒指，寶石的色澤真的非常迷人。 / 在珠寶展上，我看到了很多精緻的寶石，讓我對寶石的工藝感到敬佩。 / 她的生日禮物是一塊稀有的紅寶石，象徵著她的獨特與珍貴。 / 這幅畫中描繪的寶石似乎有著無比的光彩，讓人不禁想要擁有。 / 在古老的傳說中，這顆寶石被認為擁有神秘的能量，能帶來幸運。,n,一顆寶石 / 貴重的寶石 / 寶石戒指 / 寶石項鍊 / 天然的寶石 / 稀有的寶石 / 珍貴的寶石 / 鑑定寶石 / 購買寶石 / 收集寶石
57,嚐盡、受盡。[例]飽受責難、飽受壓迫、飽受折磨,飽受,To suffer greatly or endure extensively.,嚐盡或受盡某種負面經驗或困難。,這位作家在年輕時飽受疾病的折磨，但依然寫出了動人的作品。 / 對於她來說，這段關係讓她飽受情感壓力的煎熬。 / 那座城市的居民飽受污染的困擾，健康狀況不斷惡化。 / 他們的家園多次遭遇天災，居民們心中飽受恐懼的折磨。 / 在艱難的時期，這個國家的人民飽受經濟危機的影響，生活壓力越來越大。 / 許多音樂家在成名前都飽受拒絕和挫折，然而他們依然堅持追求夢想。 / 那位勇敢的運動員在比賽中因傷痛飽受折磨，但依然不放棄努力拼搏。 / 這位醫生雖然在職業生涯中飽受批評，但她始終堅持以病人為重。 / 這個家庭在戰爭中失去了親人，飽受喪親之痛的長期折磨。 / 他的企業在市場競爭中飽受挑戰，然而他依然不斷尋找創新機會。 / 這位青年在求學路上飽受不公，卻仍然努力實現自己的理想。,vp-t,飽受痛苦 / 飽受折磨 / 飽受批評 / 飽受壓迫 / 飽受困擾 / 飽受羞辱 / 飽受不公 / 飽受煩惱 / 飽受挑剔 / 飽受委屈
58,保護守衛。[例]保衛國家、保衛鄉土,保衛,"To defend and guard, especially in the context of protecting a country or homeland.",保護和守護某個對象或地方，確保其安全。,在戰爭時期，大家都團結一致，為保衛國家而奮戰。 / 學校舉辦演講比賽，讓同學們分享如何保衛自己的文化。 / 社區工作者積極推廣環保，旨在保衛我們的地球。 / 為了保衛我們的權利，許多人走上街頭示威抗議。 / 老師教育學生，保衛自己的權益非常重要。 / 在地震來臨前，居民進行演練，以便能夠更好地保衛自己的家庭。 / 許多志願者組成小隊，巡邏社區以保衛公共安全。 / 這個國家的人民相信，保衛傳統文化是每個人的責任。 / 在校園內，教師和學生共同努力，保衛學術自由，保護知識的交流。 / 在環境保護方面，政府制定了多項政策，以確保能有效保衛珍貴的自然資源。 / 海外僑胞積極參與活動，支持和保衛祖國的利益。,va-t,保衛國家 / 保衛人民 / 保衛家園 / 保衛和平 / 保衛自由 / 保衛尊嚴 / 保衛領土 / 保衛安全 / 保衛社會 / 保衛環境
59,凶狠殘暴的行為。[例]這幫匪徒的暴行，令人髮指。,暴行,Brutal acts; heinous and violent behaviors.,凶狠殘暴的行為。,這群暴徒的暴行無人能忍受，讓人心中充滿憤怒。 / 我們必須對這些暴行保持警惕，以免再度受害。 / 許多心懷善良的人都無法理解這些暴行的動機。 / 在這次抗議中，警方的暴行引起了社會的廣泛譴責。 / 對於那些暴行的受害者來說，重拾信任是一件艱難的事。 / 社會應該更加關注並譴責這種不人道的暴行。 / 在新聞中頻繁出現的暴力事件讓人對未來感到擔憂。 / 許多人對這些發生在鄰近社區的暴行感到恐懼，促使他們加強自我防範。 / 我們不能對此類暴行視而不見，必須采取行動來保護無辜的受害者。 / 在國際社會的壓力下，相關團體必須立即調查和制止這些暴行。 / 孩子們目睹了暴行的殘酷，這對他們的心靈產生了深遠的影響。,n,一場暴行 / 嚴重的暴行 / 鮮血淋漓的暴行 / 恐怖的暴行 / 殘忍的暴行 / 可怕的暴行 / 無法容忍的暴行 / 非人道的暴行 / 嚴厲譴責暴行 / 目睹暴行
60,機械的修理、維護。[例]車輛應定期保養，以維護行車安全。,保養,Maintenance and repair of machinery.,對機械進行的修理與維護，旨在確保其正常運作。,這台機器需要定期保養，才能延長使用壽命。 / 我的機車每三個月要去店裡保養，這樣才能安全騎乘。 / 冬天到了，車子的保養工作也不能忽視，否則很容易出問題。 / 汽車製造商建議車主定期檢查和保養，以確保行車安全。 / 我最近發現離合器有點卡，所以決定去保養中心檢查一下。 / 這輛自行車的鏈條如果不定期保養，很容易生鏽。 / 許多車主會根據車輛的行駛里程來安排保養計畫，以節省費用。 / 我的朋友每次保養完車後，總是能感受到行駛的順暢和安心。 / 在高溫季節，定期保養空調系統能提高車內舒適度，減少故障發生。 / 專業的技師建議，車輛的保養不僅能提高性能，還能增加車的轉售價值。 / 我常聽到人說，保養車子就像保養自己的健康一樣重要，不能疏忽。,va-t/N,定期保養 / 進行保養 / 車輛的保養 / 機器的保養 / 定時保養 / 養護保養 / 預約保養 / 保養檢查 / 技術保養 / 專業保養
60,身心的調養、保健。[例]保養身體,保養,To maintain and preserve one's health and well-being.,對身心進行調整和維護，使其健康保持良好狀態。,一定要好好保養身心，才能保持健康的生活。 / 他每天早上泡茶、打坐，這是他保養精神的方式。 / 定期運動能讓你保持健康，這也是保養身體的一部分。 / 保養身體對每個人來說都很重要，這樣工作起來才能更有精力。 / 保養車子很重要，不然發生問題時會更麻煩。 / 這裡的設備非常貴重，必須定期保養，才能正常使用。 / 天氣一旦變冷，就要注意保養皮膚，以免乾燥脫皮。 / 養成良好的飲食習慣是保養身體最基礎的一步。 / 每晚睡前，他都花時間閱讀，以此來保養自己的心靈。 / 在冬天，適當的熱身運動能幫助你保養關節，防止受傷。 / 她定期去做瑜伽，不僅是為了保養身材，也能維持心理的平衡。,va-t/N,保養身體 / 保養皮膚 / 進行保養 / 定期保養 / 保養產品 / 健康保養 / 自我保養 / 保養方法 / 好好保養 / 注意保養
61,種善因得善果，種惡因得惡果。後專指做壞事的人必定會遭受惡運懲罰。[例]天理昭彰，報應不爽。,報應,"Karma; the principle that good actions lead to positive outcomes and bad actions lead to negative consequences, emphasizing that those who do evil will eventually face retribution.",種下善良的原因會得到好的結果，種下的壞原因會得到壞的結果。,他做了很多壞事，最後還是遭到報應。 / 誰都逃不過命運的報應，善有善報，惡有惡報。 / 他整天說壞話，最後自己被朋友拋棄，真是報應。 / 在節目中揭發不法事件是她的責任，但她也知道可能會面臨報應。 / 她在生活中幫助過很多人，結果也得到了來自他人的回報和溫暖的報應。 / 無論做了多少壞事，都會有一天遭遇報應，這是自然的法則。 / 他總是欺騙別人，最後被發現真相時，報應來得非常迅速。 / 那位頑固的商人終於破產，這讓人感嘆他以往的貪婪終究受到報應。 / 她曾經背叛過朋友，結果在關鍵時刻也遭遇了相同的背叛，這就是報應。 / 做好事能夠帶來幸福，這和報應的正面力量是緊密相連的。 / 他的自私行為最終讓他失去了一切，似乎報應不曾放過他。,n,報應的結果 / 遭受報應 / 受到報應 / 報應的法則 / 公正的報應 / 自然地報應 / 迅速地報應 / 明顯的報應 / 難以避免的報應 / 期待報應
62,保護庇佑。[例]感謝老天爺保佑，讓我逢凶化吉。,保佑,To protect and bless; to confer safety and good fortune.,祈求神靈或某種力量給予保護，讓人平安無事。,在這次考試中，總算領悟到老天爺的保佑。 / 每天出門前，我都會祈求神明保佑我平安。 / 學生們在考試前祈禱，希望老師能保佑他們發揮超常。 / 感謝上帝保佑，我們的旅行一路順利，沒有遇到困難。 / 家人一起慶祝生日，大家都祝福他能保佑我們一整年都快樂。 / 在醫院陪伴朋友時，我心中默默祈求神明保佑她的病情好轉。 / 孩子們在學校舉行的活動中，老師們也在心中希望神明能保佑他們安全。 / 感謝上天的保佑，我們的事業在這一年中取得了良好的進展。 / 在特殊的節日裡，長輩們會聚在一起，祈求神明保佑家庭和睦。 / 每逢過年，我總是心中默念，希望神明能保佑我的朋友們健康。 / 在祈禱的時候，我特別希望神明能保佑我未來的計畫都能順利實現。,vp-t,感謝 + 保佑 / 保佑 + 平安 / 保佑 + 健康 / 祈求 + 保佑 / 保佑 + 家庭 / 每天 + 保佑 / 保佑 + 幸運 / 保佑 + 事業 / 希望 + 保佑 / 保佑 + 孩子
63,急驟猛烈的雨。[例]狂風暴雨,暴雨,A heavy rain; characterized by intensity and often associated with storms.,急速而猛烈的雨。,昨晚的暴雨造成了許多地區的積水，大家都出行不便。 / 我們今天的計畫被一場暴雨打亂了，不得不在家裡休息。 / 氣象局預測，未來幾天會有暴雨，大家要注意安全。 / 農民非常關心暴雨是否會影響到他們的農作物。 / 在暴雨過後，環境的清新使得大家心情愉快。 / 今天的行程被一場突如其來的暴雨打亂了，我們只好待在屋裡喝茶。 / 暴雨過後，許多街道都被淹沒，市政府緊急派出人員進行排水。 / 數據顯示，全球氣候變化引發的極端天氣現象中，暴雨的頻率也在增加。 / 昨天的暴雨讓我們感受到大自然的力量，但也提醒我們要更加關注環境保護。 / 這場暴雨對當地的交通造成了很大影響，許多班次的公共交通都被迫延誤。 / 隨著暴雨來臨，居民們紛紛前往超市購買日常用品，以備不時之需。,n,一場暴雨 / 暴雨警報 / 暴雨預報 / 引發暴雨 / 經歷暴雨 / 迎接暴雨 / 在暴雨中 / 隨著暴雨來臨 / 這場暴雨 / 暴雨和洪水
64,蘊藏於大自然中珍貴的天然資源。[例]大自然中的寶藏並非取之不盡，人類應該懂得珍惜。,寶藏,Natural treasures or valuable resources found in nature.,蘊藏於大自然中珍貴的天然資源。,這個地方的海底隱藏著許多珍貴的寶藏，吸引了大量的探險家前來尋找。 / 在這座古老的城堡中，人們發現了許多歷史的寶藏，揭開了過去的秘密。 / 這本書中記錄了許多關於古文明的寶藏，讓讀者感受到時間的厚重。 / 他們在森林深處找到了一個寶藏，裡面裝滿了古代的金銀珠寶。 / 在這次考古發掘中，研究人員發現了許多隱藏的寶藏，為歷史研究提供了新的線索。 / 在海洋的深處，科學家們發現了一種新的珊瑚礁寶藏，這將對海洋生態研究提供重要的幫助。 / 這次冒險之旅讓他們發現了許多被遺忘的寶藏，讓人們重新認識生命的價值。 / 在這個小村莊的地下，隱藏著一個寶藏，裡面有許多古老的手工藝品。 / 他們在沙漠中找到了一個傳說中的寶藏，這個寶藏的出現引起了許多人的興趣與期待。 / 在這座雄偉的山脈中，考察隊發現了一個寶藏，其中蘊藏著豐富的自然資源。 / 在這本小說中，作家描寫了許多關於心靈的寶藏，讓讀者在閱讀中找到自我。,n,大自然的寶藏 / 珍貴的寶藏 / 自然寶藏 / 發現寶藏 / 探索寶藏 / 神秘的寶藏 / 隱藏的寶藏 / 努力尋找寶藏 / 大自然的奧秘 / 文化寶藏
64,珍藏的貴重物品。[例]敦煌寶藏、故宮寶藏,寶藏,A treasure; valuable items that are collected and cared for.,珍藏的貴重物品。,在這個博物館裡，我們可以看到許多珍貴的寶藏。 / 這幅畫是她家裡的寶藏，已經傳了好幾代。 / 在圖書館的古籍區，藏著許多歷史的寶藏。 / 這本書裡有許多文化的寶藏，讓人重溫過去的故事。 / 我們要學習如何保護這些自然的寶藏，為未來留下一片美好的土地。 / 在這片森林裡，隱藏著許多尚未被發現的生態寶藏。 / 這個音樂會讓我重新思考生命的價值，這就是心靈的寶藏。 / 他的家族有一個古老的傳說，據說裡面藏著無數的寶藏。 / 這個小鎮的街道上，隱藏著許多美食寶藏，讓人流連忘返。 / 在傳統手工藝品展覽中，我們可以發現許多屬於人類生活的寶藏。 / 這位藝術家的創作，彷彿帶我們探索心靈深處的寶藏，激發無限靈感。,n,珍貴的寶藏 / 世界的寶藏 / 各種寶藏 / 失落的寶藏 / 收藏寶藏 / 文化的寶藏 / 寶藏文物 / 尋找寶藏 / 發掘寶藏 / 保存寶藏
65,粗暴而急躁，不能控制情緒。[例]他的性情暴躁，容易得罪人。,暴躁,Irritable and short-tempered; having a fierce and aggressive demeanor.,性情粗暴而急躁，難以控制情緒。,他的脾氣非常暴躁，一點小事就讓他發火。 / 最近工作壓力大，他變得特別暴躁，大家都不敢和他開玩笑。 / 這只貓咪有時候會突然變得暴躁，讓人不敢靠近。 / 在這種情況下，他的情緒變得格外暴躁，讓人感到緊繃。 / 她的暴躁性格讓朋友間的關係漸漸疏遠。 / 他在面對壓力時變得暴躁，經常和同事發生爭執。 / 當他疲倦時，就特別容易暴躁，連自己的話也來不及思考。 / 她發現自己的暴躁情緒很難控制，常常對家人發火。 / 他的暴躁反應讓人感到驚訝，平常他並不會這樣表現。 / 最近的糟糕天氣讓他變得有些暴躁，似乎什麼事都不如意。 / 在緊張的考試期間，他的情緒變得非常暴躁，讓同學們都不敢靠近。,vs-adj,脾氣暴躁 / 暴躁不安 / 情緒暴躁 / 暴躁的行為
66,本指王位或神佛的座位。後泛指尊貴的座位。[例]冠軍寶座、衛冕者寶座,寶座,"A throne; Originally referring to the seat of a king or deity, it later generalized to mean any prestigious seat.",本來指的是君王或神佛坐的位子，後來引申為任何尊貴的位子。,這位歌手不斷努力，終於奪得金曲獎的寶座。 / 他的夢想是坐上知名演員的寶座，成為觀眾心中的明星。 / 在這場比賽中，誰能登上冠軍寶座，便能成為大家心目中的英雄。 / 對於這位作家來說，登上文壇的寶座是她一生的追求。 / 身為運動員，他的目標就是奪回失去已久的世界冠軍寶座，重現榮耀。,n,一個寶座 / 維護寶座 / 擁有寶座 / 資深的寶座 / 獲得寶座
67,惡劣低下。多用於形容人的品格。[例]利用他人的同情心來騙取錢財的人，不僅卑鄙，而且無恥。,卑鄙,Wicked; despicable; low and vile.,品格惡劣低下，通常用來形容人。,在商業競爭中，他採取卑鄙的手段，試圖扳倒競爭對手。 / 利用別人的善良來獲取利益的行為，實在是卑鄙無恥。 / 他以卑鄙的手段勾引學妹，被發現後只好退出文學社。 / 她在社交媒體上說自己的朋友壞話，這種卑鄙的行為讓人感到失望。 / 他卑鄙的動機被揭發后，所有人對他都產生了嚴重的猜忌。 / 他在比賽中使用卑鄙的手段，最終被裁判取消了資格。 / 這部電影的主角因為卑鄙的行為而無法贏得觀眾的同情。 / 她背地裡散佈謠言，意圖破壞他人的名譽，這讓人感到卑鄙。 / 他利用朋友的信任來竊取秘密，這種卑鄙的舉動終於被揭穿。 / 她為了達到自己的目標，不惜採取卑鄙的手段，讓人感到失望。 / 這位記者為了增加報導的吸引力，不惜編造卑鄙的謠言，使整個行業蒙羞。,vs-adj,卑鄙的行為 / 卑鄙的動機 / 卑鄙的手段 / 卑鄙的行徑 / 卑鄙無恥 / 卑鄙的心態 / 提防卑鄙 / 對抗卑鄙 / 譴責卑鄙 / 卑鄙的競爭
67,卑微低賤。多用於形容人的地位。[例]今天我位處卑鄙，說話哪有分量？,卑鄙,Lowly; Describes a state of being humble and degraded in status or position.,形容人地位低下、微不足道。,雖然他的家庭背景卑鄙，但他依然努力實現自己的夢想。 / 這種卑鄙的謠言只會讓人感到無奈和憤怒。 / 他雖然出身卑鄙，卻一直努力改善自己的環境。 / 在那個卑鄙的社會中，追求理想的人總是受到壓迫。 / 即使她在職場上處於卑鄙的地位，仍然堅持自己的原則。 / 即使在最卑鄙的條件下，他也不會放棄追求真理。 / 她出身卑鄙，卻展現出無比的勇氣和智慧。 / 他即使在卑鄙的環境中長大，依然保持著對美好的信念。 / 這種卑鄙的手段只會讓人更加堅信公正的價值。 / 雖然他的事業曾經卑鄙，但他不斷尋求自我提升的機會。 / 她在卑鄙的現實中仍然選擇了善良，讓人感到敬佩。,vs-adj,卑鄙的人 / 卑鄙的行為 / 卑鄙的手段 / 卑鄙的目的 / 卑鄙的心態 / 卑鄙的動機 / 感到卑鄙 / 卑鄙的做法 / 不屑卑鄙 / 被視為卑鄙
68,以背馱負物品。[例]他背負著沉重的行囊，走在路上。,背負,To carry or load on one's back.,以背馱物品。,他背負著一個大背包，汗水不停地流下來。 / 那棵樹背負著厚重的積雪，枝條幾乎要倒下來。 / 每當遇到困難，她總會想起父母給她的重擔，默默背負著。 / 作為領導者，他必須背負著團隊的期望，努力達成目標。 / 對於藝術家來說，創作過程中常常需要背負著內心的掙扎。 / 在這季節的轉換中，大地背負著萬物生長的重任。 / 他背負著過去的陰影，努力尋找重獲自由的方向。 / 那位年輕母親背負著家庭的重擔，卻依然堅強面對每日的挑戰。 / 在比賽中，選手們背負著國家的榮譽，奮力展現他們的實力。 / 老師背負著培養下一代的使命，日日精心設計課程。 / 他們的環保團體背負著守護地球的責任，四處宣傳低碳生活。,va-t,背包 / 負擔 / 重任的背負 / 夢想 / 責任的重量 / 心理的負擔 / 生活的壓力 / 家庭的負擔 / 忍受的痛苦 / 高尚的理想
68,負荷、擔負。[例]我們都背負著傳承固有文化的重責大任。,背負,To bear or shoulder a burden or responsibility.,承擔某種責任或負擔。,在這個快速發展的社會中，每個人都背負著不同的壓力 / 他從小就背負著父母對他的期望，必須努力實現自己的夢想 / 這部電影探討了主角如何背負過去的傷痛，勇敢面對未來 / 她在公司裡背負著管理團隊的責任，常常感到壓力沉重 / 在這個競爭激烈的環境中，他背負著自我超越的挑戰，不斷努力 / 父母總是背負著讓孩子快樂成長的重任，渴望看到他們的進步 / 身為一位老師，他背負著教育學生的使命，希望培養出更多有用的人才 / 在這次經濟危機中，許多家庭背負著沉重的債務，生活變得更加艱難 / 她背負著家族的榮譽，努力在各個領域取得優秀的成績 / 隨著科技的進步，企業背負著更新技術、提升競爭力的壓力 / 這位作家背負著描繪時代變遷的責任，深入探討社會問題，令人反思。,va-t,背負重任 / 背負責任 / 背負負擔 / 背負希望 / 背負挑戰 / 背負使命 / 背負夢想 / 背負社會責任 / 背負歷史 / 背負責任感
